,site,lat,lon,dir_n_samples,dir_dec,dir_inc,dir_k,dir_alpha95,vgp_lat,vgp_lon
0,AX1,47.200466,-91.379371,8,293.3,42.6,536.0,2.4,33.4,180.0
1,AX11,47.369985,-91.166488,8,284.9,23.5,301.0,3.2,19.1,176.3
2,AX12,47.292066,-91.2601,6,299.9,42.5,36.0,11.3,37.8,175.1
3,AX13,47.368892,-91.166955,9,289.7,23.0,437.0,2.5,22.1,172.5
4,AX14,47.292999,-91.259309,7,296.9,38.2,256.0,3.8,33.7,174.5
5,AX15,47.288697,-91.263752,8,282.8,42.5,82.0,6.1,26.3,187.4
6,AX16,47.288876,-91.26371,8,273.9,38.8,394.0,2.8,18.5,191.3
7,AX17,47.289062,-91.263402,8,273.7,49.9,632.0,2.2,24.4,198.3
8,AX18,47.289124,-91.263156,9,284.0,45.3,494.0,2.3,28.5,188.4
9,AX19,47.263196,-91.293263,8,294.0,35.8,696.0,2.1,30.6,175.3
10,AX2,47.1979,-91.38256,9,282.0,31.3,145.0,4.3,20.4,181.8
11,AX20,47.266605,-91.288423,5,294.5,44.3,271.0,4.7,35.1,180.4
12,AX21,47.268486,-91.291029,8,301.7,37.8,863.0,1.9,36.7,170.5
13,AX22,47.411298,-91.159194,9,297.0,43.6,177.0,3.9,36.4,178.1
14,AX3,47.58450300000001,-90.855804,10,291.2,28.1,69.0,5.9,25.2,173.8
15,AX4,47.582581,-90.856861,7,292.1,19.9,102.0,6.0,22.4,169.6
16,AX5-10,47.5827,-90.8562,14,286.0926311710502,29.187186422228844,267.4436807529775,2.5,22.25130993025854,178.17510100562302
