AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
0.00000,0.00000,"560","560",,OB,AS,MGS,"19940601","623549","5229179","15",A110.00,A110.00.1,"19850708",SGS,COR,NB:CNA/FM:264A.CW1,IT,P,"315","20",,"1","73","200000","45"
0.00000,0.00000,"562","562",,OB,AS,MGS,"19940601","624495","5230066","15",B122.00,B122.00.1,"19850710",BSE,SAR,NB:CNB/FM:264A.CW2,JC,L,"110","75",,"1","45","12000","250"
0.00000,0.00000,"563","563",,OB,AS,MGS,"19940601","623672","5229883","15",C105.00,C105.00.1,"19850710",JDM,SBS,NB:CNC/FM:264A.CW2,JJ,P,"230","42",,"1","132","12000","130"
0.00000,0.00000,"564","564",,OB,AS,MGS,"19940601","624977","5230834","15",B120.00,B120.00.1,"19850710",JAR,,NB:CNB/FM:264A.,IM,P,"138","8",,"0","73","200000","222"
0.00000,0.00000,"565","565",,OB,AS,MGS,"19940601","624796","5230635","15",B120.00,B120.00.2,"19850710",JAR,,NB:CNB/FM:264A.,IM,P,"57","75",,"0","73","12000","303"
0.00000,0.00000,"566","566",,OB,AS,MGS,"19940601","625399","5231625","15",B114.00,B114.00.1,"19850709",JDM,JAR,NB:CNB/FM:264A.NE1,IM,P,"30","30",,"0","73","200000","330"
0.00000,0.00000,"578","578",,OB,AS,MGS,"19940601","626998","5244431","15",C249.00,C249.00.1,"19850819",JDM,,NB:CNC/FM:288D.NC2,IM,P,"65","75",,"1","73","12000","295"
0.00000,0.00000,"580","580",,OB,AS,MGS,"19940601","626268","5244053","15",C165.00,C165.00.1,"19860721",JDM,JDM,NB:CNC/FM:288D.NC2,IM,P,"10","48",,"1","73","12000","350"
0.00000,0.00000,"585","585",,OB,AS,MGS,"19940601","628253","5247648","15",C272.00,C272.00.1,"19850821",JDM,,NB:CNC/FM:288D.NC1,JJ,P,"122","82",,"0","132","12000","238"
0.00000,0.00000,"586","586",,OB,AS,MGS,"19940601","629266","5247855","15",C265.00,C265.00.1,"19850821",JDM,,NB:CNC/FM:288D.NC1,JJ,P,"172","90",,"0","134","12000","188"
0.00000,0.00000,"591","591",,OB,AS,MGS,"19940601","625937","5242917","15",A207.00,A207.00.1,"19850813",COR,SGS,NB:CNA/FM:288D.CW4,JJ,P,"220","90",,"0","134","12000","140"
0.00000,0.00000,"604","604",,OB,AS,MGS,"19940601","628660","5241487","15",B195.00,B195.00.1,"19850816",BSE,JAR,NB:CNB/FM:288D.CC2,JJ,P,"80","82",,"0","132","12000","280"
0.00000,0.00000,"607","607",,OB,AS,MGS,"19940601","631103","5241655","15",C438.00,C438.00.1,"19860821",JDM,,NB:CNC/FM:288D.CE1,IM,P,"220","90",,"0","126","12000","140"
0.00000,0.00000,"608","608",,OB,AS,MGS,"19940601","631055","5241713","15",B196.00,B196.00.1,"19860819",COR,,NB:CNB/FM:288D.CE1,VB,P,"135","32",,"0","122","200000","225"
0.00000,0.00000,"609","609",,OB,AS,MGS,"19940601","629519","5241513","15",B191.00,B191.00.1,"19850815",JAR,,NB:CNB/FM:288D.CC2,IM,P,"71","24",,"1","73","200000","289"
0.00000,0.00000,"617","617",,OB,AS,MGS,"19940601","630336","5241657","15",C448.00,C448.00.1,"19860825",JDM,,NB:CNC/FM:288D.CE1,IL,P,"188","12",,"0","103","12000","172"
0.00000,0.00000,"619","619",,OB,AS,MGS,"19940601","629354","5240065","15",C455.00,C455.00.1,"19860826",JDM,,NB:CNC/FM:288D.CC2,VF,P,"300","12",,"0","124","12000","60"
0.00000,0.00000,"620","620",,OB,AS,MGS,"19940601","625189","5239184","15",A182.00,A182.00.1,"19850805",SGS,BSE,NB:CNA/FM:288D.CW1,JC,L,"75","8",,"0","45","12000","285"
0.00000,0.00000,"621","621",,OB,AS,MGS,"19940601","625360","5239337","15",A183.00,A183.00.1,"19850805",SGS,BSE,NB:CNA/FM:288D.CW1,JC,L,"115","79",,"0","45","12000","245"
0.00000,0.00000,"622","622",,OB,AS,MGS,"19940601","625430","5239795","15",A184.00,A184.00.1,"19850805",SGS,BSE,NB:CNA/FM:288D.CW1,JC,L,"84","86",,"0","45","12000","276"
0.00000,0.00000,"623","623",,OB,AS,MGS,"19940601","626382","5239637","15",A193.00,A193.00.1,"19850807",SGS,BSE,NB:CNA/FM:288D.CC1,IM,P,"110","73",,"0","73","12000","250"
0.00000,0.00000,"625","625",,OB,AS,MGS,"19940601","625059","5237539","15",B166.00,B166.00.1,"19850726",SGS,JAR,NB:CNB/FM:288D.SW2,JC,L,"270","77",,"0","45","12000","90"
0.00000,0.00000,"626","626",,OB,AS,MGS,"19940601","624752","5237687","15",B165.00,B165.00.1,"19850726",SGS,JAR,NB:CNB/FM:288D.SW2,JC,L,"104","57",,"0","45","12000","256"
0.00000,0.00000,"630","631",,OB,AS,MGS,"19940601","628378","5238387","15",A204.00,A204.00.1,"19850809",SGS,BSE,NB:CNA/FM:288D.SC3,VC,P,"175","18",,"0","124","12000","185"
0.00000,0.00000,"632","633",,OB,AS,MGS,"19940601","628090","5238845","15",C274.00,C274.00.1,"19850822",JDM,,NB:CNC/FM:288D.SC3,JC,L,"283","27",,"0","45","12000","77"
0.00000,0.00000,"640","641",,OB,AS,MGS,"19940601","625047","5235221","15",C139.00,C139.00.1,"19850719",JDM,,NB:CNC/FM:288D.SW1,JC,L,"250","80",,"1","45","12000","110"
0.00000,0.00000,"641","642",,OB,AS,MGS,"19940601","624510","5234840","15",C132.00,C132.00.1,"19850718",JDM,,NB:CNC/FM:288D.SW1,JC,L,"117","35",,"0","45","12000","243"
0.00000,0.00000,"643","644",,OB,AS,MGS,"19940601","625652","5239652","15",A183.00,A183.00.2,"19850805",SGS,BSE,NB:CNA/FM:288D.CW1,JJ,P,"205","80",,"0","132","12000","155"
0.00000,0.00000,"644","645",,OB,AS,MGS,"19940601","625646","5239653","15",A183.00,A183.00.3,"19850805",SGS,BSE,NB:CNA/FM:288D.CW1,JJ,P,"115","90",,"0","134","12000","245"
0.00000,0.00000,"658","868",,OB,AS,MGS,"19940601","630499","5250732","15",F166.00,F166.00.1,"19870827",JDM,,NB:CNF/FM:288A.SC3,JJ,P,"215","75",,"0","132","12000","145"
0.00000,0.00000,"659","869",,OB,AS,MGS,"19940601","629989","5249183","15",F107.00,F107.00.1,"19870729",JDM,,NB:CNF/FM:288A.SS4,JC,L,"125","70",,"0","45","12000","235"
0.00000,0.00000,"660","870",,OB,AS,MGS,"19940601","629783","5248402","15",B393.00,B393.00.1,"19870708",TJB,WJD,NB:CNF/FM:288A.SS4,JJ,P,"195","87",,"0","132","12000","165"
0.00000,0.00000,"661","871",,OB,AS,MGS,"19940601","630484","5250747","15",F166.00,F166.00.2,"19870827",JDM,,NB:CNF/FM:288A.SC3,JJ,P,"125","80",,"0","132","12000","235"
0.00000,0.00000,"662","872",,OB,AS,MGS,"19940601","630003","5249189","15",F107.00,F107.00.2,"19870729",JDM,,NB:CNF/FM:288A.SS4,DC,p,"210","90",,"0","100","12000","150"
0.00000,0.00000,"663","873",,OB,AS,MGS,"19940601","630143","5249106","15",F107.00,F107.00.3,"19870730",JDM,,NB:CNF/FM:288A.SS4,JJ,P,"180","90",,"0","134","12000","180"
0.00000,0.00000,"664","874",,OB,AS,MGS,"19940601","630150","5249118","15",F107.00,F107.00.4,"19870730",JDM,,NB:CNF/FM:288A.SS4,JJ,P,"78","90",,"0","134","12000","282"
0.00000,0.00000,"673","1187",,OB,AS,MGS,"19940601","630943","5238760","15",A235.00,A235.00.1,"19850822",JAR,SGS,NB:CNA/FM:288D.SC3,IM,P,"332","18",,"1","73","12000","28"
0.00000,0.00000,"674","1188",,OB,AS,MGS,"19940601","631454","5239315","15",A233.00,A233.00.1,"19850822",JAR,SGS,NB:CNA/FM:288D.SC3,IM,P,"355","54",,"1","73","200000","5"
0.00000,0.00000,"675","1189",,OB,AS,MGS,"19940601","631344","5239129","15",A233.00,A233.00.2,"19850822",JAR,SGS,NB:CNA/FM:288D.SC3,DF,P,"290","80",,"1","89","12000","70"
0.00000,0.00000,"685","1216",,OB,AS,MGS,"19940601","624800","5236008","15",B158.01,B158.01.1,"0",JDM,,,CI,P,"80","13",,"1","75","12000","280"
0.00000,0.00000,"686","1217",,OB,AS,MGS,"19940601","624614","5235815","15",B158.00,B158.00.2,"0",JDM,,,JC,L,"265","75",,"1","45","12000","95"
0.00000,0.00000,"690","1221",,OB,AS,MGS,"19940601","624699","5237807","15",B163.00,B163.00.1,"19850726",SGS,JAR,NB:CNB/FM:288D.SW2,JJ,P,"135","80",,"1","132","12000","225"
0.00000,0.00000,"703","1234",,OB,AS,MGS,"19940601","627307","5238232","15",A276.00,A276.00.1,"19860709",JDM,,NB:CNA/FM:288D.SC2,VC,P,"14","21",,"1","124","12000","346"
0.00000,0.00000,"724","1276",,OB,AS,MGS,"19940601","624482","5229493","15",A116.00,A116.00.1,"19850709",SGS,COR,NB:CNA/FM:264A.CW1,IM,P,"275","80",,"1","73","12000","85"
0.00000,0.00000,"725","1277",,OB,AS,MGS,"19940601","624627","5230376","15",B121.00,B121.00.1,"19850711",JDM,BSE,NB:CNB/FM:264A.CW2,IM,P,"175","20",,"1","73","12000","185"
0.00000,0.00000,"726","1278",,OB,AS,MGS,"19940601","624618","5230301","15",B121.00,B121.00.2,"19850711",JDM,BSE,NB:CNB/FM:264A.CW2,IM,P,"140","32",,"1","73","12000","220"
0.00000,0.00000,"727","1279",,OB,AS,MGS,"19940601","624545","5229898","15",B122.00,B122.00.2,"19850710",,,NB:CNB/FM:264A.CW2,IM,P,"132","9",,"1","73","200000","228"
0.00000,0.00000,"728","1280",,OB,AS,MGS,"19940601","624632","5230626","15",B126.00,B126.00.1,"19850711",JDM,BSE,NB:CNB/FM:264A.CW2,IM,P,"155","75",,"1","73","12000","205"
0.00000,0.00000,"729","1281",,OB,AS,MGS,"19940601","624696","5230813","15",B125.00,B125.00.1,"19850711",JDM,BSE,NB:CNB/FM:264A.CW2,JC,L,"100","77",,"1","45","12000","260"
0.00000,0.00000,"730","1282",,OB,AS,MGS,"19940601","624559","5230788","15",C113.00,C113.00.1,"19850711",JDM,,NB:CNC/FM:264A.CW2,JC,L,"160","75",,"1","45","12000","200"
0.00000,0.00000,"731","1283",,OB,AS,MGS,"19940601","625578","5231511","15",B111.00,B111.00.1,"19850709",JDM,JAR,NB:CNB/FM:264A.NE1,IT,P,"40","15",,"1","73","12000","320"
0.00000,0.00000,"735","1287",,OB,AS,MGS,"19940601","624076","5233647","15",C136.00,C136.00.1,"19850718",JDM,COR,NB:CNC/FM:264A.NW1,IM,P,"30","15",,"1","73","200000","330"
0.00000,0.00000,"798","1412",,OB,AS,MGS,"19940601","629099","5248393","15",F105.00,F105.00.1,"19870729",JDM,,NB:CNF/FM:288A.SS3,JB,P,"140","20",,"1","132","12000","220"
0.00000,0.00000,"799","1413",,OB,AS,MGS,"19940601","631932","5252451","15",F135.00,F135.00.1,"19870807",JDM,,NB:CNF/FM:288A.SC3,IL,P,"200","28",,"1","103","12000","160"
0.00000,0.00000,"800","1414",,OB,AS,MGS,"19940601","631919","5252476","15",F135.00,F135.00.2,"19870807",JDM,WJD,NB:CNF/FM:288A.SC3,JJ,P,"52","70",,"1","132","12000","308"
0.00000,0.00000,"801","1415",,OB,AS,MGS,"19940601","631597","5252598","15",F134.00,F134.00.1,"19870807",JDM,,NB:CNF/FM:288A.SC3,IM,P,"95","30",,"1","73","12000","265"
0.00000,0.00000,"802","1416",,OB,AS,MGS,"19940601","631694","5252570","15",F134.00,F134.00.2,"19870807",JDM,DMP,NB:CNF/FM:288A.SC3,IL,P,"82","25",,"1","103","200000","278"
0.00000,0.00000,"879","2531",,,,,"0","628994","5235191","15",,A140.00.1,"19850715",COR,JAR,NB:CNA/FM:288D.SE1,JJ,P,"286","57",,"1","132","12000","74"
0.00000,0.00000,"881","2533",,,,,"0","629201","5235378","15",,A143.00.2,"19850717",COR,JAR,NB:CNA/FM:288D.SE1,JJ,P,"274","76",,"1","132","12000","86"
0.00000,0.00000,"882","2534",,,,,"0","628705","5236072","15",,A146.00.1,"19850717",COR,JAR,NB:CNA/FM:288D.SE1,DF,P,"120","90",,"1","112","12000","240"
0.00000,0.00000,"883","2535",,,,,"0","628942","5235494","15",,A145.01.1,"19850717",COR,JAR,NB:CNA/FM:288D.SE1,DB,P,"202","78",,"1","108","12000","158"
0.00000,0.00000,"884","2536",,,,,"0","628951","5235491","15",,A145.01.2,"19850717",COR,JAR,NB:CNA/FM:288D.SE1,DF,P,"138","54",,"1","89","12000","222"
0.00000,0.00000,"885","2537",,,,,"0","629008","5235470","15",,A144.00.1,"19850717",COR,JAR,NB:CNA/FM:288D.SE1,DB,P,"4","90",,"1","112","12000","356"
0.00000,0.00000,"913","1190",,OB,AS,MGS,"19940601","628852","5236594","15",A157.00,A157.00.1,"19850722",JAR,COR,NB:CNA/FM:288D.SE1,IM,P,"293","35",,"1","73","200000","67"
0.00000,0.00000,"917","1178",,OB,AS,MGS,"19940601","629443","5237180","15",C194.00,C194.00.1,"19850805",JDM,,NB:CNC/FM:288D.SC3,DI,P,"90","90",,"1","112","12000","270"
0.00000,0.00000,"951","2559",,OB,AS,MGS,"19940601","633012","5241577","15",C385.00,C385.00.1,"19860728",JDM,,NB:CNC/FM:287C.SW2,CI,P,"90","90",,"1","144","12000","270"
0.00000,0.00000,"959","2568",,OB,AS,MGS,"19940601","633710","5241973","15",C409.00,C409.00.1,"19860731",JDM,,NB:CNC/FM:287C.SW2,DF,P,"45","90",,"1","112","12000","315"
0.00000,0.00000,"988","2600",,OB,AS,MGS,"19940601","635697","5243523","15",A334.00,A334.00.1,"19860818",DKH,COR,NB:CNA/FM:287C.CC2,VS,P,"65","24",,"1","80","12000","295"
0.00000,0.00000,"989","2599",,OB,AS,MGS,"19940601","635690","5243295","15",A333.00,A333.00.1,"19860815",JDM,TJB,NB:CNA/FM:287C.CC2,CI,P,"40","90",,"1","144","12000","320"
