X,Y,ValueId,PolyId,AREA,PERIMETER,STRPT#,STRPT-ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE,POLYGONID,SCALE,ANGLE
-90.88174061,47.56319662,245,37,0,0,37,245,,ST,A,MGS,20060601,659338,5269927,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,125,12,,1,124,12000,235,0,1,0
-90.8821903,47.56204493,242,38,0,0,38,242,,ST,A,MGS,20060601,659308,5269798,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,133,8,,1,124,12000,227,0,1,0
-90.88216076,47.56198024,241,39,0,0,39,241,,ST,A,MGS,20060601,659310,5269791,15,,LT086.04,20050907,TJB,,,VF,P,152,16,,0,124,0,208,0,1,0
-90.88185972,47.56149293,240,40,0,0,40,240,,ST,A,MGS,20060601,659334,5269737,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,140,10,,1,124,12000,220,0,1,0
-90.88186779,47.56108373,238,41,0,0,41,238,,ST,A,MGS,20060601,659335,5269692,15,,LT086.03,20050907,TJB,,,VF,P,151,18,,0,124,0,209,0,1,0
-90.8814774,47.5609741,237,42,0,0,42,237,,ST,A,MGS,20060601,659365,5269681,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,150,25,,1,124,12000,210,0,1,0
-90.87760585,47.55824131,230,44,0,0,44,230,,ST,A,MGS,20060601,659664,5269385,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,175,10,,1,124,200000,185,0,1,0
-90.87686967,47.55775003,229,45,0,0,45,229,,ST,A,MGS,20060601,659721,5269332,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,107,10,,1,124,12000,253,0,1,0
-90.87610098,47.55663719,225,47,0,0,47,225,,ST,A,MGS,20060601,659782,5269210,15,,LT084.01,20050907,TJB,,,VF,P,155,17,,0,124,0,205,0,1,0
-90.9122528,47.55415894,216,50,0,0,50,216,,ST,A,MGS,20060601,657070,5268860,15,,LT013.06,20050727,TJB,,,VF,P,140,14,,0,124,24000,220,0,1,0
-90.87571727,47.55134866,210,55,0,0,55,210,,ST,A,MGS,20060601,659827,5268623,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,152,17,,1,124,12000,208,0,1,0
-90.87584481,47.5512572,209,56,0,0,56,209,,ST,A,MGS,20060601,659818,5268612,15,,LT084.02,20050907,TJB,,,VC,P,165,20,,0,124,0,195,0,1,0
-90.91051444,47.55186361,208,57,0,0,57,208,,ST,A,MGS,20060601,657208,5268609,15,,LT013.04,20050727,TJB,,,VF,P,151,16,,0,124,24000,209,0,1,0
-90.87664713,47.55078588,205,60,0,0,60,205,,ST,A,MGS,20060601,659759,5268558,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,165,17,,1,124,12000,195,0,1,0
