X,Y,ValueId,PolyId,AREA,PERIMETER,STRPT#,STRPT-ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE,POLYGONID,SCALE,ANGLE
-90.82373321,47.57937209,293,96,0,0,96,293,,ST,A,MGS,20060601,663651,5271845,15,,,19820000,JCG,,MGS Two Harbors Sheet,VB,P,150,10,,1,122,12000,210,0,1,0
-90.78714571,47.60064133,337,69,0,0,69,337,,ST,A,MGS,20060601,666335,5274287,15,,ML110,20040608,JDM,,NB:PA04/FM: Leveaux Mtn.,VC,P,170,12,,1,124,12000,190,0,1,0
-90.78649185,47.59975684,335,71,0,0,71,335,,ST,A,MGS,20060601,666387,5274190,15,,,19660914,JCG,,JCG's notes,VC,P,160,12,,1,124,0,200,0,1,0
-90.79316035,47.59759106,331,73,0,0,73,331,,ST,A,MGS,20060601,665892,5273935,15,,LT135.01,20051013,TJB,,,VC,P,155,11,,0,124,0,205,0,1,0
-90.78886023,47.59683341,329,75,0,0,75,329,,ST,A,MGS,20060601,666218,5273860,15,,,19660914,JCG,,JCG's notes,VC,P,140,13,,1,124,0,220,0,1,0
-90.79082967,47.59542081,328,76,0,0,76,328,,ST,A,MGS,20060601,666074,5273699,15,,,19660914,JCG,,JCG's notes,VC,P,160,14,,1,124,0,200,0,1,0
-90.79644309,47.59260504,324,78,0,0,78,324,,ST,A,MGS,20060601,665661,5273374,15,,,19660908,JCG,,JCG's notes,VC,P,160,15,,1,124,0,200,0,1,0
-90.79714118,47.5919385,323,79,0,0,79,323,,ST,A,MGS,20060601,665611,5273298,15,,,19660908,JCG,,JCG's notes,VC,P,145,17,,1,124,0,215,0,1,0
-90.79870257,47.59148741,321,81,0,0,81,321,,ST,A,MGS,20060601,665495,5273245,15,,136.02,20051013,TJB,,,VC,P,145,10,,0,124,0,215,0,1,0
-90.8071136,47.58741533,315,85,0,0,85,315,,ST,A,MGS,20060601,664875,5272774,15,,,19660905,JCG,,JCG's notes,VC,P,155,12,,1,124,0,205,0,1,0
-90.80890197,47.58710955,314,86,0,0,86,314,,ST,A,MGS,20060601,664742,5272737,15,,,19660905,JCG,,JCG's notes,VC,P,155,11,,1,124,0,205,0,1,0
-90.81066304,47.58585128,312,88,0,0,88,312,,ST,A,MGS,20060601,664613,5272593,15,,,19660905,JCG,,JCG's notes,VC,P,190,14,,1,124,0,170,0,1,0
-90.81298271,47.58485296,310,89,0,0,89,310,,ST,A,MGS,20060601,664442,5272477,15,,,19660905,JCG,,JCG's notes,VC,P,125,15,,1,124,0,235,0,1,0
-90.81684104,47.58229734,300,92,0,0,92,300,,ST,A,MGS,20060601,664160,5272185,15,,,19660905,JCG,,JCG's notes,VC,P,140,13,,1,124,0,220,0,1,0
-90.82788353,47.58092116,297,93,0,0,93,297,,ST,A,MGS,20060601,663334,5272009,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,170,10,,1,124,200000,190,0,1,0
-90.82572067,47.57749385,290,99,0,0,99,290,,ST,A,MGS,20060601,663507,5271632,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,184,20,,1,124,12000,176,0,1,0
-90.82679368,47.57702407,287,100,0,0,100,287,,ST,A,MGS,20060601,663428,5271578,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,173,9,,1,124,12000,187,0,1,0
-90.82958472,47.57640859,283,104,0,0,104,283,,ST,A,MGS,20060601,663220,5271504,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,165,16,,1,124,12000,195,0,1,0
-90.8298663,47.57596835,277,110,0,0,110,277,,ST,A,MGS,20060601,663200,5271454,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,166,14,,1,124,12000,194,0,1,0
-90.83305385,47.57531573,274,113,0,0,113,274,,ST,A,MGS,20060601,662963,5271375,15,,,19920000,JCG,,MGS Misc. Map M-71,VC,P,168,20,,1,124,12000,192,0,1,0
