X,Y,AREA,PERIMETER,GEMSTR_,GEMSTR_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,FIELD_STA,MEAS_ID,MEAS_DATE,GEOL_1,GEOL_2,REFRNCE,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-92.079237768306,47.5406946218887,0.00000,0.00000,"322","322",,ST,A12,MGS,"19970318","569291","5265663","15",,MA150.01.1,"19960610",JDM,,NB:JMA/FM:318D.C4,IS,L,"35","0","3","1","39","12000","325"
-92.082989598924,47.5404356781396,0.00000,0.00000,"323","323",,ST,A12,MGS,"19970318","569009","5265631","15",,MA153.00.2,"19960610",JDM,,NB:JMA/FM:318D.C4,IS,L,"25","0","3","1","39","12000","335"
-92.0882363310675,47.5422287928746,0.00000,0.00000,"324","324",,ST,A12,MGS,"19970318","568612","5265825","15",,MA089.02.1,"19960614",JDM,,NB:JMA/FM:318D.W4,IS,L,"40","0","3","1","39","12000","320"
-92.08413384698,47.5409700880227,0.00000,0.00000,"325","325",,ST,A12,MGS,"19970318","568923","5265689","15",,MA092.00.1,"19960614",JDM,,NB:JMA/FM:318D.W4,IL,P,"135","70","3","1","103","12000","225"
-92.0848738841083,47.537922916654,0.00000,0.00000,"326","326",,ST,A12,MGS,"19970318","568871","5265350","15",,MA094.00.1,"19960614",JDM,,NB:JMA/FM:318D.W4,IL,P,"85","12","2","2","103","12000","275"
-92.0906292388699,47.5409296377838,0.00000,0.00000,"327","327",,ST,A12,MGS,"19970318","568434","5265679","15",,MA099.02.1,"19960614",JDM,,NB:JMA/FM:318D.W4,,,"280","35","3","1","1","12000","80"
-92.1055340464271,47.5398925211032,0.00000,0.00000,"328","328",,ST,A12,MGS,"19970318","567314","5265550","15",,MA170.00.1,"19960711",JDM,,NB:JMA/FM:318D.W4,IL,P,"90","8","3","1","103","200000","270"
-92.1174162595605,47.5463929132131,0.00000,0.00000,"329","329",,ST,A12,MGS,"19970318","566411","5266263","15",,MA109.01.1,"19960618",JDM,,NB:JMA/FM:318D.W4,IM,P,"50","24","3","1","73","12000","310"
-92.093113462086,47.548362456844,0.00000,0.00000,"330","330",,ST,A12,MGS,"19970318","568237","5266503","15",,MA135.00.1,"19960620",JDM,,NB:JMA/FM:318D.W4,IL,P,"50","25","4","1","103","12000","310"
-92.0950113212072,47.549910484922,0.00000,0.00000,"331","331",,ST,A12,MGS,"19970318","568092","5266673","15",,SA185,"19960731",MJS,,NB:MJS/FM:318D.W3,IL,P,"105","10","2","1","103","12000","255"
-92.0772371492862,47.544510478798,0.00000,0.00000,"332","332",,ST,A12,MGS,"19970318","569437","5266089","15",,MA150.00.1,"19960610",JDM,,NB:JMA/FM:318D.C4,IS,L,"90","0","4","1","39","12000","270"
-92.0772644924334,47.5441839644291,0.00000,0.00000,"333","333",,ST,A12,MGS,"19970318","569435","5266052","15",,MA150.00.2,"19960610",JDM,,NB:JMA/FM:318D.C4,IS,L,"45","0","3","1","39","12000","315"
-92.0567000018026,47.5469238065493,0.00000,0.00000,"334","334",,ST,A12,MGS,"19970318","570979","5266375","15",,MA205.00.1,"19960724",JDM,,NB:JMA/FM:318D.C4,IL,P,"110","14","3","1","103","12000","250"
-92.0576375612451,47.5445330373162,0.00000,0.00000,"335","335",,ST,A12,MGS,"19970318","570912","5266109","15",,MA204.02.2,"19960724",JDM,,NB:JMA/FM:318D.C4,IL,P,"89","80","3","1","103","12000","271"
-92.0574762284195,47.5448213277173,0.00000,0.00000,"336","336",,ST,A12,MGS,"19970318","570923","5266141","15",,MA204.02.3,"19960724",JDM,,NB:JMA/FM:318D.C4,IL,P,"95","26","3","1","103","12000","265"
-92.0025222122319,47.5444727313034,0.00000,0.00000,"337","337",,ST,A12,MGS,"19970318","575059","5266154","15",,"MA223,00.1","19960726",JDM,,NB:JMA/FM:318D.E4,JM,P,"45","90","3","1","133","12000","315"
-92.1201361881013,47.60263561155,0.00000,0.00000,"338","338",,ST,A12,MGS,"19970318","566136","5272511","15",,SA433,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"155","90","1","1","87","12000","205"
-92.1207419320915,47.6004841736223,0.00000,0.00000,"339","339",,ST,A12,MGS,"19970318","566093","5272271","15",,SA429,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"105","90","2","1","87","12000","255"
-92.1206825564613,47.6004550370609,0.00000,0.00000,"340","340",,ST,A12,MGS,"19970318","566097","5272268","15",,SA429,"19960930",MJS,,NB:MJS/FM:318D.W1,M1,P,"165","80","1","1","137","12000","195"
-92.1194287668018,47.6004515840094,0.00000,0.00000,"341","341",,ST,A12,MGS,"19970318","566192","5272269","15",,SA430,"19960930",MJS,,NB:MJS/FM:318D.W1,SB,P,"227","90","3","1","87","12000","133"
-92.1141195222324,47.6035648983416,0.00000,0.00000,"342","342",,ST,A12,MGS,"19970318","566587","5272619","15",,SA503,"19961028",MJS,,NB:MJS/FM:318D.W1,SB,P,"15","90","1","1","87","12000","345"
-92.1141639485648,47.6035438724662,0.00000,0.00000,"343","343",,ST,A12,MGS,"19970318","566583","5272617","15",,SA503,"19961028",MJS,,NB:MJS/FM:318D.W1,M1,P,"200","85","1","1","137","12000","160"
-92.1139945461207,47.603775941052,0.00000,0.00000,"344","344",,ST,A12,MGS,"19970318","566596","5272643","15",,SA504,"19961028",MJS,,NB:MJS/FM:318D.W1,SB,P,"150","82","1","1","80","12000","210"
-92.1140472486581,47.6037572287309,0.00000,0.00000,"345","345",,ST,A12,MGS,"19970318","566592","5272641","15",,SA504,"19961028",MJS,,NB:MJS/FM:318D.W1,M1,P,"152","83","1","1","137","12000","208"
-92.1135561311893,47.6042786712951,0.00000,0.00000,"346","346",,ST,A12,MGS,"19970318","566628","5272699","15",,SA504.03,"19961028",MJS,,NB:MJS/FM:318D.W1,M1,P,"150","90","2","1","139","12000","210"
