X,Y,ValueId,PolyId,STRUCT_PTS,STRUCT_P_1,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MEAS_ID,MEAS_DATE,GEOL_1,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-90.54325104,47.69930238,27,0,27,27,,ST,A,MGS,20080615,684319,5285803,15,DG039.01,20070814,TJB,VF,P,140,8,,0,80,0,220
-90.60015191,47.70056045,28,0,28,28,,ST,A,MGS,20080615,680046,5285809,15,DG080.01,20070926,TJB,VF,P,150,12,,0,80,0,210
-90.55548913,47.70092705,29,0,29,29,,ST,A,MGS,20080615,683395,5285954,15,DG001.02,20060904,TJB,VF,P,166,13,,0,80,0,194
-90.5391586,47.70110761,30,0,30,30,,ST,A,MGS,20080615,684620,5286013,15,DG039.02,20070814,TJB,VA,P,158,15,,0,80,0,202
-90.5936634,47.70447712,31,0,31,31,,ST,A,MGS,20080615,680519,5286259,15,DG080.02,20070926,TJB,VF,P,133,12,,0,80,0,227
-90.55811777,47.70496194,32,0,32,32,,ST,A,MGS,20080615,683184,5286397,15,DG002.03,20060904,TJB,VF,P,170,10,,0,80,24000,190
-90.55835403,47.70576538,33,0,33,33,,ST,A,MGS,20080615,683163,5286485,15,DG002.03,20060904,TJB,VF,P,160,14,,0,80,0,200
-90.52866718,47.70580905,34,0,34,34,,ST,A,MGS,20080615,685390,5286561,15,DG041.04,20070815,TJB,VF,P,168,14,,0,80,0,192
-90.58158038,47.70770199,35,0,35,35,,ST,A,MGS,20080615,681414,5286646,15,DG080.03,20070926,TJB,VF,P,162,8,,0,80,0,198
-90.5567001,47.70881292,36,0,36,36,,ST,A,MGS,20080615,683277,5286828,15,DG002.04,20060904,TJB,VF,P,172,11,,0,80,0,188
-90.57591792,47.70989691,37,0,37,37,,ST,A,MGS,20080615,681831,5286903,15,DG080.04,20070926,TJB,VF,P,130,11,,0,80,0,230
-90.56833904,47.71078279,38,0,38,38,,ST,A,MGS,20080615,682397,5287019,15,DG002.06,20060904,TJB,VF,P,140,11,,0,80,24000,220
-90.53599584,47.71201788,39,0,39,39,,ST,A,MGS,20080615,684818,5287233,15,DG037.02,20070814,TJB,VF,P,160,8,,0,80,0,200
-90.53724597,47.71270888,42,0,42,42,,ST,A,MGS,20080615,684722,5287307,15,DG037.02,20070814,TJB,VF,P,150,8,,0,80,0,210
-90.49298809,47.71329589,45,0,45,45,,ST,A,MGS,20080615,688040,5287479,15,DG041.02,20070815,TJB,VF,P,145,12,,0,80,0,215
-90.48671126,47.71489631,48,0,48,48,,ST,A,MGS,20080615,688505,5287672,15,DG041.02,20070815,TJB,VF,P,145,12,,0,80,0,215
-90.48652535,47.71512379,50,0,50,50,,ST,A,MGS,20080615,688518,5287698,15,DG048.02,20070816,TJB,VF,P,170,20,,0,80,0,190
-90.48658483,47.71542453,52,0,52,52,,ST,A,MGS,20080615,688512,5287731,15,DG048.02,20070816,TJB,VF,P,238,8,,0,80,0,122
-90.52117693,47.71704348,53,0,53,53,,ST,A,MGS,20080615,685912,5287827,15,DG046.02,20070816,TJB,VF,P,141,11,,0,80,0,219
-90.46551841,47.72035765,62,0,62,62,,ST,A,MGS,20080615,690074,5288331,15,DG052.01,20070829,TJB,VF,P,205,10,,0,80,0,155
-90.5047485,47.72315916,66,0,66,66,,ST,A,MGS,20080615,687122,5288547,15,DG025.08,20070803,TJB,VF,P,135,15,,0,80,0,225
-90.46831877,47.72388832,69,0,69,69,,ST,A,MGS,20080615,689851,5288716,15,DG051.02,20070829,TJB,VF,P,195,14,,0,80,0,165
-90.44035681,47.72492383,71,0,71,71,,ST,A,MGS,20080615,691944,5288900,15,DG052.01,20070829,TJB,VF,P,155,16,,0,80,0,205
-90.44338409,47.72867249,77,0,77,77,,ST,A,MGS,20080615,691703,5289309,15,DG054.01,20070904,TJB,VL,P,145,10,,0,80,0,215
-90.48080137,47.7296272,78,0,78,78,,ST,A,MGS,20080615,688894,5289323,15,DG084,20070928,TJB,VF,P,145,18,,0,80,0,215
-90.48174767,47.72987306,79,0,79,79,,ST,A,MGS,20080615,688823,5289348,15,DG084,20070928,TJB,VF,P,180,11,,0,80,0,180
-90.48526037,47.72995912,80,0,80,80,,ST,A,MGS,20080615,688559,5289349,15,DG084,20070928,TJB,VF,P,155,13,,0,80,0,205
-90.44501195,47.72934077,83,0,83,83,,ST,A,MGS,20080615,691579,5289380,15,DG054.01,20070904,TJB,VF,P,165,13,,0,80,0,195
-90.45445022,47.73094393,88,0,88,88,,ST,A,MGS,20080615,690865,5289534,15,DG054.02,20070904,TJB,VF,P,155,8,,0,80,0,205
