X,Y,ValueId,PolyId,STRUCT_PTS,STRUCT_P_1,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,MEAS_ID,MEAS_DATE,GEOL_1,STRUCTURE,STRUC_TYPE,DIPD_TREND,DIP_PLUNGE,MRR_RELIAB,N_MEAS,SYM_CODE,DISPLAY,AVANGLE
-90.6191403,47.66742711,1,0,1,1,,ST,A,MGS,20080615,678735,5282083,15,DG040,20070814,TJB,VF,P,155,12,,0,80,0,205
-90.61751242,47.66807874,2,0,2,2,,ST,A,MGS,20080615,678855,5282159,15,DG040,20070814,TJB,VF,P,130,14,,0,80,0,230
-90.59903678,47.67431652,3,0,3,3,,ST,A,MGS,20080615,680220,5282895,15,DG040,20070814,TJB,VF,P,155,14,,0,80,0,205
-90.59517817,47.67601783,4,0,4,4,,ST,A,MGS,20080615,680504,5283093,15,DG040,20070814,TJB,VF,P,155,12,,0,80,0,205
-90.58883767,47.67871215,5,0,5,5,,ST,A,MGS,20080615,680970,5283407,15,DG040,20070814,TJB,VF,P,130,12,,0,80,0,230
-90.58662768,47.67986519,6,0,6,6,,ST,A,MGS,20080615,681132,5283540,15,DG040,20070814,TJB,VA,P,140,11,,0,80,0,220
-90.5852121,47.68029807,7,0,7,7,,ST,A,MGS,20080615,681237,5283592,15,DG040,20070814,TJB,VC,P,155,21,,0,80,0,205
-90.58193141,47.68145479,8,0,8,8,,ST,A,MGS,20080615,681479,5283728,15,DG040,20070814,TJB,VF,P,180,6,,0,80,0,180
-90.58761691,47.68622063,9,0,9,9,,ST,A,MGS,20080615,681036,5284244,15,DG014.02,0,TJB,SB,P,195,9,,0,80,0,165
-90.58732272,47.68625397,10,0,10,10,,ST,A,MGS,20080615,681058,5284249,15,DG014.02,0,TJB,SB,P,161,8,,0,80,0,199
-90.59021505,47.68636089,11,0,11,11,,ST,A,MGS,20080615,680841,5284254,15,DG014.03,0,TJB,SB,P,161,10,,0,80,0,199
-90.62382488,47.6875883,12,0,12,12,,ST,A,MGS,20080615,678314,5284312,15,L068.05,20061002,TJB,VF,P,155,15,,0,80,0,205
-90.56753604,47.68672286,13,0,13,13,,ST,A,MGS,20080615,682541,5284347,15,DG023.04,20070802,TJB,VC,P,120,12,,0,80,0,240
-90.55534984,47.68881252,14,0,14,14,,ST,A,MGS,20080615,683448,5284608,15,DG023.01,20070802,TJB,VF,P,145,11,,0,80,0,215
-90.54931064,47.69176108,15,0,15,15,,ST,A,MGS,20080615,683891,5284950,15,DG022198,20070802,TJB,VL,P,190,10,,0,80,0,170
-90.60770125,47.69315888,16,0,16,16,,ST,A,MGS,20080615,679505,5284969,15,DG004.03,20060904,TJB,VF,P,150,10,,0,80,24000,210
-90.5488909,47.69238776,17,0,17,17,,ST,A,MGS,20080615,683920,5285021,15,DG022,20070802,TJB,VC,P,198,10,,0,80,0,162
-90.54947281,47.69271026,18,0,18,18,,ST,A,MGS,20080615,683876,5285056,15,DG021.03,20070802,TJB,SB,P,167,12,,0,80,0,193
-90.550902,47.69381829,19,0,19,19,,ST,A,MGS,20080615,683764,5285175,15,DG021.02,20070802,TJB,SB,P,170,11,,0,80,0,190
-90.6089266,47.69592238,20,0,20,20,,ST,A,MGS,20080615,679404,5285273,15,DG004.03,20060904,TJB,VF,P,155,12,,0,80,24000,205
-90.55174838,47.69560377,21,0,21,21,,ST,A,MGS,20080615,683695,5285372,15,DG020.04,20070802,TJB,VF,P,145,12,,0,80,0,215
-90.5523191,47.69616633,22,0,22,22,,ST,A,MGS,20080615,683650,5285433,15,DG020.04,20070802,TJB,VF,P,143,8,,0,80,0,217
-90.55318551,47.69752588,23,0,23,23,,ST,A,MGS,20080615,683580,5285582,15,DG020.03,20070802,TJB,VF,P,140,7,,0,80,0,220
-90.55409654,47.6979329,24,0,24,24,,ST,A,MGS,20080615,683510,5285625,15,DG020.02,20070802,TJB,VF,P,145,17,,0,80,0,215
-90.60516063,47.69908774,25,0,25,25,,ST,A,MGS,20080615,679675,5285634,15,DG080.01,20070926,TJB,VF,P,177,15,,0,80,0,183
-90.60542012,47.69967299,26,0,26,26,,ST,A,MGS,20080615,679654,5285698,15,DG080.01,20070926,TJB,VF,P,145,12,,0,80,0,215
