zircon,206Pb/238U,206Pb/238U_2sigma,207Pb/235U,207Pb/235U_2sigma,207Pb/206Pb,207Pb/206Pb_2sigma,corr_coeff,perc_disc,include
z4,1091.971169,0.774118697,1092.40592,0.789137928,1093.272567,1.311643414,0.855858553,0.117934637,yes
z8,1091.963826,0.45739525,1092.354434,0.556948249,1093.133092,0.805100798,0.974356276,0.08323667,yes
z1,1091.940206,0.459814406,1092.2,0.58526623,1092.718244,0.93137427,0.947656276,0.087475716,yes
z7,1091.823713,0.551846404,1091.980987,0.655323695,1092.296243,1.111809778,0.885615068,0.097957661,yes
z3,1091.717402,0.466335916,1092.021566,0.576418669,1092.628837,0.890603431,0.950405108,0.08616117,yes
z6,1091.53607,0.55259007,1091.589581,0.677741951,1091.695428,1.18608608,0.87779422,0.101328967,yes
z5,1091.257377,0.502213046,1091.994169,0.638730819,1093.46211,1.116188096,0.891022438,0.095476719,no
z2,1091.199953,0.488304025,1091.639554,0.624486063,1092.517972,1.062920706,0.910101584,0.093364317,no
