Sample,MgO,SiO2,CaO,TiO2,MnO,FeO,Total,Unit
BBC6-Ol-1,33.7,38.77,0,0,0.42,27.11,100,BRD
BBC6-Ol-2,33.23,38.84,0,0,0.5,27.43,100,BRD
BBC6-Ol-3,33.71,38.7,0,0,0.37,27.21,100,BRD
BBC6-Ol-4,33.64,38.85,0,0,0.52,26.99,100,BRD
BBC6-Ol-5,33.55,39.09,0,0,0.38,26.98,100,BRD
BBC6-Ol-6,33.55,39.22,0,0,0.43,26.8,100,BRD
Average,33.56,38.91,0,0,0.44,27.09,100,BRD
BBC13-Ol-1,27.51,37.48,0,0,0.54,34.47,100,BRD
BBC13-Ol-2,27.28,37.46,0.19,0,0.32,34.75,100,BRD
BBC13-Ol-3,27.21,37.15,0,0,0.48,35.15,100,BRD
BBC13-Ol-4,25.62,37.22,0.15,0,0.45,36.57,100,BRD
BBC13-Ol-5,24.48,37.04,0.2,0,0.36,37.92,100,BRD
BBC13-Ol-6,26.86,37.47,0,0,0.6,35.06,100,BRD
Average,26.49,37.3,0.09,0,0.46,35.65,100,BRD
BBC14-Ol-1,24.79,36.99,0,0,0.65,37.57,100,BRD
BBC14-Ol-2,25.1,37.18,0,0,0.55,37.17,100,BRD
BBC14-Ol-3,24.8,36.95,0,0,0.71,37.55,100,BRD
BBC14-Ol-4,25.27,37.44,0,0,0.41,36.88,100,BRD
BBC14-Ol-5,25.51,37.34,0,0,0.53,36.63,100,BRD
BBC14-Ol-6,25.37,37.05,0,0,0.52,37.05,100,BRD
Average,25.14,37.16,0,0,0.56,37.14,100,BRD
SBI10-Ol-1,20.89,36.26,0.44,0,0.7,41.71,100,BRD
SBI10-Ol-2,19.04,35.55,0.22,0,0.47,44.71,100,BRD
SBI10-Ol-3,20.5,36.08,0.23,0,0.69,42.49,100,BRD
SBI10-Ol-4,22.73,36.87,0.21,0,0.59,39.59,100,BRD
SBI10-Ol-5,22.22,36.29,0.22,0,0.41,40.85,100,BRD
SBI10-Ol-6,19.01,35.49,0.19,0,0.5,44.82,100,BRD
Average,20.73,36.09,0.25,0,0.56,42.36,100,BRD
B364-Ol-1,36.1,37.1,0.14,0,0.33,24.7,98.4,BRD
B364-Ol-2,36.3,37.7,0.12,0,0.3,24.9,99.3,BRD
B364-Ol-3,35.7,36.8,0.2,0,0.32,24.8,97.8,BRD
B364-Ol-4,36.3,37.3,0.22,0,0.33,24.6,98.8,BRD
B364-Ol-5,36.6,37.3,0.16,0,0.3,24.5,98.9,BRD
B364-Ol-6,36.3,36.7,0.17,0,0.3,24.7,98.2,BRD
B364-Ol-7,36.6,37.5,0.14,0,0.32,25,99.6,BRD
Average,36.27,37.2,0.16,0,0.31,24.74,98.7,BRD
E161-Ol-1,38.3,37.5,0.34,0.08,0.34,23.5,100.1,BRD
E161-Ol-2,38,37.9,0.34,0.07,0.32,23.3,99.9,BRD
E161-Ol-3,38.3,38.1,0.23,0.03,0.32,23.2,100.2,BRD
E161-Ol-4,38.1,38,0.25,0.08,0.31,23.3,100,BRD
E161-Ol-5,38.5,38.3,0.29,0.08,0.29,23.3,100.8,BRD
E161-Ol-6,37.6,38.7,0.35,0.09,0.3,23,100,BRD
Average,38.13,38.08,0.3,0.07,0.31,23.27,100.2,BRD
D126-Ol-1,37.5,37.4,0.26,0.1,0.34,24.5,100.1,BRD
D126-Ol-2,37.4,38.3,0.24,0.05,0.34,24.5,100.8,BRD
D126-Ol-3,37.4,38.7,0.28,0.08,0.35,24.8,101.6,BRD
D126-Ol-4,37.2,37.3,0.25,0.09,0.35,24.7,99.9,BRD
D126-Ol-5,37.4,38,0.26,0.08,0.35,24.6,100.7,BRD
Average,37.38,37.94,0.26,0.08,0.35,24.62,100.6,BRD
D314-Ol-1,33.1,35.6,0.23,0,0.41,30.2,99.5,BRD
D314-Ol-2,33.5,36.3,0.29,0,0.4,30.1,100.6,BRD
D314-Ol-3,34.8,36.2,0.24,0,0.32,28.5,100.1,BRD
D314-Ol-4,34.5,34.8,0.3,0,0.42,29.6,99.6,BRD
D314-Ol-5,33.8,35.4,0.37,0,0.44,29.8,99.8,BRD
Average,33.94,35.66,0.29,0,0.4,29.64,99.9,BRD
D246-Ol-1,35.5,36.4,0.28,0,0.38,26.8,99.4,BRD
D246-Ol-2,35.8,36.7,0.25,0,0.38,26.9,100,BRD
D246-Ol-3,36.9,35.8,0.26,0,0.34,26.6,99.9,BRD
D246-Ol-4,35.4,36.7,0.22,0,0.35,28.1,100.8,BRD
D246-Ol-5,34.6,35.9,0.25,0,0.41,28.9,100.1,BRD
D246-Ol-6,35.2,36.4,0.22,0,0.4,28.7,100.9,BRD
D246-Ol-7,34.7,36,0.21,0,0.41,29.2,100.5,BRD
Average,35.44,36.27,0.24,0,0.38,27.89,100.2,BRD
B326-Ol-1,26.6,34.4,0.34,0,0.52,36.3,98.2,BRD
B326-Ol-2,28,34.5,0.4,0,0.47,35.1,98.5,BRD
B326-Ol-3,27.3,34.2,0.35,0,0.46,35.7,98,BRD
B326-Ol-4,26.9,34.3,0.36,0,0.51,36.2,98.3,BRD
Average,27.2,34.35,0.36,0,0.49,35.83,98.2,BRD
E217-Ol-1,31.4,36.7,0.3,0,0.48,31.4,100.3,BRD
E217-Ol-2,32.1,36.5,0.3,0,0.39,31,100.3,BRD
E217-Ol-3,32.8,36,0.3,0,0.41,31,100.5,BRD
E217-Ol-4,31.9,36.1,0.29,0,0.44,30.9,99.6,BRD
E217-Ol-5,32.1,36.8,0.29,0,0.44,31.3,100.9,BRD
Average,32.06,36.42,0.3,0,0.43,31.12,100.3,BRD
E159A-Ol-1,28.1,35.2,0.41,0,0.55,35.7,100,BRD
E159A-Ol-2,31,35.7,0.42,0,0.48,32.3,99.9,BRD
E159A-Ol-3,31.4,35.8,0.41,0,0.44,32.6,100.7,BRD
E159A-Ol-4,25.5,34.2,0.42,0.01,0.59,38.3,99,BRD
E159A-Ol-5,20.6,34,0.49,0.05,0.72,44.6,100.5,BRD
E159A-Ol-6,23.8,34.4,0.34,0,0.65,41.7,100.9,BRD
E159A-Ol-7,23.2,34.8,0.41,0.01,0.69,42.1,101.2,BRD
E159A-Ol-8,23.6,34.5,0.4,0.01,0.66,41.7,100.9,BRD
E159A-Ol-9,21.3,34.2,0.29,0,0.72,43.9,100.4,BRD
Average,25.39,34.76,0.4,0.01,0.61,39.21,100.4,BRD
A290B-Ol-1,29.3,35.8,0.38,0,0.48,33.2,99.2,BRD
A290B-Ol-2,30.5,36,0.37,0,0.45,32,99.3,BRD
A290B-Ol-3,26.7,35.2,0.35,0.03,0.59,36.5,99.4,BRD
A290B-Ol-4,29.8,35.7,0.41,0,0.45,33.4,99.8,BRD
A290B-Ol-5,28,35.5,0.34,0.01,0.47,34.5,98.8,BRD
A290B-Ol-6,30,36.5,0.37,0,0.45,32.9,100.2,BRD
Average,29.05,35.78,0.37,0.01,0.48,33.75,99.4,BRD
B319-Ol-1,28.5,35.4,0.31,0.01,0.51,33.8,98.5,BRD
