Sample,Location,Unit,Type,Wgt,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ni,Sc,LOI,Sum,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
KP101,Keweenaw,GSF,Rock,0.8,47.5,15.96,11.57,8.1,9.56,2.25,0.37,1.34,0.12,0.16,0.025,182,27,2.8,99.75,129,<1,54.7,0.9,16.5,2.8,8.1,13,<1,249.3,0.4,1,0.1,232,<0.5,106.8,22.7,11.4,24.6,3.35,15.1,3.52,1.2,4.07,0.68,4.08,0.83,2.28,0.32,2.01,0.32,0.06,<0.02,0.1,99.4,6.2,58,115.4,0.5,<0.1,0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP104,Keweenaw,GSF,Rock,0.52,47.11,17.42,10.64,8.05,10.74,2.07,0.34,1.21,0.1,0.15,0.019,183,22,1.9,99.76,108,<1,52.8,1.6,16.8,2.3,7.2,10.9,<1,268.8,0.4,0.8,0.1,205,<0.5,90.4,18.9,10.2,22.7,2.95,13.2,3.07,1.11,3.55,0.57,3.47,0.73,1.93,0.28,1.73,0.26,0.02,<0.02,0.2,78.5,1.8,50,128.8,<0.5,<0.1,<0.1,<0.1,<0.1,0.9,<0.01,<0.1,<0.5
KP110,Keweenaw,GSF,Rock,0.64,47.06,16.99,11.55,6.8,10.6,2.35,0.32,1.37,0.13,0.16,0.029,109,27,2.4,99.78,108,<1,51.6,0.9,16.8,2.4,7.2,9.3,<1,252.7,0.4,0.8,0.1,236,<0.5,91.9,19.5,10.4,22.1,2.9,12.7,3.18,1.16,3.59,0.59,3.51,0.74,2.02,0.3,1.76,0.27,0.02,<0.02,0.1,88.5,1.3,53,71.7,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP111,Keweenaw,GSF,Rock,0.72,48.58,12.69,10.06,7.23,13.58,2.53,0.43,1.76,0.14,0.19,0.05,59,50,2.5,99.74,128,1,37.2,<0.1,13.8,2.9,8.9,6.8,<1,223.9,0.6,1.1,0.2,389,<0.5,114.7,27.3,12.5,27.9,3.79,16.8,4.33,1.34,4.89,0.83,4.99,0.98,2.76,0.4,2.37,0.37,0.02,<0.02,0.3,102.2,1.5,40,13.1,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP111-B,Keweenaw,GSF,Rock,1.2,49.31,14.02,9.71,5.98,13.12,2.95,0.76,1.71,0.15,0.17,0.04,46,44,1.8,99.75,167,<1,36.4,<0.1,17,3.3,10.2,10.8,<1,274.4,0.6,1.1,0.2,346,<0.5,127.1,28.4,13.7,30.7,4.18,19.3,4.61,1.53,5.16,0.87,5.23,1.04,2.8,0.42,2.47,0.39,<0.02,<0.02,0.7,161.2,2.2,45,14.4,0.7,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP111-C,Keweenaw,GSF,Rock,1.32,47.82,17.28,10.49,5.88,9.82,2.96,0.47,1.28,0.13,0.16,0.012,87,26,3.5,99.77,157,<1,46.3,0.3,18,2.4,6.9,11.9,<1,343.5,0.4,1,0.1,217,<0.5,94.4,18.8,10.8,24.6,3.04,13.4,3.28,1.25,3.7,0.63,3.56,0.73,2.06,0.29,1.71,0.27,0.03,<0.02,0.2,99.6,1.6,53,56.1,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP112,Keweenaw,GSF,Rock,0.87,47.45,18.31,11.09,4.44,10.73,2.7,0.47,1.77,0.17,0.16,0.013,56,27,2.5,99.78,169,<1,39,0.2,20.6,3.5,10.7,13,<1,311.2,0.7,1.4,0.2,233,<0.5,134,26.3,15.2,34.4,4.37,19,4.52,1.51,5.03,0.82,4.76,1,2.71,0.4,2.46,0.37,<0.02,<0.02,0.3,124.6,2.4,68,29.3,<0.5,<0.1,<0.1,<0.1,<0.1,1.7,<0.01,<0.1,<0.5
KP116,Keweenaw,GSF,Rock,0.94,47.87,14.95,11.78,5.76,10.17,3.79,0.62,1.42,0.08,0.18,0.018,54,43,3.1,99.76,190,1,45.5,0.5,18.2,2.1,5.7,13.6,<1,371,0.4,0.6,<0.1,331,<0.5,75.7,19.3,7.7,19.1,2.52,11.6,3.15,1.35,3.74,0.62,3.66,0.76,2.02,0.29,1.73,0.28,0.03,<0.02,0.2,56.9,1.4,45,26.8,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP19,Keweenaw,GSF,Rock,0.62,47.43,15.89,11.58,8.01,10.02,2.2,0.35,1.36,0.13,0.16,0.026,183,27,2.6,99.75,105,<1,54.8,4.9,18,2.6,7.9,8.9,<1,238.9,0.5,0.9,0.2,232,<0.5,103.8,20.6,10.7,24.3,3.25,14.1,3.48,1.17,3.99,0.66,4,0.82,2.17,0.33,1.98,0.3,0.04,<0.02,0.2,92.7,1.7,51,132.6,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
IR1,Isle Royale,GSF,Rock,0.58,48.84,14.74,12.29,5.24,7.39,4.39,0.8,1.94,0.13,0.21,0.022,35,34,3.7,99.75,190,<1,41.4,<0.1,16.5,3.3,9.7,15.1,<1,195.6,0.5,1.3,0.2,319,<0.5,122.9,26,12.4,28.6,3.85,16.7,4.28,1.45,4.85,0.8,4.78,0.99,2.62,0.39,2.37,0.38,0.09,<0.02,0.2,149.3,2.1,108,21.5,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
IR3,Isle Royale,GSF,Rock,0.71,48.48,14.63,12.11,5.38,8.42,3.67,1.35,1.84,0.17,0.19,0.023,49,34,3.4,99.67,563,<1,41.6,<0.1,19,4.3,13.1,31.4,1,511.4,0.8,1.8,0.3,304,<0.5,168.6,33.2,18.1,39.7,5.36,23,5.51,1.73,6.33,1.03,6.06,1.24,3.33,0.5,2.95,0.49,0.03,<0.02,0.3,33.3,3.1,84,25.6,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
IR5,Isle Royale,GSF,Rock,0.42,48.02,10.78,19.89,3.9,4.71,4.05,0.73,3.71,0.32,0.21,<0.002,<20,33,3.4,99.74,101,1,44.3,<0.1,18.9,8.3,26.3,9.2,3,46.2,1.5,3.1,0.8,240,<0.5,311.4,57.4,27.9,66.7,9.27,40.7,9.69,2.69,10.9,1.86,10.93,2.25,5.67,0.89,5.29,0.84,0.07,<0.02,0.5,112,3,121,5.9,<0.5,<0.1,<0.1,<0.1,<0.1,3.6,<0.01,<0.1,<0.5
IR6,Isle Royale,GSF,Rock,0.89,51.59,13.62,12.58,5.12,7.35,4.01,1.33,2.22,0.17,0.22,0.01,36,40,1.5,99.69,542,<1,38.6,<0.1,16.3,4.2,12.3,32.3,1,292,0.8,1.5,0.3,395,<0.5,159.2,31.4,15.7,36.3,4.69,20,5.02,1.59,5.86,0.99,5.82,1.19,3.22,0.47,2.9,0.45,0.02,<0.02,0.2,140.8,2.2,87,11.9,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,0.5
IR7-A,Isle Royale,GSF,Rock,0.62,47.86,14.79,13.75,5.48,9.08,2.86,1.23,2.47,0.15,0.23,0.017,37,36,1.7,99.66,593,1,43.8,<0.1,18.9,4.4,13.2,29,1,273.2,0.8,1.6,0.3,438,<0.5,164.3,31.6,16.6,37.7,4.98,20.9,5.3,1.63,5.92,0.99,5.84,1.22,3.22,0.48,2.84,0.45,0.02,<0.02,0.1,176.6,2,69,17.8,<0.5,<0.1,<0.1,<0.1,<0.1,0.5,<0.01,<0.1,<0.5
IR7-B,Isle Royale,GSF,Rock,0.79,47.15,15.58,11.58,8.26,9.6,2.24,0.41,1.36,0.1,0.18,0.026,175,28,3.2,99.73,158,<1,54.9,<0.1,16.2,2.7,8.5,9.7,<1,290.3,0.5,1.2,0.2,227,<0.5,104,21.7,11.2,23.9,3.26,14.1,3.55,1.25,4.09,0.67,3.91,0.86,2.2,0.33,1.99,0.33,0.03,<0.02,0.2,74.7,1.7,48,113.1,<0.5,<0.1,<0.1,<0.1,<0.1,1.5,<0.01,<0.1,<0.5
IR7-C,Isle Royale,GSF,Rock,0.85,48.47,10.49,16.05,2.42,13.96,0.07,0.32,2.74,0.55,0.16,<0.002,<20,26,4.6,99.81,52,2,33.6,<0.1,27.4,9.1,29.2,4.3,3,47.6,1.7,3.9,0.8,86,<0.5,348.2,70.8,46.4,99.4,12.98,55.8,12.58,3.49,13.67,2.2,12.99,2.6,6.86,1.05,6.29,0.98,0.06,<0.02,0.9,26.8,8.1,100,3.9,0.7,0.3,0.2,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
IR9,Isle Royale,GSF,Rock,0.68,47.25,15.77,10.9,7.99,9.79,2.25,0.47,1.29,0.12,0.16,0.024,177,25,3.7,99.75,226,<1,52.4,0.1,18.3,2.8,9.4,11.8,1,269.3,0.5,2.2,0.2,212,<0.5,114.4,22.1,13.9,29.4,3.85,16.6,3.82,1.3,4.33,0.75,4.53,0.89,2.46,0.36,2.28,0.35,0.02,<0.02,0.2,35.6,1.9,45,112,<0.5,<0.1,<0.1,<0.1,<0.1,4.1,<0.01,<0.1,<0.5
IR10,Isle Royale,GSF,Rock,0.76,47.33,15.65,11.13,7.82,9.93,2.28,0.44,1.32,0.11,0.15,0.024,175,26,3.5,99.73,172,1,53,<0.1,16.7,2.8,9.3,10.3,1,239.6,0.6,1.2,0.2,215,<0.5,111.8,23.4,12.6,28.5,3.64,14.9,3.73,1.24,4.35,0.71,4.14,0.83,2.34,0.36,2.14,0.34,0.05,<0.02,0.2,135.4,1.6,52,113,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,0.01,<0.1,<0.5
IR11,Isle Royale,GSF,Rock,0.63,46.82,16.06,11.29,7.35,10.03,2.42,0.51,1.31,0.12,0.15,0.024,172,25,3.6,99.73,174,<1,53.7,<0.1,19.7,3.2,9.7,11.5,2,297,0.7,3.1,0.2,222,0.5,116.3,24.8,14.3,31.3,4.05,17.5,4.2,1.29,4.58,0.78,4.37,0.97,2.66,0.35,2.43,0.36,0.1,<0.02,0.9,88.1,4.5,68,146.6,0.7,<0.1,0.1,<0.1,1,10966.8,4.49,<0.1,<0.5
IR12,Isle Royale,GSF,Rock,1.17,47.1,15.8,11.13,7.93,9.58,2.38,0.48,1.29,0.11,0.17,0.025,170,25,3.7,99.73,218,<1,55.8,<0.1,19.4,3,9.1,12,1,342,0.6,2.4,0.2,213,<0.5,110.3,23.2,12.6,28.6,3.62,16.7,3.9,1.28,4.47,0.74,4.36,0.83,2.52,0.35,2.31,0.34,0.04,<0.02,0.6,83.1,1.4,49,117.1,<0.5,<0.1,<0.1,<0.1,<0.1,8.4,0.01,<0.1,<0.5
IR15,Isle Royale,GSF,Rock,1.05,47.54,16.02,11.5,7.71,9.58,2.3,0.45,1.32,0.11,0.16,0.026,177,26,3,99.74,170,<1,54.7,<0.1,19,3,8.1,10.9,<1,305.9,0.5,1.7,0.1,229,<0.5,105,22.9,13.1,28.2,3.58,15.4,3.63,1.29,4.17,0.72,4.33,0.88,2.48,0.35,2.14,0.34,0.03,<0.02,0.2,76,5.7,51,111,<0.5,<0.1,0.1,<0.1,<0.1,4.8,0.02,<0.1,<0.5
IR20,Isle Royale,GSF,Rock,0.7,47.42,15.76,11.48,7.66,9.96,2.24,0.42,1.38,0.12,0.16,0.024,171,26,3.1,99.74,153,<1,53.2,0.1,17.9,3.2,8.8,10.6,<1,268,0.4,1.5,0.2,231,<0.5,115.2,22.2,12.3,27.3,3.65,16.5,4.05,1.34,4.35,0.75,4.37,0.84,2.35,0.38,2.2,0.33,<0.02,<0.02,0.2,72.2,1.8,49,114.6,0.6,<0.1,<0.1,<0.1,<0.1,3.1,<0.01,<0.1,<0.5
IR21,Isle Royale,GSF,Rock,0.68,46.91,16.53,11.37,7.62,9.88,2.19,0.38,1.26,0.11,0.15,0.026,202,24,3.3,99.76,131,<1,56.1,0.2,18.4,2.9,7.9,10.2,<1,276,0.5,0.9,0.1,218,0.6,101.9,20.2,11.3,25.2,3.17,13.2,3.21,1.25,3.72,0.66,3.9,0.81,2.34,0.3,2.03,0.3,0.06,<0.02,0.1,39.6,1.3,42,140.3,<0.5,<0.1,<0.1,<0.1,<0.1,4.9,<0.01,<0.1,0.6
IR22,Isle Royale,GSF,Rock,0.72,47.1,15.83,11.76,7.64,10.18,2.25,0.44,1.37,0.1,0.18,0.026,155,28,2.9,99.75,142,<1,55.8,0.2,18.3,3,8.3,12.6,<1,269.1,0.5,1.4,0.2,245,<0.5,106.1,22.9,11.6,25.8,3.37,16,3.77,1.33,4.19,0.71,4.28,0.8,2.3,0.33,2.2,0.32,<0.02,<0.02,0.3,65.7,2.4,47,91.8,0.8,<0.1,<0.1,<0.1,<0.1,3.5,<0.01,<0.1,<0.5
IR23,Isle Royale,GSF,Rock,0.74,48.23,15.39,12.52,5.01,8.92,3.31,1.44,1.84,0.19,0.2,0.024,52,33,2.6,99.63,1073,<1,44.3,0.3,20.2,4,10.9,37.5,<1,509.7,0.7,1.5,0.4,291,<0.5,149.6,30.7,16.9,36.9,4.88,21.4,5.54,1.82,6.07,1.01,5.75,1.22,3.34,0.43,2.8,0.45,0.07,<0.02,0.6,92.9,3.3,96,26.7,1.2,0.2,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
IR24,Isle Royale,GSF,Rock,0.67,58.93,10.81,13.45,1.97,3.28,2.6,2.76,2.16,0.6,0.18,<0.002,<20,21,2.9,99.63,702,1,20.2,<0.1,20.7,14.5,43.8,55.6,4,174.3,2.6,6.5,1.6,59,<0.5,572.6,93.6,67.5,140,17.86,75.7,18.02,4.11,18.7,3.17,18.89,3.69,9.97,1.44,9.57,1.42,0.11,<0.02,0.8,651,4.5,120,3.5,1.3,<0.1,<0.1,<0.1,0.1,2.2,0.01,<0.1,
IR26-A,Isle Royale,GSF,Rock,0.82,49.02,13.3,13.25,4.67,9.8,3.96,0.81,2.11,0.17,0.19,0.01,33,34,2.4,99.74,246,<1,41,<0.1,22.5,4.9,13.5,14.9,3,153,0.8,2,0.5,385,<0.5,180.7,34.9,18.3,41.4,5.35,24.2,6.01,1.85,6.62,1.09,6.51,1.33,3.86,0.53,3.38,0.5,0.03,<0.02,0.5,192.8,3.7,88,14.7,1.1,0.2,<0.1,<0.1,0.1,1.6,<0.01,<0.1,<0.5
IR26-B,Isle Royale,GSF,Rock,1.09,47.53,15.96,11.92,7.87,10.05,2.34,0.42,1.38,0.12,0.17,0.026,210,27,1.9,99.73,155,2,53.2,0.2,18.3,3.1,8.7,10.8,<1,258.7,0.3,1.2,0.4,241,1.9,111.8,24.3,12,27.1,3.66,16.4,4.06,1.33,4.21,0.76,5,0.85,2.57,0.37,2.32,0.34,0.03,<0.02,<0.1,48.4,1.8,48,107.9,0.7,<0.1,<0.1,<0.1,<0.1,0.8,<0.01,<0.1,<0.5
IR27,Isle Royale,GSF,Rock,1.23,47.57,15.8,11.41,7.55,9.64,2.26,0.44,1.33,0.12,0.15,0.024,177,25,3.4,99.74,153,2,52.9,0.2,18.8,3.2,8.7,11.5,<1,272.6,0.6,1.1,0.2,233,<0.5,114.5,23.7,13.3,28.8,3.72,16.6,4.15,1.34,4.42,0.75,4.64,0.93,2.41,0.37,2.3,0.35,0.05,<0.02,0.1,70.4,1.3,47,118.4,1,<0.1,<0.1,<0.1,<0.1,2.1,<0.01,<0.1,<0.5
BBC1,Beaver Bay,BRD,Rock,1.09,49.02,16.95,13.33,3.32,9.86,3.01,0.68,2.72,0.19,0.17,<0.002,<20,29,0.5,99.75,250,<1,38.6,0.7,24.1,4.4,12.5,18.9,1,345.8,0.9,2.3,0.5,346,<0.5,163.5,30.9,20,43.8,5.61,24.1,5.6,2.02,6.16,0.98,6.07,1.13,3.31,0.46,3.02,0.43,<0.02,<0.02,0.5,166.8,6.2,150,10.1,0.7,<0.1,<0.1,<0.1,<0.1,4,<0.01,<0.1,<0.5
BBC2,Beaver Bay,BRD,Rock,0.51,50.65,17.55,11.7,2.73,9.37,3.14,0.92,2.16,0.27,0.16,0.003,<20,24,1.1,99.75,308,3,30.5,0.5,23.2,5.6,15.5,30.2,1,328.5,0.9,2.3,0.6,261,<0.5,217.3,40,26.8,57.2,7.45,31.4,7.28,1.99,7.5,1.18,7.53,1.34,3.92,0.55,3.55,0.56,0.07,<0.02,0.4,136.1,2.5,60,8.8,1,<0.1,<0.1,<0.1,<0.1,4.1,<0.01,<0.1,<0.5
BBC4,Beaver Bay,BRD,Rock,0.54,49.21,16.53,12.24,4.58,10.32,2.81,0.66,2.06,0.16,0.17,0.015,41,30,1,99.75,219,<1,41.6,0.9,21.5,4.8,12.3,18.8,1,301.8,0.9,1.8,0.5,312,<0.5,181,29.9,18.1,40.9,5.28,23.6,5.48,1.67,5.71,0.96,5.93,1.16,3.41,0.47,3.07,0.46,0.03,<0.02,0.4,124.9,2.5,58,22.8,0.6,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
BBC5,Beaver Bay,BRD,Rock,0.83,51.01,19.94,9.61,1.77,9.31,3.86,0.93,1.84,0.23,0.13,<0.002,<20,17,1.2,99.8,301,4,22.6,0.8,24.8,4,14.8,26,1,351.6,0.8,2.4,0.6,150,<0.5,154.9,31.9,25.2,51.5,6.51,28.3,6.53,1.92,6.14,1.02,6.53,1.18,3.33,0.49,2.95,0.46,<0.02,<0.02,0.8,151.9,5.7,57,4.2,0.9,<0.1,<0.1,<0.1,<0.1,4.4,<0.01,<0.1,<0.5
BBC6,Beaver Bay,BRD,Rock,0.37,45.53,19.77,10.16,10.94,10.29,1.92,0.14,0.4,0.03,0.13,0.017,384,10,0.4,99.75,67,<1,69,1.6,17.2,0.8,2,2.6,<1,304,0.2,<0.2,<0.1,73,<0.5,28.5,6.1,3.8,8.1,1.01,4.7,1.08,0.65,1.12,0.19,1.27,0.25,0.79,0.09,0.54,0.08,<0.02,<0.02,0.2,27.1,1.8,55,389,0.7,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
BBC7,Beaver Bay,BRD,Rock,0.83,49.53,17.6,11.47,3.91,10.28,2.94,0.68,1.73,0.18,0.16,0.012,36,26,1.3,99.77,244,<1,38.3,0.4,22.9,4.6,12.5,19.5,1,311.2,0.8,2,0.4,242,<0.5,177.6,30.2,19.2,42.8,5.55,23,5.88,1.67,5.86,0.98,5.85,1.12,3.41,0.45,2.98,0.43,0.06,<0.02,0.7,117.6,1.5,54,20.8,0.9,<0.1,<0.1,<0.1,<0.1,1.1,<0.01,<0.1,<0.5
BBC8,Beaver Bay,BRD,Rock,0.88,50.69,16.85,9.41,4.75,11.81,2.78,0.59,1.39,0.14,0.14,0.04,48,34,1.2,99.78,215,1,32.5,0.3,20.2,4.3,9.3,16.2,<1,286.8,0.5,1.6,0.4,257,<0.5,157,27.8,18.1,38,4.97,22.2,5.32,1.56,5.51,0.94,5.61,1.11,3.06,0.43,2.8,0.4,0.03,<0.02,0.5,88.5,2.4,40,13.3,1.3,<0.1,<0.1,<0.1,<0.1,3.5,<0.01,<0.1,<0.5
BBC10,Beaver Bay,BRD,Rock,1,45.26,13.36,17.48,4.9,9.92,2.41,0.44,4.82,0.1,0.22,<0.002,37,42,0.8,99.72,173,1,59.3,0.3,21.9,3.9,13.4,13,<1,238.6,0.8,1,0.3,634,<0.5,134.4,24.6,13,28.2,3.71,17,4.31,1.53,4.5,0.79,4.84,1,2.63,0.38,2.56,0.38,0.06,<0.02,0.4,90.4,1.6,56,15.1,0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
BBC11-A,Beaver Bay,BRD,Rock,1.01,46.32,11.55,21.04,2.98,8.3,2.58,1.13,3.77,1,0.26,<0.002,<20,36,0.8,99.72,388,<1,45.3,0.8,25.5,6.5,17.9,41,2,244.5,1.1,3.6,0.9,108,0.9,239.5,56,37,83.4,11.33,50.7,11.52,3,12.88,1.97,11.27,2.2,5.96,0.8,4.98,0.75,0.05,<0.02,1.2,442.2,2.8,123,4.4,0.7,0.1,<0.1,<0.1,0.1,2.6,<0.01,<0.1,<0.5
BBC11-B,Beaver Bay,BRD,Rock,0.7,47.11,11.55,20.83,2.96,7.95,2.57,1.23,3.61,1.03,0.26,<0.002,<20,35,0.6,99.71,408,<1,46.5,0.9,25.8,6.5,18.2,47.6,2,247.7,1.3,3.9,1,129,0.7,251.3,55.9,35.1,80.2,10.96,51.7,11.89,2.87,13.01,1.97,11.6,2.18,5.97,0.78,5,0.73,0.14,<0.02,1.3,413.1,3.8,133,5.4,1.4,0.2,0.1,<0.1,0.1,0.8,<0.01,<0.1,
BBC12,Beaver Bay,BRD,Rock,0.69,47.32,11.6,19.99,2.56,7.68,2.58,1.39,3.52,1.02,0.25,<0.002,<20,34,1.8,99.7,472,<1,43.1,0.8,25.5,9.6,26.6,46.8,3,240.9,1.8,5.2,1.2,85,<0.5,350.9,74.2,50.9,108.5,15.01,67.8,15.36,3.22,16.27,2.57,15.02,2.98,7.85,1.08,6.72,0.95,0.05,<0.02,1.2,367.6,3.8,123,4.3,2.8,0.1,0.1,<0.1,<0.1,2.1,<0.01,<0.1,0.5
