Sample,Location,Unit,Type,Wgt,SiO2,Al2O3,Fe2O3,MgO,CaO,Na2O,K2O,TiO2,P2O5,MnO,Cr2O3,Ni,Sc,LOI,Sum,Ba,Be,Co,Cs,Ga,Hf,Nb,Rb,Sn,Sr,Ta,Th,U,V,W,Zr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,TOT/C,TOT/S,Mo,Cu,Pb,Zn,Ni,As,Cd,Sb,Bi,Ag,Au,Hg,Tl,Se
KP1,Keweenaw,GSF,Rock,0.31,47.34,16.15,11.64,8.14,10.1,2.18,0.35,1.31,0.12,0.16,0.026,185,26,2.2,99.74,139,1,57.9,1.7,17.2,2.6,8,9.9,1,259.5,0.4,1,0.2,230,<0.5,104.7,22.1,12.1,25.8,3.42,14.9,3.66,1.26,4.05,0.68,4.27,0.84,2.22,0.34,1.94,0.32,0.07,<0.02,0.3,94,5.8,57,119,0.7,<0.1,0.2,<0.1,<0.1,0.9,<0.01,<0.1,<0.5
KP5,Keweenaw,GSF,Rock,0.39,46.51,17.22,10.74,8.92,10.32,2,0.27,1.05,0.08,0.14,0.02,221,21,2.4,99.74,108,1,59.4,2,16,2.2,6.3,6.5,<1,278.3,0.4,0.8,0.1,182,<0.5,82.2,16.5,9,19.5,2.64,11.6,2.83,1.02,3.15,0.52,3.21,0.67,1.74,0.26,1.61,0.25,0.04,<0.02,0.3,73.1,1.9,52,168.8,0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP10,Keweenaw,GSF,Rock,0.79,46.59,16.26,12.8,5.72,10.39,2.58,0.36,1.97,0.11,0.17,0.014,67,33,2.8,99.73,154,<1,52.4,2,18.6,2.5,7.6,8.7,<1,292.1,0.5,0.9,0.1,507,<0.5,95.6,21.3,10.5,23,3.1,13.7,3.35,1.32,3.86,0.65,3.92,0.78,2.08,0.31,1.88,0.31,0.02,<0.02,0.3,104,1.1,65,39.9,0.7,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,0.5
KP11a,Keweenaw,GSF,Rock,0.54,46.88,17.29,12.13,4.2,9.86,2.78,0.58,1.92,0.18,0.16,0.012,48,27,3.8,99.75,205,2,41.9,0.4,22.7,4.9,14.3,15.8,2,283.5,0.9,2.2,0.5,237,<0.5,184.8,33.7,20.8,45.9,5.84,24.9,5.86,1.8,6.34,1.06,6.16,1.29,3.46,0.53,3.07,0.49,0.02,<0.02,0.3,145.4,1.9,89,24.4,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP11b,Keweenaw,GSF,Rock,0.36,53.14,13.76,12.29,1.73,7.65,2.95,2.27,1.53,0.47,0.15,<0.002,<20,15,3.8,99.7,626,2,25.7,0.4,28.1,17.4,36.9,43.9,4,86.8,2.2,9.2,1.7,50,<0.5,702.9,90.4,60.7,135.1,16.58,69.1,15.46,3.25,16.34,2.76,16.66,3.57,9.46,1.46,8.71,1.34,0.08,<0.02,1,147.2,6.1,96,6.5,1.3,0.3,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP12,Keweenaw,GSF,Rock,0.9,51.11,11.64,16.71,2.61,6.86,3.59,1.53,2.99,0.65,0.24,<0.002,<20,28,1.8,99.7,299,3,34.2,0.3,27.5,14.5,54.9,36,5,101.7,2.9,6.2,1.2,129,<0.5,571.5,101.5,61.8,137.6,18.25,80.3,17.93,3.73,18.88,3.15,18.44,3.8,10.29,1.54,8.98,1.38,0.08,<0.02,1.4,214.2,6.9,126,6.7,0.7,0.2,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,0.7
KP14a,Keweenaw,GSF,Rock,0.81,48.53,14.25,13.13,4.47,9.66,4.05,0.34,2.06,0.19,0.19,0.021,41,35,2.9,99.79,84,<1,43.3,0.1,20.2,4.4,12.8,8.3,1,135.9,0.9,1.6,0.3,327,<0.5,173.3,34.3,18.1,40.2,5.22,21.8,5.59,1.75,6.17,1.03,6.14,1.28,3.47,0.48,2.94,0.47,0.05,<0.02,0.7,114.2,4,77,17.4,0.7,0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP14b,Keweenaw,GSF,Rock,0.76,47.97,18.47,11.28,3.88,10.88,2.71,0.53,1.77,0.18,0.15,0.013,47,25,1.9,99.78,176,3,39.7,1.5,20.5,3.8,12.1,14.9,<1,329.3,0.8,1.7,0.4,229,<0.5,142.6,29.4,16.6,36.7,4.88,21.2,4.97,1.63,5.52,0.91,5.54,1.08,2.93,0.43,2.64,0.41,0.05,<0.02,0.3,137.6,1.2,58,23.6,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP15,Keweenaw,GSF,Rock,0.96,46.7,15.84,11.68,8.21,9.65,2.17,0.38,1.34,0.13,0.16,0.026,182,27,3.4,99.74,149,<1,57.6,1,16.7,2.8,8.4,10.7,<1,260,0.5,1,0.2,232,<0.5,109.7,23.7,12.1,27.8,3.6,15.8,3.87,1.25,4.31,0.7,4.3,0.84,2.29,0.35,2.02,0.33,0.05,<0.02,0.1,99.1,3,53,119.9,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
KP16,Keweenaw,GSF,Rock,0.61,46.15,16.34,11.1,8.12,10.12,2.11,0.35,1.3,0.11,0.15,0.025,200,25,3.8,99.74,126,<1,58.7,0.9,16.7,2.6,7.7,10.2,<1,250.1,0.5,0.9,0.2,226,<0.5,98.9,21.4,10.8,24.7,3.2,14.1,3.47,1.21,3.98,0.65,3.83,0.8,2.07,0.33,1.94,0.29,0.03,<0.02,0.2,91.2,1,53,140.5,<0.5,<0.1,<0.1,<0.1,<0.1,<0.5,<0.01,<0.1,<0.5
