Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
B309B-CPX-1,2.31,1.91,0.08,0.05,0.74,0,0.44,0.79,0,0.03,0.01,4.04,64.4,South BBC
B309B-CPX-2,2.32,1.92,0.07,0.03,0.73,0,0.48,0.75,0,0.03,0.01,4.03,60.9,South BBC
B309B-CPX-3,2.31,1.94,0.06,0.02,0.65,0,0.57,0.73,0,0.02,0.01,4.02,56.2,South BBC
B309B-CPX-4,2.41,1.92,0.04,0.03,0.7,0,0.65,0.67,0,0.02,0.02,4.06,50.8,South BBC
Average,2.34,1.92,0.06,0.03,0.71,0,0.54,0.74,0,0.03,0.01,4.04,58.1,South BBC
B309C-CPX-1,2.29,1.93,0.08,0.02,0.75,0,0.43,0.77,0,0.02,0.01,4.02,64.1,South BBC
B309C-CPX-2,2.34,1.95,0.07,0.02,0.7,0,0.56,0.67,0,0.02,0.02,4.01,54.7,South BBC
B309C-CPX-3,2.35,1.94,0.09,0.03,0.73,0,0.52,0.66,0,0.02,0.02,4.01,55.9,South BBC
B309C-CPX-4,2.26,1.92,0.07,0.02,0.76,0,0.42,0.79,0,0.02,0.01,4.03,65.2,South BBC
B309C-CPX-5,2.28,1.93,0.08,0.02,0.72,0,0.44,0.79,0,0.02,0.01,4.01,64.2,South BBC
Average,2.3,1.94,0.08,0.02,0.73,0,0.47,0.74,0,0.02,0.01,4.02,60.8,South BBC
C420-CPX-1,2.29,1.94,0.08,0.02,0.7,0,0.42,0.81,0,0.02,0.01,4.01,66,South BBC
C420-CPX-2,2.28,1.93,0.08,0.02,0.75,0,0.38,0.8,0,0.03,0.01,4.01,67.5,South BBC
C420-CPX-3,2.31,1.94,0.08,0.02,0.71,0,0.46,0.77,0,0.02,0.01,4.01,62.9,South BBC
C420-CPX-4,2.34,1.95,0.07,0.02,0.69,0,0.56,0.68,0,0.02,0.02,4.01,54.9,South BBC
C420-CPX-5,2.37,1.94,0.07,0.03,0.69,0,0.55,0.7,0,0.02,0.02,4.02,55.9,South BBC
C420-CPX-6,2.29,1.92,0.1,0.02,0.74,0,0.39,0.81,0,0.03,0.01,4.02,67.7,South BBC
C420-CPX-7,2.3,1.94,0.06,0.02,0.74,0,0.47,0.74,0,0.02,0.01,4.01,61.2,South BBC
Average,2.31,1.94,0.08,0.02,0.72,0,0.46,0.76,0,0.02,0.01,4.01,62.3,South BBC
B413A-CPX-1,2.59,1.95,0.06,0.02,0.81,0,0.53,0.6,0,0.02,0.03,4.01,53.2,South BBC
B413A-CPX-2,2.38,1.95,0.05,0.02,0.74,0,0.61,0.62,0,0.02,0.02,4.02,50.4,South BBC
B413A-CPX-3,2.38,1.97,0.04,0.02,0.77,0,0.75,0.43,0,0.02,0.02,4.01,36.6,South BBC
B413A-CPX-4,2.51,1.94,0.08,0.02,0.79,0,0.53,0.61,0,0.02,0.02,4.01,53.5,South BBC
B413A-CPX-5,2.36,1.95,0.04,0.02,0.76,0,0.69,0.52,0,0.02,0.02,4.02,42.8,South BBC
B413A-CPX-6,2.36,1.94,0.07,0.05,0.79,0,0.52,0.6,0.01,0.03,0.03,4.03,53.9,South BBC
B413A-CPX-7,2.46,1.93,0.06,0.02,0.74,0,0.6,0.63,0,0.02,0.02,4.02,51.2,South BBC
Average,2.43,1.95,0.06,0.02,0.77,0,0.6,0.57,0,0.02,0.02,4.02,48.8,South BBC
C505C-CPX-1,2.27,1.92,0.07,0.02,0.77,0,0.42,0.78,0,0.02,0.01,4.03,64.7,South BBC
C505C-CPX-2,2.32,1.92,0.08,0.02,0.74,0,0.43,0.8,0,0.02,0.01,4.03,65.2,South BBC
C505C-CPX-3,2.26,1.93,0.07,0.02,0.75,0,0.42,0.78,0,0.02,0.01,4.02,64.9,South BBC
C505C-CPX-4,2.34,1.93,0.06,0.02,0.74,0,0.49,0.74,0,0.02,0.01,4.02,60.1,South BBC
C505C-CPX-5,2.29,1.91,0.08,0.02,0.77,0,0.43,0.77,0,0.03,0.01,4.03,64.1,South BBC
C505C-CPX-6,2.31,1.9,0.08,0.02,0.78,0,0.42,0.79,0,0.03,0.01,4.04,64.9,South BBC
Average,2.3,1.92,0.07,0.02,0.76,0,0.44,0.78,0,0.02,0.01,4.03,64,South BBC
C403A-CPX-1,2.3,1.9,0.1,0.03,0.85,0,0.32,0.8,0,0.02,0.02,4.04,71.2,South BBC
C403A-CPX-2,2.28,1.91,0.1,0.03,0.84,0,0.33,0.78,0,0.02,0.02,4.03,70.3,South BBC
C403A-CPX-3,2.29,1.9,0.1,0.03,0.85,0,0.33,0.8,0,0.02,0.01,4.05,70.9,South BBC
C403A-CPX-4,2.33,1.9,0.1,0.03,0.83,0,0.34,0.8,0,0.02,0.02,4.04,69.9,South BBC
Average,2.3,1.9,0.1,0.03,0.84,0,0.33,0.79,0,0.02,0.02,4.04,70.6,South BBC
B309A-CPX-1,2.32,1.87,0.15,0.03,0.84,0,0.38,0.72,0,0.03,0.02,4.05,65.7,South BBC
B309A-CPX-2,2.26,1.92,0.09,0.03,0.85,0,0.33,0.79,0,0.02,0.01,4.03,70.5,South BBC
B309A-CPX-3,2.33,1.89,0.13,0.03,0.84,0,0.37,0.73,0,0.02,0.02,4.03,66.3,South BBC
Average,2.3,1.89,0.13,0.03,0.84,0,0.36,0.75,0,0.02,0.02,4.04,67.5,South BBC
C414-CPX-1,2.39,1.95,0.04,0.02,0.74,0,0.68,0.55,0,0.02,0.02,4.02,44.6,South BBC
C414-CPX-2,2.3,1.93,0.08,0.02,0.74,0,0.42,0.79,0,0.03,0.01,4.01,65.6,South BBC
C414-CPX-3,2.33,1.92,0.1,0.02,0.77,0,0.4,0.76,0,0.03,0.01,4.02,65.7,South BBC
C414-CPX-4,2.33,1.94,0.06,0.02,0.73,0,0.52,0.71,0,0.02,0.01,4.02,57.8,South BBC
C414-CPX-5,2.34,1.92,0.1,0.02,0.76,0,0.43,0.74,0,0.02,0.01,4.01,63.5,South BBC
C414-CPX-6,2.33,1.91,0.11,0.02,0.76,0,0.39,0.77,0,0.03,0.01,4.02,66.6,South BBC
Average,2.34,1.93,0.08,0.02,0.75,0,0.47,0.72,0,0.02,0.01,4.02,60.6,South BBC
BBC1-CPX-1,2.26,2.02,0.04,0.02,0.75,0,0.43,0.67,0,0.01,0.01,3.95,61.2,North BBC
BBC1-CPX-2,2.29,2.02,0.05,0.02,0.74,0,0.53,0.57,0,0.02,0.02,3.95,51.6,North BBC
BBC1-CPX-3,2.26,2,0.05,0.02,0.71,0,0.45,0.69,0,0.02,0.01,3.96,60.6,North BBC
BBC1-CPX-4,2.26,1.99,0.06,0.01,0.59,0,0.49,0.77,0,0.03,0.01,3.96,61.2,North BBC
BBC1-CPX-5,2.26,1.99,0.06,0.02,0.74,0,0.43,0.69,0,0.02,0.01,3.97,61.9,North BBC
BBC1-CPX-6,2.26,1.99,0.06,0.02,0.76,0,0.4,0.7,0,0.03,0.01,3.97,63.9,North BBC
BBC1-CPX-7,2.28,2.01,0.05,0.02,0.75,0,0.5,0.61,0,0.02,0.01,3.96,55,North BBC
BBC1-CPX-8,2.27,2.01,0.06,0.02,0.75,0,0.48,0.6,0,0.02,0.01,3.95,55.8,North BBC
BBC1-CPX-9,2.25,1.99,0.06,0.02,0.57,0,0.47,0.83,0,0.02,0.01,3.97,63.7,North BBC
Average,2.27,2,0.05,0.02,0.71,0,0.46,0.68,0,0.02,0.01,3.96,59.4,North BBC
BBC2-CPX-1,2.23,1.97,0.08,0.02,0.69,0,0.37,0.8,0,0.03,0,3.97,68.4,North BBC
BBC2-CPX-2,2.24,1.99,0.07,0.02,0.7,0,0.38,0.77,0,0.03,0.01,3.96,67.1,North BBC
BBC2-CPX-3,2.27,2.03,0.03,0,0.78,0,0.44,0.66,0,0,0.02,3.96,60.1,North BBC
BBC2-CPX-4,2.27,2,0.05,0.02,0.76,0,0.45,0.65,0,0.02,0.01,3.96,59.2,North BBC
BBC2-CPX-5,2.29,2.04,0.03,0.01,0.81,0,0.5,0.54,0,0,0.02,3.95,52.1,North BBC
BBC2-CPX-6,2.23,1.98,0.09,0.02,0.73,0,0.33,0.76,0,0.03,0,3.95,69.5,North BBC
BBC2-CPX-7,2.24,1.99,0.07,0.02,0.67,0,0.41,0.76,0,0.02,0.01,3.96,64.9,North BBC
BBC2-CPX-8,2.26,1.98,0.06,0.02,0.75,0,0.41,0.7,0,0.03,0.01,3.97,63.3,North BBC
BBC2-CPX-9,2.26,2.01,0.06,0.02,0.73,0,0.42,0.68,0,0.02,0.01,3.95,61.5,North BBC
BBC2-CPX-10,2.23,1.99,0.07,0.03,0.76,0,0.32,0.77,0,0.03,0.01,3.97,70.5,North BBC
BBC2-CPX-11,2.25,1.99,0.07,0.02,0.76,0,0.39,0.7,0,0.03,0.01,3.96,64.6,North BBC
BBC2-CPX-12,2.27,1.99,0.05,0.02,0.75,0,0.45,0.67,0,0.02,0.01,3.97,59.6,North BBC
Average,2.25,2,0.06,0.02,0.74,0,0.41,0.71,0,0.02,0.01,3.96,63.4,North BBC
BBC3-CPX-1,2.27,2.01,0.04,0.02,0.77,0,0.46,0.63,0,0.02,0,3.95,57.7,North BBC
BBC3-CPX-2,2.27,2,0.05,0.02,0.76,0,0.43,0.68,0,0.02,0.01,3.97,60.9,North BBC
BBC3-CPX-3,2.24,1.99,0.07,0.02,0.68,0,0.38,0.8,0,0.02,0.01,3.96,67.8,North BBC
BBC3-CPX-4,2.28,2.01,0.04,0.02,0.62,0,0.54,0.7,0,0.02,0.01,3.96,56.5,North BBC
BBC3-CPX-5,2.27,2,0.05,0.02,0.77,0,0.45,0.63,0,0.02,0.01,3.96,58.5,North BBC
BBC3-CPX-6,2.28,2,0.05,0.03,0.75,0,0.49,0.61,0,0.02,0.01,3.97,55.6,North BBC
BBC3-CPX-7,2.25,1.97,0.08,0.02,0.68,0,0.4,0.78,0,0.03,0.01,3.97,66,North BBC
BBC3-CPX-8,2.3,2,0.03,0.01,0.39,0,0.74,0.78,0,0.02,0.02,3.98,51.3,North BBC
BBC3-CPX-9,2.28,2.02,0.04,0.02,0.73,0,0.52,0.58,0,0.02,0.01,3.95,52.8,North BBC
BBC3-CPX-10,2.22,1.99,0.08,0.02,0.76,0,0.3,0.79,0,0.02,0,3.96,72.5,North BBC
Average,2.27,2,0.05,0.02,0.69,0,0.47,0.7,0,0.02,0.01,3.96,60,North BBC
BBC4-CPX-1,2.27,2.01,0.05,0.02,0.77,0,0.44,0.64,0,0.02,0.01,3.96,59.1,North BBC
BBC4-CPX-2,2.31,2.03,0.02,0.02,0.73,0,0.59,0.55,0,0.01,0.01,3.96,48.2,North BBC
BBC4-CPX-3,2.24,1.98,0.08,0.02,0.76,0,0.34,0.75,0,0.03,0.01,3.96,68.9,North BBC
BBC4-CPX-4,2.23,1.98,0.08,0,0.73,0,0.33,0.8,0,0.03,0.01,3.95,71.1,North BBC
BBC4-CPX-5,2.24,1.99,0.07,0.02,0.68,0,0.4,0.75,0,0.03,0.02,3.96,65.4,North BBC
BBC4-CPX-6,2.24,1.97,0.08,0.02,0.7,0,0.38,0.79,0,0.03,0.01,3.97,67.7,North BBC
BBC4-CPX-7,2.25,1.98,0.06,0.02,0.68,0,0.4,0.77,0,0.03,0.02,3.96,65.8,North BBC
BBC4-CPX-8,2.23,1.99,0.07,0,0.64,0,0.39,0.84,0,0.02,0,3.95,68.1,North BBC
BBC4-CPX-9,2.28,1.99,0.05,0,0.61,0,0.54,0.74,0,0.02,0.02,3.96,57.8,North BBC
BBC4-CPX-10,2.25,1.99,0.06,0.02,0.62,0,0.44,0.79,0,0.03,0.01,3.96,64.1,North BBC
BBC4-CPX-11,2.23,1.96,0.1,0.02,0.72,0.01,0.34,0.81,0,0.02,0,3.97,70.5,North BBC
Average,2.25,1.99,0.06,0.01,0.69,0,0.42,0.75,0,0.02,0.01,3.96,64.3,North BBC
BBC5-CPX-1,2.27,2.01,0.05,0.02,0.75,0,0.44,0.65,0,0.02,0.02,3.95,59.6,North BBC
BBC5-CPX-2,2.27,2,0.06,0.02,0.75,0,0.46,0.63,0,0.02,0.01,3.95,58.2,North BBC
BBC5-CPX-3,2.34,2.03,0.04,0.02,0.76,0,0.68,0.39,0,0.01,0.02,3.95,36.7,North BBC
BBC5-CPX-4,2.25,2,0.06,0,0.73,0,0.41,0.7,0,0.02,0.02,3.95,63.2,North BBC
BBC5-CPX-5,2.28,2,0.05,0.02,0.76,0,0.47,0.62,0,0.02,0.01,3.96,56.9,North BBC
BBC5-CPX-6,2.25,2,0.07,0.02,0.76,0,0.4,0.68,0,0.03,0.01,3.95,63.2,North BBC
BBC5-CPX-7,2.26,2,0.06,0.01,0.75,0,0.41,0.68,0,0.03,0.01,3.95,62.1,North BBC
BBC5-CPX-8,2.27,2.01,0.05,0.01,0.75,0,0.47,0.63,0,0.02,0,3.95,57.4,North BBC
BBC5-CPX-9,2.25,1.98,0.07,0.02,0.75,0,0.37,0.73,0,0.03,0.01,3.96,66.2,North BBC
BBC5-CPX-10,2.25,1.98,0.07,0.02,0.77,0,0.37,0.73,0,0.03,0.01,3.97,66.3,North BBC
BBC5-CPX-11,2.3,2,0.04,0.01,0.74,0,0.55,0.57,0,0.02,0.01,3.96,51.1,North BBC
Average,2.27,2,0.06,0.01,0.75,0,0.46,0.64,0,0.02,0.01,3.95,58.3,North BBC
BBC6-CPX-1,2.19,1.98,0.08,0.02,0.78,0.01,0.21,0.87,0,0.02,0,3.96,80.7,North BBC
BBC6-CPX-2,2.2,1.97,0.09,0.02,0.75,0.02,0.22,0.88,0,0.02,0,3.96,80,North BBC
BBC6-CPX-3,2.21,1.96,0.09,0.02,0.65,0.01,0.3,0.89,0,0.04,0.01,3.96,75,North BBC
BBC6-CPX-4,2.21,1.96,0.09,0.02,0.8,0.01,0.22,0.82,0,0.04,0,3.96,78.4,North BBC
BBC6-CPX-5,2.21,1.94,0.11,0.02,0.78,0.01,0.24,0.82,0,0.04,0,3.97,77.3,North BBC
BBC6-CPX-6,2.2,1.96,0.1,0.02,0.8,0.01,0.2,0.86,0,0.03,0,3.97,81.3,North BBC
BBC6-CPX-7,2.19,1.98,0.1,0.01,0.65,0,0.26,0.92,0,0.02,0,3.95,77.9,North BBC
BBC6-CPX-8,2.19,2,0.06,0.02,0.74,0.01,0.22,0.89,0,0.02,0,3.96,80.4,North BBC
BBC6-CPX-9,2.19,1.98,0.09,0.01,0.73,0.02,0.22,0.89,0,0.02,0,3.96,79.8,North BBC
BBC6-CPX-10,2.2,1.97,0.12,0.02,0.78,0.01,0.21,0.81,0,0.02,0,3.95,79.6,North BBC
BBC6-CPX-11,2.2,1.96,0.11,0.02,0.75,0.01,0.24,0.86,0,0.03,0,3.97,78.5,North BBC
BBC6-CPX-12,2.21,1.95,0.11,0.02,0.8,0.01,0.22,0.82,0,0.03,0.01,3.97,78.5,North BBC
Average,2.2,1.97,0.1,0.02,0.75,0.01,0.23,0.86,0,0.03,0,3.96,79,North BBC
BBC7-CPX-1,2.29,2.03,0.03,0.02,0.75,0,0.54,0.57,0,0.01,0.01,3.95,51.5,North BBC
BBC7-CPX-2,2.28,2.01,0.04,0.01,0.75,0,0.49,0.63,0,0.02,0.01,3.96,56.3,North BBC
BBC7-CPX-3,2.28,2.01,0.04,0.01,0.68,0,0.54,0.65,0,0.02,0.01,3.96,54.7,North BBC
BBC7-CPX-4,2.27,2.01,0.05,0.02,0.77,0,0.46,0.63,0,0.02,0.01,3.96,57.4,North BBC
BBC7-CPX-5,2.31,2.03,0.03,0,0.73,0,0.59,0.55,0,0.01,0.02,3.95,48.2,North BBC
BBC7-CPX-6,2.3,2.03,0.03,0,0.72,0,0.58,0.55,0,0.01,0.01,3.94,48.6,North BBC
Average,2.29,2.02,0.04,0.01,0.73,0,0.53,0.6,0,0.02,0.01,3.95,52.8,North BBC
BBC8-CPX-1,2.26,2,0.06,0.02,0.76,0,0.43,0.65,0,0.03,0.02,3.96,60.3,North BBC
BBC8-CPX-2,2.26,2,0.06,0.02,0.75,0,0.41,0.7,0,0.02,0.01,3.96,63.1,North BBC
BBC8-CPX-3,2.27,2.01,0.05,0,0.73,0,0.46,0.66,0,0.02,0.01,3.95,58.7,North BBC
BBC8-CPX-4,2.27,2,0.05,0.01,0.77,0,0.44,0.67,0,0.02,0.01,3.97,60.4,North BBC
BBC8-CPX-5,2.25,2,0.07,0.02,0.73,0,0.4,0.69,0,0.02,0.01,3.95,63.3,North BBC
BBC8-CPX-6,2.24,1.99,0.06,0.02,0.6,0,0.45,0.81,0,0.03,0,3.95,64.4,North BBC
BBC8-CPX-7,2.26,2,0.06,0.02,0.71,0,0.44,0.69,0,0.02,0.01,3.95,61.1,North BBC
BBC8-CPX-8,2.27,2.01,0.05,0.02,0.75,0,0.47,0.64,0,0.02,0.01,3.96,57.8,North BBC
Average,2.26,2,0.06,0.02,0.72,0,0.44,0.69,0,0.02,0.01,3.96,61.1,North BBC
BBC9-CPX-1,2.26,2.01,0.05,0.02,0.7,0,0.47,0.69,0,0.02,0.01,3.96,59.7,North BBC
BBC9-CPX-2,2.26,2,0.06,0.02,0.7,0,0.44,0.69,0,0.03,0.01,3.96,61.1,North BBC
BBC9-CPX-3,2.26,2,0.06,0.02,0.71,0,0.44,0.69,0,0.02,0.01,3.96,61.3,North BBC
BBC9-CPX-4,2.27,2.01,0.04,0.02,0.56,0,0.55,0.75,0,0.02,0.02,3.96,57.8,North BBC
BBC9-CPX-5,2.26,2,0.05,0.02,0.62,0,0.49,0.74,0,0.03,0.01,3.96,60,North BBC
BBC9-CPX-6,2.26,1.99,0.06,0.02,0.69,0,0.46,0.71,0,0.03,0.01,3.97,60.7,North BBC
BBC9-CPX-7,2.25,2.01,0.05,0.01,0.72,0,0.42,0.7,0,0.02,0.01,3.95,62.5,North BBC
BBC9-CPX-8,2.25,2.02,0.05,0,0.71,0,0.44,0.69,0,0.02,0.01,3.94,61.2,North BBC
BBC9-CPX-9,2.26,2,0.06,0.02,0.71,0,0.44,0.69,0,0.02,0.02,3.96,61.1,North BBC
Average,2.26,2,0.05,0.02,0.68,0,0.46,0.71,0,0.02,0.01,3.96,60.6,North BBC
BBC10-CPX-1,2.26,1.98,0.06,0.02,0.7,0,0.43,0.74,0,0.02,0.01,3.97,63.3,North BBC
BBC10-CPX-2,2.26,2.01,0.06,0.03,0.67,0,0.46,0.7,0,0.02,0.01,3.95,60.3,North BBC
BBC10-CPX-3,2.28,1.99,0.06,0.05,0.68,0,0.5,0.68,0,0.02,0.01,3.99,57.8,North BBC
BBC10-CPX-4,2.26,1.99,0.06,0.03,0.69,0,0.44,0.72,0,0.03,0.01,3.97,62.2,North BBC
BBC10-CPX-5,2.25,1.99,0.06,0.02,0.69,0,0.42,0.74,0,0.03,0.01,3.96,63.4,North BBC
BBC10-CPX-6,2.26,1.99,0.06,0.02,0.7,0,0.45,0.7,0,0.03,0.01,3.96,61,North BBC
BBC10-CPX-7,2.26,2.01,0.06,0.01,0.68,0,0.48,0.68,0,0.02,0.01,3.95,58.3,North BBC
BBC10-CPX-8,2.26,2,0.06,0.02,0.7,0,0.47,0.68,0,0.03,0,3.95,59.4,North BBC
BBC10-CPX-9,2.26,2,0.05,0,0.68,0,0.47,0.7,0,0.02,0.01,3.95,59.9,North BBC
Average,2.26,2,0.06,0.02,0.69,0,0.46,0.7,0,0.02,0.01,3.96,60.6,North BBC
BBC11A-CPX-1,2.3,2,0.05,0.02,0.7,0,0.58,0.57,0,0.02,0.02,3.96,49.6,North BBC
BBC11A-CPX-2,2.3,2.01,0.05,0.02,0.69,0,0.59,0.55,0,0.02,0.01,3.95,48.5,North BBC
BBC11A-CPX-3,2.3,2.01,0.05,0.02,0.72,0,0.57,0.56,0,0.02,0.02,3.96,49.8,North BBC
BBC11A-CPX-4,2.3,2.01,0.06,0.02,0.69,0,0.59,0.57,0,0.01,0.01,3.95,49.2,North BBC
BBC11A-CPX-5,2.33,2,0.04,0.02,0.7,0,0.65,0.52,0,0.02,0.02,3.97,44.6,North BBC
BBC11A-CPX-6,2.32,2.01,0.05,0.02,0.71,0,0.62,0.52,0,0.01,0.02,3.96,46,North BBC
BBC11A-CPX-7,2.29,2.01,0.04,0.02,0.72,0,0.54,0.6,0,0.02,0.02,3.97,52.6,North BBC
BBC11A-CPX-8,2.32,2.01,0.05,0.02,0.71,0,0.62,0.53,0,0.02,0.02,3.96,45.8,North BBC
BBC11A-CPX-9,2.3,2.01,0.04,0.02,0.71,0,0.56,0.58,0,0.02,0.02,3.96,50.9,North BBC
BBC11A-CPX-10,2.3,2.01,0.05,0.01,0.71,0,0.58,0.57,0,0.01,0.02,3.96,49.4,North BBC
Average,2.31,2.01,0.05,0.02,0.7,0,0.59,0.56,0,0.02,0.02,3.96,48.6,North BBC
BBC12-CPX-1,2.31,2.01,0.05,0.02,0.7,0,0.58,0.57,0,0.02,0.03,3.96,49.3,North BBC
BBC12-CPX-2,2.31,2.01,0.04,0.02,0.71,0,0.59,0.56,0,0.02,0.01,3.96,48.7,North BBC
BBC12-CPX-3,2.32,2,0.05,0.03,0.71,0,0.6,0.53,0,0.02,0.02,3.97,46.8,North BBC
BBC12-CPX-4,2.31,2.02,0.04,0.02,0.71,0,0.6,0.53,0,0.01,0.02,3.95,46.8,North BBC
BBC12-CPX-5,2.31,2.01,0.05,0.02,0.69,0,0.62,0.54,0,0.01,0.02,3.96,46.6,North BBC
BBC12-CPX-6,2.3,2.02,0.05,0.01,0.69,0,0.58,0.57,0,0.01,0.01,3.95,49.6,North BBC
BBC12-CPX-7,2.3,2.01,0.05,0.02,0.7,0,0.59,0.57,0,0.02,0.02,3.96,49.1,North BBC
BBC12-CPX-8,2.31,2.01,0.05,0.02,0.71,0,0.6,0.53,0,0.02,0.03,3.96,46.9,North BBC
BBC12-CPX-9,2.32,2.01,0.05,0.02,0.7,0,0.62,0.53,0,0.01,0.02,3.96,46,North BBC
BBC12-CPX-10,2.32,2,0.05,0.03,0.71,0,0.6,0.54,0,0.02,0.02,3.97,47.3,North BBC
BBC12-CPX-11,2.31,2.02,0.04,0.03,0.7,0,0.6,0.55,0,0.01,0.01,3.96,47.9,North BBC
BBC12-CPX-12,2.31,2.01,0.05,0.02,0.7,0,0.6,0.54,0,0.01,0.02,3.96,47.1,North BBC
BBC12-CPX-13,2.32,1.99,0.05,0.02,0.69,0,0.62,0.56,0,0.02,0.02,3.97,47.6,North BBC
Average,2.31,2.01,0.05,0.02,0.7,0,0.6,0.55,0,0.02,0.02,3.96,47.7,North BBC
BBC13-CPX-1,2.23,1.96,0.09,0.03,0.75,0,0.31,0.8,0,0.03,0.01,3.97,71.9,North BBC
BBC13-CPX-2,2.23,1.99,0.06,0.01,0.76,0,0.32,0.77,0,0.03,0.01,3.96,70.5,North BBC
BBC13-CPX-3,2.22,1.96,0.12,0.02,0.79,0.01,0.28,0.77,0,0.03,0,3.96,73.4,North BBC
BBC13-CPX-4,2.24,1.98,0.07,0.02,0.75,0,0.36,0.73,0,0.03,0.01,3.96,67,North BBC
BBC13-CPX-5,2.24,2,0.06,0.02,0.76,0,0.35,0.74,0,0.03,0,3.96,67.5,North BBC
BBC13-CPX-6,2.22,1.97,0.1,0.02,0.78,0,0.3,0.76,0,0.03,0,3.96,71.7,North BBC
BBC13-CPX-7,2.23,2,0.06,0.02,0.75,0,0.34,0.74,0,0.02,0.01,3.96,68.6,North BBC
BBC13-CPX-8,2.24,1.99,0.06,0.02,0.76,0,0.37,0.73,0,0.03,0,3.96,66.4,North BBC
BBC13-CPX-9,2.21,2,0.07,0.02,0.78,0,0.27,0.8,0,0.02,0,3.96,75,North BBC
BBC13-CPX-10,2.24,1.96,0.1,0.02,0.78,0,0.34,0.72,0,0.04,0,3.96,68.1,North BBC
BBC13-CPX-11,2.23,1.98,0.08,0.02,0.78,0,0.31,0.75,0,0.04,0.01,3.96,70.7,North BBC
Average,2.23,1.98,0.08,0.02,0.77,0,0.32,0.75,0,0.03,0.01,3.96,70.1,North BBC
BBC14-CPX-1,2.26,1.95,0.06,0.02,0.74,0,0.4,0.78,0,0.03,0.01,4,66,North BBC
BBC14-CPX-2,2.22,1.99,0.09,0.03,0.77,0,0.3,0.75,0,0.02,0.01,3.96,71.4,North BBC
BBC14-CPX-3,2.22,1.99,0.09,0.03,0.77,0,0.3,0.75,0,0.02,0.01,3.96,71.4,North BBC
BBC14-CPX-4,2.22,1.97,0.1,0.02,0.77,0.01,0.29,0.77,0,0.02,0,3.96,72.4,North BBC
BBC14-CPX-5,2.22,1.96,0.11,0.02,0.78,0.02,0.25,0.8,0,0.03,0.01,3.96,76.1,North BBC
BBC14-CPX-6,2.22,1.95,0.11,0.03,0.74,0.02,0.26,0.82,0,0.03,0.01,3.97,75.6,North BBC
BBC14-CPX-7,2.22,2.01,0.06,0.02,0.78,0,0.29,0.79,0,0.01,0.01,3.96,73.5,North BBC
BBC14-CPX-8,2.22,1.99,0.08,0.02,0.77,0,0.29,0.79,0,0.02,0.01,3.96,73.4,North BBC
BBC14-CPX-9,2.23,1.97,0.08,0.03,0.8,0,0.29,0.78,0,0.02,0.01,3.98,73.1,North BBC
BBC14-CPX-10,2.23,1.96,0.09,0.02,0.69,0.01,0.33,0.82,0,0.03,0.01,3.97,71.2,North BBC
BBC14-CPX-11,2.24,2.01,0.05,0.01,0.85,0,0.34,0.69,0,0.02,0,3.96,66.8,North BBC
Average,2.23,1.98,0.08,0.02,0.77,0.01,0.3,0.78,0,0.02,0.01,3.97,71.9,North BBC
G500A-CPX-1,2.25,1.97,0.07,0.01,0.7,0,0.47,0.72,0,0.03,0.01,3.98,60.7,North BBC
G500A-CPX-2,2.29,1.96,0.06,0.01,0.68,0,0.55,0.68,0,0.03,0.01,3.99,55.4,North BBC
G500A-CPX-3,2.28,1.98,0.05,0.01,0.68,0,0.59,0.64,0,0.02,0.01,3.98,52.1,North BBC
G500A-CPX-4,2.29,1.97,0.05,0.01,0.68,0,0.6,0.64,0,0.02,0.02,3.99,51.6,North BBC
G500A-CPX-5,2.29,1.97,0.06,0.01,0.69,0,0.51,0.71,0,0.02,0.01,3.99,58.3,North BBC
G500A-CPX-6,2.29,1.96,0.06,0.01,0.69,0,0.54,0.69,0,0.02,0.01,3.99,55.9,North BBC
G500A-CPX-7,2.28,1.96,0.06,0.01,0.68,0,0.52,0.73,0,0.02,0.01,3.99,58.3,North BBC
G500A-CPX-8,2.29,1.94,0.07,0.01,0.71,0,0.46,0.77,0,0.03,0.01,4,62.2,North BBC
G500A-CPX-9,2.27,1.96,0.06,0.01,0.68,0,0.49,0.73,0,0.02,0.01,3.99,59.8,North BBC
G500A-CPX-10,2.29,1.95,0.07,0.01,0.71,0,0.56,0.65,0,0.03,0.01,3.99,53.7,North BBC
Average,2.28,1.96,0.06,0.01,0.69,0,0.53,0.69,0,0.02,0.01,3.99,56.8,North BBC
G550B-CPX-1,2.27,1.94,0.08,0.02,0.72,0,0.41,0.79,0,0.03,0.01,4,65.6,North BBC
G550B-CPX-2,2.25,1.94,0.09,0.02,0.73,0,0.38,0.8,0,0.03,0.01,3.99,67.8,North BBC
G550B-CPX-3,2.24,1.93,0.09,0.02,0.74,0,0.38,0.8,0,0.03,0.01,4,67.8,North BBC
G550B-CPX-4,2.24,1.95,0.08,0.02,0.75,0,0.36,0.79,0,0.03,0.01,3.99,68.8,North BBC
G550B-CPX-5,2.26,1.96,0.07,0.02,0.65,0,0.44,0.83,0,0.02,0.01,3.99,65.5,North BBC
G550B-CPX-6,2.25,1.95,0.07,0.02,0.78,0,0.32,0.81,0,0.03,0.01,3.99,72,North BBC
G550B-CPX-7,2.25,1.94,0.11,0.02,0.73,0,0.35,0.79,0,0.03,0.01,3.98,69,North BBC
