Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
SBI13-CPX-2,2.3,2,0.05,0.02,0.72,0,0.57,0.57,0,0.02,0.01,3.96,50.1,South BBC
SBI13-CPX-3,2.32,2.01,0.04,0.02,0.71,0,0.64,0.5,0,0.02,0.01,3.95,44.1,South BBC
SBI13-CPX-4,2.29,2.02,0.04,0.02,0.72,0,0.55,0.56,0,0.02,0.01,3.95,50.3,South BBC
SBI13-CPX-5,2.33,2.02,0.03,0,0.73,0,0.66,0.47,0,0.02,0.02,3.94,41.6,South BBC
SBI13-CPX-6,2.29,2.01,0.04,0.02,0.72,0,0.54,0.6,0,0.02,0.01,3.96,53.1,South BBC
SBI13-CPX-7,2.31,2.01,0.04,0.02,0.66,0,0.61,0.57,0,0.02,0.01,3.95,48.1,South BBC
SBI13-CPX-8,2.34,2.02,0.04,0,0.72,0,0.69,0.44,0,0.02,0.02,3.95,39.1,South BBC
SBI13-CPX-9,2.33,2.01,0.03,0.02,0.71,0,0.66,0.5,0,0.03,0.02,3.96,43,South BBC
SBI13-CPX-10,2.31,2.02,0.04,0,0.71,0,0.62,0.52,0,0.02,0.01,3.94,45.6,South BBC
SBI13-CPX-11,2.3,2.03,0.04,0,0.71,0,0.6,0.52,0,0.02,0.01,3.93,46.3,South BBC
SBI13-CPX-12,2.31,2,0.05,0.03,0.7,0,0.6,0.55,0,0.02,0.02,3.97,47.7,South BBC
Average,2.31,2.01,0.04,0.01,0.71,0,0.61,0.53,0,0.02,0.01,3.95,46.4,South BBC
SBI14-CPX-1,2.28,2.02,0.04,0.02,0.73,0,0.52,0.6,0,0.02,0.01,3.95,54,South BBC
SBI14-CPX-2,2.27,2,0.05,0.01,0.73,0,0.48,0.64,0,0.02,0.01,3.96,57.4,South BBC
SBI14-CPX-3,2.28,2.01,0.05,0.02,0.74,0,0.48,0.63,0,0.02,0.02,3.96,56.8,South BBC
SBI14-CPX-4,2.28,2.01,0.05,0.02,0.74,0,0.48,0.63,0,0.02,0.02,3.96,56.8,South BBC
SBI14-CPX-5,2.27,2.01,0.04,0.02,0.76,0,0.46,0.64,0,0.02,0.01,3.95,58.2,South BBC
SBI14-CPX-6,2.28,2.01,0.04,0,0.75,0,0.48,0.64,0,0.02,0.01,3.95,57.2,South BBC
SBI14-CPX-7,2.27,2.02,0.04,0.02,0.69,0,0.5,0.64,0,0.02,0.01,3.95,56,South BBC
SBI14-CPX-8,2.28,2,0.05,0.03,0.69,0,0.53,0.63,0,0.03,0.01,3.96,54.7,South BBC
SBI14-CPX-9,2.29,2.02,0.04,0.01,0.64,0,0.59,0.62,0,0.02,0.01,3.95,51.6,South BBC
Average,2.28,2.01,0.04,0.02,0.72,0,0.5,0.63,0,0.02,0.01,3.95,55.9,South BBC
SBI15-CPX-1,2.26,2.02,0.04,0.02,0.68,0,0.49,0.7,0,0.01,0,3.95,58.9,South BBC
