Sample,Na2O,CaO,Al2O3,Cr2O3,FeO,MgO,K2O,SiO2,TiO2,MnO,Total,Location
SBI10-CPX-1,0.3,16.06,1.2,0,16.96,11.83,0,52.65,0.67,0.32,100,SBBC
SBI10-CPX-2,0.27,17.99,1.07,0,12.19,13.62,0,53.57,0.93,0.35,100,SBBC
SBI10-CPX-3,0.27,17.47,0.95,0,15.28,11.49,0,53.37,0.71,0.45,100,SBBC
SBI10-CPX-4,0.24,16.92,1.38,0,14.86,12.64,0,52.61,0.9,0.44,100,SBBC
SBI10-CPX-5,0.33,17.11,1.75,0,12.99,13.39,0,52.94,1.14,0.35,100,SBBC
SBI10-CPX-6,0.38,17.98,2.13,0,10.83,14.13,0,53.05,1.09,0.42,100,SBBC
SBI10-CPX-7,0.22,17.54,1.24,0,14.21,12.39,0,53.08,0.95,0.37,100,SBBC
SBI10-CPX-8,0.33,17.19,0.87,0,14.88,12.25,0,53.34,0.84,0.29,100,SBBC
SBI10-CPX-9,0.32,17.8,1.97,0,11.86,13.55,0,52.68,1.4,0.42,100,SBBC
SBI10-CPX-10,0.37,17.91,1.71,0,12.27,13.39,0,52.58,1.39,0.38,100,SBBC
SBI10-CPX-11,0.32,17.23,1.4,0,14.03,12.97,0,52.6,0.93,0.51,100,SBBC
SBI10-CPX-12,0.36,17.43,1.26,0,12.55,13.59,0,53.49,0.93,0.39,100,SBBC
Average,0.31,17.39,1.41,0,13.58,12.94,0,53,0.99,0.39,100,SBBC
SBI11-CPX-1,0.34,16.61,1.07,0,16.7,11.12,0,53,0.69,0.46,100,SBBC
SBI11-CPX-2,0.19,16.77,1.01,0,16.1,11.67,0,53.06,0.79,0.41,100,SBBC
SBI11-CPX-3,0.24,16.57,1.01,0,16.74,11.37,0,53.06,0.59,0.42,100,SBBC
SBI11-CPX-4,0.24,17.16,1.45,0,12.46,14,0,53.31,1.01,0.37,100,SBBC
SBI11-CPX-5,0.28,16.68,1.21,0,15.26,12.41,0,52.82,0.93,0.4,100,SBBC
SBI11-CPX-6,0.2,16.46,1.16,0,15.64,11.98,0,53.25,0.75,0.56,100,SBBC
SBI11-CPX-7,0,16.06,1.11,0,16.14,12.49,0,53.08,0.69,0.43,100,SBBC
SBI11-CPX-8,0.34,16.63,1.02,0,15.2,12.47,0,53.51,0.83,0,100,SBBC
SBI11-CPX-9,0.21,16.84,0.97,0,15.83,12.05,0,52.97,0.63,0.5,100,SBBC
SBI11-CPX-10,0.28,16.66,1.12,0,14.18,13.06,0,53.29,0.77,0.65,100,SBBC
Average,0.23,16.64,1.11,0,15.43,12.26,0,53.14,0.77,0.42,100,SBBC
SBI12-CPX-1,0.24,18.2,0.68,0,22.49,5.92,0,51.46,0.54,0.46,100,SBBC
SBI12-CPX-2,0.24,18.26,0.84,0,21.86,5.99,0,51.49,0.87,0.47,100,SBBC
SBI12-CPX-3,0.3,18.24,0.51,0,23.31,5.07,0,51.4,0.53,0.62,100,SBBC
SBI12-CPX-4,0.25,18.82,0.32,0,23.82,4.61,0,51.77,0,0.42,100,SBBC
SBI12-CPX-5,0.23,17.92,0.81,0,21.35,6.87,0,51.76,0.57,0.5,100,SBBC
SBI12-CPX-6,0.3,17.72,0.63,0,21.96,6.74,0,51.16,0.66,0.83,100,SBBC
SBI12-CPX-7,0.2,18.21,0.45,0,23.26,5.08,0,51.69,0.52,0.58,100,SBBC
SBI12-CPX-8,0.35,18.14,0.66,0,22.7,5.63,0,51.5,0.67,0.35,100,SBBC
SBI12-CPX-9,0.45,18.2,0.61,0,23.14,5.1,0,51.18,0.62,0.7,100,SBBC
SBI12-CPX-10,0.22,18.32,0.6,0,23.03,5.18,0,51.32,0.6,0.73,100,SBBC
SBI12-CPX-11,0.29,18.21,0.36,0,24.19,4.66,0,51.54,0.36,0.39,100,SBBC
Average,0.28,18.2,0.59,0,22.83,5.53,0,51.48,0.54,0.55,100,SBBC
SBI13-CPX-1,0.27,17.72,0.98,0,18.07,9.44,0,52.48,0.66,0.38,100,SBBC
SBI13-CPX-2,0.23,17.6,1.13,0,17.66,9.95,0,52.38,0.65,0.41,100,SBBC
SBI13-CPX-3,0.24,17.16,0.9,0,19.68,8.73,0,52.13,0.77,0.38,100,SBBC
SBI13-CPX-4,0.25,17.71,0.91,0,17.27,9.8,0,52.85,0.79,0.42,100,SBBC
SBI13-CPX-5,0,17.51,0.69,0,20.25,8.11,0,52.23,0.53,0.67,100,SBBC
SBI13-CPX-6,0.24,17.66,0.88,0,16.78,10.64,0,52.67,0.75,0.37,100,SBBC
SBI13-CPX-7,0.27,16.08,0.89,0,19.12,9.95,0,52.49,0.77,0.43,100,SBBC
SBI13-CPX-8,0,17.38,0.77,0,21.25,7.65,0,51.83,0.64,0.48,100,SBBC
SBI13-CPX-9,0.21,17.08,0.69,0,20.24,8.58,0,51.89,0.86,0.46,100,SBBC
SBI13-CPX-10,0,17.14,0.89,0,19.32,9.08,0,52.49,0.75,0.34,100,SBBC
SBI13-CPX-11,0,17.26,0.93,0,18.8,9.11,0,52.87,0.71,0.32,100,SBBC
SBI13-CPX-12,0.35,17.07,1.05,0,18.63,9.52,0,52.05,0.65,0.67,100,SBBC
Average,0.17,17.28,0.89,0,18.92,9.21,0,52.36,0.71,0.44,100,SBBC
SBI14-CPX-1,0.29,17.88,0.87,0,16.21,10.66,0,53.02,0.75,0.31,100,SBBC
SBI14-CPX-2,0.18,18.07,1.08,0,15.06,11.41,0,52.96,0.78,0.46,100,SBBC
SBI14-CPX-3,0.26,18.18,1.04,0,15.18,11.2,0,52.93,0.71,0.5,100,SBBC
SBI14-CPX-4,0.26,18.18,1.04,0,15.18,11.2,0,52.93,0.71,0.5,100,SBBC
SBI14-CPX-5,0.24,18.74,0.97,0,14.43,11.28,0,53.14,0.84,0.36,100,SBBC
SBI14-CPX-6,0,18.56,0.94,0,15.1,11.32,0,52.96,0.82,0.31,100,SBBC
SBI14-CPX-7,0.22,17.07,0.98,0,15.88,11.36,0,53.29,0.8,0.4,100,SBBC
SBI14-CPX-8,0.34,16.9,1.01,0,16.53,11.18,0,52.71,0.9,0.42,100,SBBC
SBI14-CPX-9,0.18,15.59,1,0,18.38,10.98,0,52.88,0.66,0.34,100,SBBC
Average,0.22,17.69,0.99,0,15.77,11.18,0,52.98,0.77,0.4,100,SBBC
SBI15-CPX-1,0.21,16.88,0.97,0,15.45,12.42,0,53.72,0.34,0,100,SBBC
SBI15-CPX-2,0.28,17.69,1.27,0,14.65,12,0,53.13,0.7,0.29,100,SBBC
SBI15-CPX-3,0,18.45,1.36,0,13.85,12.02,0,53.57,0.75,0,100,SBBC
SBI15-CPX-4,0.25,18.75,1.55,0,13.21,12.34,0,52.97,0.92,0,100,SBBC
SBI15-CPX-5,0.32,15.64,1.34,0,15.76,13.07,0,52.85,0.77,0.26,100,SBBC
SBI15-CPX-6,0.22,16.98,1.32,0,14.68,13.37,0,52.62,0.8,0,100,SBBC
SBI15-CPX-7,0.21,17.97,1.72,0,12.71,13.24,0,52.76,0.98,0.42,100,SBBC
Average,0.21,17.48,1.36,0,14.33,12.64,0,53.09,0.75,0.14,100,SBBC
SBI16-CPX-1,0.25,18.41,1.6,0,12.65,13.29,0,52.66,0.82,0.32,100,SBBC
SBI16-CPX-2,0.19,18.15,1.39,0,13.59,12.39,0,53.18,0.81,0.29,100,SBBC
SBI16-CPX-3,0.19,18,1.34,0,13.42,12.54,0,53.36,0.84,0.32,100,SBBC
SBI16-CPX-4,0.26,17.72,1.17,0,13.82,12.47,0,53.43,0.75,0.39,100,SBBC
SBI16-CPX-5,0,16.48,1.34,0,14.17,13.77,0,53.01,0.92,0.31,100,SBBC
SBI16-CPX-6,0.17,17.74,1.22,0,13.9,12.56,0,53.14,0.86,0.4,100,SBBC
Average,0.18,17.75,1.34,0,13.59,12.84,0,53.13,0.83,0.34,100,SBBC
B364-CPX-1,0.35,20.1,1.68,0.1,7.7,16.1,0.03,51,0.74,0.21,98,SBBC
B364-CPX-2,0.32,20,2.21,0.31,7.2,16.2,0.04,50,0.91,0.17,97.4,SBBC
B364-CPX-3,0.29,19.7,1.85,0.36,6.9,16.7,0.04,51.9,0.74,0.15,98.6,SBBC
B364-CPX-4,0.33,19,2.54,0.14,8,16.2,0.04,49.6,1.39,0.18,97.4,SBBC
B364-CPX-5,0.31,18.2,2.32,0.05,8.9,16.6,0.04,49.8,1.28,0.22,97.7,SBBC
Average,0.32,19.4,2.12,0.19,7.74,16.36,0.04,50.46,1.01,0.19,97.8,SBBC
D126-CPX-1,0.42,19,2.67,0.28,7.8,16.6,0.08,51.4,0.98,0.24,99.5,SBBC
D126-CPX-2,0.46,19.4,2.54,0.15,7.8,16.4,0.06,51.2,1.23,0.25,99.5,SBBC
D126-CPX-3,0.47,19.5,2.11,0.13,7.6,16.7,0.07,50.4,0.05,0.22,97.3,SBBC
Average,0.45,19.3,2.44,0.19,7.73,16.57,0.07,51,0.75,0.24,98.7,SBBC
E161-CPX-1,0.39,19.4,2.74,0.41,7.2,17,0.04,48.9,0.86,0.19,97.1,SBBC
E161-CPX-2,0.37,19.8,1.74,0.29,6.8,17.5,0.06,51.5,0.54,0.21,98.8,SBBC
E161-CPX-3,0.4,19.9,2,0.13,7.6,16.7,0.05,50.6,1.11,0.23,98.7,SBBC
Average,0.39,19.7,2.16,0.28,7.2,17.07,0.05,50.33,0.84,0.21,98.2,SBBC
D314-CPX-1,0.42,19.4,2.45,0.05,9.4,15.7,0.04,49.8,1.27,0.24,98.8,SBBC
D314-CPX-2,0.43,19.4,2.34,0.06,9.5,15.7,0.05,49.5,1.17,0.24,98.4,SBBC
D314-CPX-3,0.43,19.7,2.56,0.14,8.7,15.6,0.04,50,0.97,0.26,98.4,SBBC
D314-CPX-4,0.41,18.2,1.98,0,10.8,15.8,0.05,51.2,0.88,0.31,99.6,SBBC
D314-CPX-5,0.41,19.6,2.38,0.1,9.3,15.7,0.05,50.6,1.15,0.25,99.5,SBBC
Average,0.42,19.26,2.34,0.07,9.54,15.7,0.05,50.22,1.09,0.26,98.9,SBBC
D246-CPX-1,0.46,20.2,2.31,0,8.8,15.1,0.07,51.2,0.78,0.28,99.2,SBBC
D246-CPX-2,0.43,20,2.03,0.21,7.8,16.1,0.05,51.1,0.7,0.22,98.6,SBBC
D246-CPX-3,0.44,18.2,2.34,0.03,10.1,16.1,0.05,49.7,1.14,0.3,98.4,SBBC
D246-CPX-4,0.41,20,2.21,0.34,7.7,16,0.04,51.7,0.69,0.24,99.3,SBBC
D246-CPX-5,0.43,18.3,1.81,0.04,9.8,16.8,0.05,50.6,0.73,0.3,98.9,SBBC
D246-CPX-6,0.42,18.6,2.35,0,9.7,15.7,0.05,49.8,1.29,0.3,98.2,SBBC
D246-CPX-7,0.45,19,2.06,0.03,9.4,15.7,0.05,51,1.07,0.32,99.1,SBBC
Average,0.43,19.19,2.16,0.09,9.04,15.93,0.05,50.73,0.91,0.28,98.8,SBBC
B326-CPX-1,0.42,18,2.13,0.07,11.2,15.7,0.06,50.9,1.08,0.29,99.9,SBBC
B326-CPX-2,0.44,18.3,2.65,0.36,9.2,16.1,0.06,50.6,0.86,0.23,98.8,SBBC
B326-CPX-3,0.48,17.5,2,0.02,12.5,14.9,0.06,50.6,1.1,0.31,99.5,SBBC
B326-CPX-4,0.44,18,2.31,0.05,12,14.7,0.06,49.7,1.31,0.29,98.9,SBBC
B326-CPX-5,0.43,17.2,2.09,0.08,12.3,15.2,0.06,50.7,1.24,0.18,99.5,SBBC
Average,0.44,17.8,2.24,0.12,11.44,15.32,0.06,50.5,1.12,0.26,99.3,SBBC
A376-CPX-1,0.3,18.5,3.24,0.51,9.4,14.8,0.04,48.8,1.14,0.25,97,SBBC
A376-CPX-2,0.36,18.7,3.4,0.7,9.6,14.8,0.02,49.2,1.11,0.24,98.1,SBBC
A376-CPX-3,0.34,15.6,2.34,0.03,14.5,14.3,0.04,49.5,1.33,0.41,98.4,SBBC
A376-CPX-4,0.3,19.1,3.06,0.56,8.9,14.7,0.04,48.9,1.06,0.22,96.8,SBBC
A376-CPX-5,0.31,19.1,3.66,0.91,8.7,14.1,0.04,48.3,1.17,0.23,96.5,SBBC
Average,0.32,18.2,3.14,0.54,10.22,14.54,0.04,48.94,1.16,0.27,97.4,SBBC
A290B-CPX-1,0.28,17.3,1.52,0.13,10.4,16.1,0.06,50.7,0.7,0.32,97.5,SBBC
A290B-CPX-2,0.31,20,2.53,0.25,9.6,15.5,0.04,50.3,1.02,0.15,99.7,SBBC
A290B-CPX-3,0.25,18.6,1.56,0.44,9.2,16.6,0.04,51.4,0.62,0.27,99,SBBC
Average,0.28,18.63,1.87,0.27,9.73,16.07,0.05,50.8,0.78,0.25,98.7,SBBC
E217-CPX-1,0.38,18.5,2.36,0,10.7,15.4,0.05,51.4,1.22,0.29,100.3,SBBC
E217-CPX-2,0.41,18.5,2.73,0.07,10.1,15.4,0.05,50,1.31,0.34,98.9,SBBC
E217-CPX-3,0.43,19.4,2.46,0.09,9.4,15.5,0.04,49.6,1.22,0.29,98.4,SBBC
E217-CPX-4,0.39,18.8,2.13,0.05,10.6,15.5,0.05,51.2,1.04,0.31,100.1,SBBC
Average,0.4,18.8,2.42,0.05,10.2,15.45,0.05,50.55,1.2,0.31,99.4,SBBC
E154-CPX-1,0.35,18.7,1.69,0.16,9.33,16.5,0.04,51.5,0.69,0.25,99.2,SBBC
E154-CPX-2,0.4,19,2.6,0.03,10.2,15.4,0.04,49.8,1.11,0.24,98.8,SBBC
