Sample,Na2O,CaO,Al2O3,Cr2O3,FeO,MgO,K2O,SiO2,TiO2,MnO,Total,Location
E154-CPX-3,0.43,18.3,3.2,0,10.5,15.3,0.07,47.7,1.05,0.27,96.8,SBBC
E154-CPX-4,0.41,17.5,2.61,0,11.7,15.4,0.05,48.6,1.25,0.31,97.8,SBBC
E154-CPX-5,0.41,13,1.35,0,15.7,16.7,0.05,49.9,0.75,0.42,98.3,SBBC
E154-CPX-6,0.39,15.5,1.27,0,14,16,0.05,51,0.77,0.44,99.4,SBBC
Average,0.4,17,2.12,0.03,11.91,15.88,0.05,49.75,0.94,0.32,98.4,SBBC
B413B-CPX-1,0.4,19.5,1.87,0.16,106,14.9,0.06,50.4,0.78,0.24,194.3,SBBC
B413B-CPX-2,0.35,19,1.88,0.11,10.7,14.9,0.06,49.6,0.79,0.25,97.6,SBBC
B413B-CPX-3,0.34,18.9,2.01,0.03,12.1,14.2,0.05,50.1,0.97,0.31,99,SBBC
B413B-CPX-4,0.3,17.9,1.54,0,13.1,13.4,0.05,48.5,0.9,0.34,96,SBBC
B413B-CPX-5,0.31,16.9,1.67,0,13.4,13.2,0.05,47.5,0.89,0.39,94.3,SBBC
B413B-CPX-6,0.3,18.9,1.77,0.02,12.8,13.9,0.04,49.9,0.94,0.33,98.9,SBBC
Average,0.33,18.52,1.79,0.05,28.02,14.08,0.05,49.33,0.88,0.31,113.4,SBBC
C505D-CPX-1,0.29,19.1,2.19,0.19,11.5,14.3,0.05,49.7,0.96,0.26,98.5,SBBC
C505D-CPX-2,0.32,18.6,2.66,0.29,11,14.3,0.04,48.4,1.05,0.28,96.9,SBBC
C505D-CPX-3,0.34,19.6,2.56,0.38,10.3,14.3,0.05,49.6,1.05,0.23,98.4,SBBC
C505D-CPX-4,0.31,18.8,2.13,0.17,11.2,14.2,0.05,48.9,0.96,0.29,97,SBBC
C505D-CPX-5,0.46,18.8,1.98,0,13.2,13.4,0.05,50,1.01,0.35,99.3,SBBC
Average,0.34,18.98,2.3,0.21,11.44,14.1,0.05,49.32,1.01,0.28,98,SBBC
B319-CPX-1,0.29,18.9,1.7,0.01,13.3,13.7,0.03,50,0.95,0.36,99.2,SBBC
B319-CPX-2,0.34,19.8,2.76,0.6,9.9,14.8,0.02,50.4,0.88,0.25,99.8,SBBC
B319-CPX-3,0.45,18.9,3.24,1.02,10.9,14.9,0.07,50.1,1.13,0.31,101,SBBC
Average,0.36,19.2,2.57,0.54,11.37,14.47,0.04,50.17,0.99,0.31,100,SBBC
C179B-CPX-1,0.44,18.8,2.36,0.21,12,14.1,0.07,50.1,1.01,0.27,99.4,SBBC
C179B-CPX-2,0.4,18.2,1.59,0.1,11.9,15,0.06,51,0.74,0.28,99.3,SBBC
C179B-CPX-3,0.4,18.4,2.28,0.18,12.1,14.6,0.06,50.4,0.98,0.28,99.7,SBBC
C179B-CPX-4,0.43,18.9,1.8,0.08,12,14.3,0.06,50.3,0.88,0.3,99.1,SBBC
C179B-CPX-5,0.4,18.9,2.1,0.15,11.6,14.5,0.07,51.3,397,0.26,496.3,SBBC
C179B-CPX-6,0.42,18.7,2.16,0.17,11.8,14.3,0.06,51.3,0.99,0.25,100.2,SBBC
Average,0.42,18.65,2.05,0.15,11.9,14.47,0.06,50.73,66.93,0.27,165.6,SBBC
F261-CPX-1,0.4,18.5,2.3,0,12.3,14.3,0.06,50.6,1.01,0.34,99.8,SBBC
F261-CPX-2,0.4,18.6,1.92,0.03,12.5,14.4,0.02,49.9,0.89,0.38,99,SBBC
F261-CPX-3,0.36,16.6,1.99,0,15.1,13.9,0.05,49.6,0.91,0.43,98.9,SBBC
F261-CPX-4,0.41,19,2.21,0.04,11.9,14.3,0.05,50.1,0.98,0.34,99.3,SBBC
F261-CPX-5,0.34,17.2,1.68,0,14.8,13.8,0.05,50,1.07,0.42,99.4,SBBC
Average,0.38,17.98,2.02,0.01,13.32,14.14,0.05,50.04,0.97,0.38,99.3,SBBC
A386D-CPX-1,0.21,17.3,0.89,0.09,20.5,8.9,0.04,49.7,0.66,0.56,98.9,SBBC
A386D-CPX-2,0.59,19.8,1.14,0,16.4,10.3,0.05,51.2,0.64,0.63,100.8,SBBC
A386D-CPX-3,0.26,17.1,0.79,0,21,8.5,0.06,49.4,0.6,0.63,98.3,SBBC
A386D-CPX-4,0.92,18.7,1.5,0,16.1,9.5,0.07,49.6,0.92,0.66,98,SBBC
A386D-CPX-5,0.5,18.5,1.01,0,19.3,8.8,0.07,49,0.64,0.56,98.4,SBBC
A386D-CPX-6,0.25,18.2,0.89,0,18.8,9.5,0.05,50,0.66,0.62,99,SBBC
A386D-CPX-7,0.29,17.6,0.84,0,20.2,8.4,0.04,48.6,0.61,0.59,97.2,SBBC
A386D-CPX-8,0.28,17.4,0.87,0,20.4,8.3,0.05,49.5,0.62,0.61,98,SBBC
Average,0.41,18.08,0.99,0.01,19.09,9.03,0.05,49.63,0.67,0.61,98.6,SBBC
A386H-CPX-1,0.25,17.8,1.15,0.03,16,12,0.04,49,0.75,0.44,97.5,SBBC
A386H-CPX-2,0.39,20.1,1.67,0,12.8,12.2,0.05,50.2,0.9,0.46,98.8,SBBC
A386H-CPX-3,0.41,19.4,1.1,0,14.9,11,0.05,49.2,0.64,0.53,97.2,SBBC
A386H-CPX-4,0.44,19.5,1.11,0.09,14.8,11.1,0.04,49.3,0.64,0.57,97.6,SBBC
Average,0.37,19.2,1.26,0.03,14.63,11.58,0.05,49.43,0.73,0.5,97.8,SBBC
A386G-CPX-1,0.4,17.7,0.8,0.03,20.7,8.2,0.07,48.5,0.3,0.51,97.2,SBBC
A386G-CPX-2,0.36,18.6,1.56,0.08,13.7,12.66,0.04,49.7,0.89,0.4,98,SBBC
A386G-CPX-3,0.23,18.3,0.58,0.05,18.3,10.4,0.04,49.4,0.31,0.54,98.2,SBBC
A386G-CPX-4,0.34,18,1.26,0.12,15.4,12,0.05,49.9,0.78,0.45,98.3,SBBC
A386G-CPX-5,0.27,18,1.48,0.02,14.3,13.1,0.04,49.5,0.89,0.4,98,SBBC
Average,0.32,18.12,1.14,0.06,16.48,11.27,0.05,49.4,0.63,0.46,97.9,SBBC
A420-CPX-1,0.23,18.6,0.91,0,22.5,6.1,0.05,49.3,0.7,0.6,99,SBBC
A420-CPX-2,0.2,18.6,0.96,0.01,22,6.4,0.04,49.4,0.73,0.54,98.9,SBBC
A420-CPX-3,0.2,17.9,1.07,0,21.1,7.4,0.04,49.2,0.76,0.58,98.3,SBBC
A420-CPX-4,0.36,18.7,0.93,0.08,22.7,6,0.09,50.2,0.68,0.66,100.4,SBBC
A420-CPX-5,0.2,18.8,1.01,0,21.7,7.3,0.05,50.1,0.76,0.55,100.5,SBBC
A420-CPX-6,0.19,18.4,0.87,0.01,22.6,5.9,0.05,49.3,0.68,0.6,98.6,SBBC
A420-CPX-7,0.23,8.7,0.74,0.01,23.6,5.1,0.05,49.5,0.62,0.58,89.1,SBBC
Average,0.23,17.1,0.93,0.02,22.31,6.31,0.05,49.57,0.7,0.59,97.8,SBBC
A313-CPX-1,0.23,19.2,0.92,0,24.6,4.7,0.05,46.9,0.86,0.61,98.1,SBBC
A313-CPX-2,0.22,19.4,1.14,0.04,26.5,3.9,0.05,47.1,1.06,0.63,100,SBBC
A313-CPX-3,0.23,19.7,0.94,0.01,24.8,4.4,0.06,47.7,0.86,0.6,99.3,SBBC
A313-CPX-4,0.23,19.3,0.89,0.04,25.2,4.2,0.06,47.8,0.86,0.64,99.2,SBBC
A313-CPX-5,0.22,18.7,0.71,0.04,25.7,3.5,0.05,45.6,0.69,0.62,95.8,SBBC
A313-CPX-6,0.22,18,0.95,0,24.4,4.2,0.04,45.8,0.86,0.62,95.1,SBBC
Average,0.23,19.05,0.93,0.02,25.2,4.15,0.05,46.82,0.87,0.62,97.9,SBBC
A386A-CPX-1,0.28,17.6,1.21,0.02,16.2,11.6,0.03,49.3,0.81,0.42,97.5,SBBC
A386A-CPX-2,0.24,17.3,0.93,0,19.5,9.6,0.04,49.3,0.67,0.57,98.2,SBBC
A386A-CPX-3,0.25,17.2,0.82,0.03,22.1,8.1,0.06,49.4,0.62,0.64,99.2,SBBC
A386A-CPX-4,0.21,16.4,0.66,0,23.8,6.7,0.05,48.5,0.57,0.77,97.7,SBBC
A386A-CPX-5,0.31,18.6,0.52,0.01,24.8,4.7,0.04,48.1,0.35,0.67,98.1,SBBC
A386A-CPX-6,0.23,17,0.96,0,19.9,9.1,0.05,49.6,0.68,0.58,98.1,SBBC
Average,0.25,17.35,0.85,0.01,21.05,8.3,0.05,49.03,0.62,0.61,98.1,SBBC
A412-CPX-1,0.21,18.2,1.05,0.1,21,7.8,0.04,48.4,0.69,0.55,98,SBBC
A412-CPX-2,0.22,18.3,1.03,0.01,20.9,8,0.03,48.7,0.68,0.56,98.4,SBBC
A412-CPX-3,0.24,19,0.97,0.01,21.6,7.8,0.05,49.2,0.68,0.55,100.1,SBBC
A412-CPX-4,0.23,18.3,1.05,0.03,21.2,7.7,0.05,48.2,0.66,0.57,98,SBBC
A412-CPX-5,0.23,19,0.9,0.02,22,7.2,0.05,48.7,0.59,0.55,99.2,SBBC
A412-CPX-6,0.21,18.6,0.93,0,21.1,7.7,0.05,48.8,0.68,0.55,98.6,SBBC
Average,0.22,18.57,0.99,0.03,21.3,7.7,0.05,48.67,0.66,0.56,98.7,SBBC
C402-CPX-1,0.21,18,0.99,0.1,20.9,7.5,0.03,47.6,0.66,0.54,96.5,SBBC
C402-CPX-2,0.22,17.8,0.75,0,21.2,7.6,0.03,46.9,0.5,0.53,95.5,SBBC
C402-CPX-3,0.24,18.1,0.75,0.04,22.7,6.7,0.05,48.2,0.55,0.58,97.9,SBBC
C402-CPX-4,0.22,18.2,1.06,0.1,20.3,8.3,0.05,48.2,0.72,0.58,97.7,SBBC
C402-CPX-5,0.23,17.8,1.07,0.07,20.2,8.4,0.03,47.8,0.7,0.54,96.8,SBBC
C402-CPX-6,0.26,17.9,1,0,20.9,7.8,0.04,48.5,0.66,0.6,97.7,SBBC
Average,0.23,17.97,0.94,0.05,21.03,7.72,0.04,47.87,0.63,0.56,97,SBBC
SB28-CPX-1,0.34,17.9,1.62,0.01,12.7,13,0,49.4,0.89,0.33,96.2,SBBC
Average,0.34,17.9,1.62,0.01,12.7,13,0,49.4,0.89,0.33,96.2,SBBC
B309B-CPX-1,0.63,17.9,1.76,0.01,13.6,13.8,0.02,49.8,1.03,0.26,98.8,SBBC
B309B-CPX-2,0.35,17.6,1.57,0.03,15,13.1,0.03,49.7,1.07,0.37,98.8,SBBC
B309B-CPX-3,0.31,15.8,1.25,0.02,17.8,12.8,0.02,50.4,0.83,0.46,99.7,SBBC
B309B-CPX-4,0.33,16.4,0.91,0.1,19.5,11.3,0.04,47.8,0.62,0.5,97.5,SBBC
Average,0.41,16.93,1.37,0.04,16.48,12.75,0.03,49.43,0.89,0.4,98.7,SBBC
B309C-CPX-1,0.29,18.3,1.7,0,13.6,13.6,0.05,50.6,0.84,0.35,99.3,SBBC
B309C-CPX-2,0.3,16.8,1.51,0,17.1,11.6,0.06,49.9,0.68,0.51,98.5,SBBC
B309C-CPX-3,0.38,17.4,2.01,0,15.9,11.3,0.07,49.7,0.56,0.47,97.8,SBBC
B309C-CPX-4,0.25,18.9,1.66,0.04,13.4,14.1,0.05,51.2,0.86,0.33,100.8,SBBC
B309C-CPX-5,0.28,17.7,1.77,0.03,13.8,13.9,0.06,51,0.8,0.37,99.7,SBBC
Average,0.3,17.82,1.73,0.01,14.76,12.9,0.06,50.48,0.75,0.41,99.2,SBBC
C420-CPX-1,0.28,17.1,1.8,0.03,13.1,14.3,0.03,50.8,0.86,0.35,98.7,SBBC
C420-CPX-2,0.29,18.5,1.83,0,12.1,14.1,0.05,50.8,0.95,0.32,98.9,SBBC
C420-CPX-3,0.31,17.2,1.68,0,14.2,13.5,0.04,50.5,0.86,0.43,98.7,SBBC
C420-CPX-4,0.28,16.6,1.55,0,17.1,11.7,0.05,50.1,0.76,0.55,98.7,SBBC
C420-CPX-5,0.33,16.3,1.53,0,16.7,11.9,0.06,49.2,0.78,0.49,97.3,SBBC
C420-CPX-6,0.29,18.2,2.3,0,12.1,14.2,0.04,50.2,0.95,0.32,98.6,SBBC
C420-CPX-7,0.27,18.1,1.42,0,14.6,12.9,0.04,50.7,0.84,0.42,99.3,SBBC
Average,0.29,17.43,1.73,0,14.27,13.23,0.04,50.33,0.86,0.41,98.6,SBBC
B413A-CPX-1,0.25,17.5,1.2,0,14.6,9.3,0.04,45.3,0.71,0.69,89.6,SBBC
B413A-CPX-2,0.2,17.4,1.04,0.05,18.4,10.5,0.05,49.2,0.71,0.54,98.1,SBBC
B413A-CPX-3,0.25,18,0.76,0,22.5,7.3,0.06,49.6,0.58,0.67,99.7,SBBC
B413A-CPX-4,0.26,17.7,1.54,0,15.2,9.8,0.06,46.4,0.77,0.47,92.2,SBBC
B413A-CPX-5,0.22,18,0.92,0.02,21,8.8,0.06,49.6,0.65,0.63,99.9,SBBC
B413A-CPX-6,0.66,18.7,1.49,0,15.7,10.3,0.16,49.3,0.91,0.89,98.1,SBBC
B413A-CPX-7,0.24,16.9,1.2,0,17.5,10.3,0.04,47.2,0.8,0.5,94.7,SBBC
Average,0.3,17.74,1.16,0.01,17.84,9.47,0.07,48.09,0.73,0.63,96,SBBC
C505C-CPX-1,0.31,19.1,1.51,0,13.4,13.8,0.05,50.9,0.87,0.36,100.3,SBBC
C505C-CPX-2,0.3,17.9,1.7,0,13.2,13.9,0.04,49.7,0.81,0.35,97.9,SBBC
C505C-CPX-3,0.28,18.7,1.63,0,13.4,13.9,0.04,51.4,0.84,0.35,100.5,SBBC
C505C-CPX-4,0.27,17.8,1.39,0.06,15,12.7,0.05,49.7,0.79,0.43,98.2,SBBC
C505C-CPX-5,0.28,18.8,1.71,0.15,13.6,13.6,0.04,50.2,0.92,0.36,99.7,SBBC
C505C-CPX-6,0.3,18.9,1.79,0,13.2,13.7,0.04,49.5,0.96,0.36,98.8,SBBC
Average,0.29,18.53,1.62,0.04,13.63,13.6,0.04,50.23,0.87,0.37,99.2,SBBC
