Sample,CAT SUM,Si,Al,Na,Ca,Fe,Mg,K,Total,An,Megacryst_loc,Unit,loc
KP101a-Core-1,2.74,2.34,1.63,0.38,0.65,0.02,0,0.01,5.04,62.4,GSF core,GSF,core
KP101a-Core-2,2.74,2.32,1.66,0.38,0.65,0.02,0,0.01,5.04,62.6,GSF core,GSF,core
KP101a-Core-3,2.74,2.33,1.66,0.36,0.64,0.02,0.01,0,5.02,63.9,GSF core,GSF,core
KP101a-Core-4,2.74,2.32,1.66,0.38,0.65,0.02,0,0.01,5.04,62.7,GSF core,GSF,core
KP101a-Core-5,2.74,2.36,1.63,0.36,0.62,0.03,0,0.01,5.01,62.5,GSF core,GSF,core
KP101a-Core-6,2.71,2.44,1.57,0.31,0.58,0.03,0,0,4.94,65,GSF core,GSF,core
KP101a-Core-7,2.73,2.37,1.62,0.33,0.65,0.02,0,0.01,4.99,65.4,GSF core,GSF,core
KP101a-Core-8,2.68,2.57,1.44,0.19,0.55,0.03,0.02,0,4.8,74.2,GSF core,GSF,core
KP101a-Core-9,2.82,2.26,1.49,0.3,0.52,0.27,0.3,0,5.14,63.6,GSF core,GSF,core
KP101a-Core-10,2.75,2.33,1.63,0.35,0.61,0.06,0.05,0.01,5.04,63,GSF core,GSF,core
KP101a-Core-11,2.73,2.31,1.71,0.33,0.62,0.02,0,0,5,65.1,GSF core,GSF,core
KP101a-Core-12,2.75,2.31,1.66,0.35,0.69,0.03,0,0,5.03,66.5,GSF core,GSF,core
KP101a-Core-13,2.76,2.19,1.8,0.19,0.81,0.02,0,0,5.01,81,GSF core,GSF,core
KP101a-Core-14,2.89,2.24,1.36,0.18,0.63,0.42,0.35,0,5.17,78.1,GSF core,GSF,core
KP101a-Core-15,2.72,2.41,1.58,0.34,0.6,0.03,0,0,4.97,63.5,GSF core,GSF,core
KP101a-Core-16,2.74,2.34,1.64,0.38,0.66,0.02,0,0.01,5.04,63,GSF core,GSF,core
KP101a-Core-17,2.73,2.43,1.47,0.12,0.55,0.15,0.16,0.01,4.89,81.3,GSF core,GSF,core
KP101a-Core-18,2.74,2.35,1.63,0.39,0.64,0.03,0,0.01,5.04,61.7,GSF core,GSF,core
Average,2.75,2.35,1.6,0.31,0.63,0.07,0.05,0,5.01,67,GSF core,GSF,core
KP101a-Rim-1,2.72,2.42,1.59,0.39,0.54,0.04,0,0.01,4.99,57.2,GSF rim,GSF,rim
KP101a-Rim-2,2.71,2.47,1.52,0.35,0.56,0.04,0.02,0,4.94,61.6,GSF rim,GSF,rim
KP101a-Rim-3,2.74,2.33,1.66,0.39,0.63,0.03,0,0,5.04,61.8,GSF rim,GSF,rim
KP101a-Rim-4,2.74,2.34,1.64,0.38,0.64,0.03,0,0.01,5.04,62,GSF rim,GSF,rim
KP101a-Rim-5,2.72,2.48,1.49,0.51,0.5,0.03,0,0.02,5.03,48.8,GSF rim,GSF,rim
KP101a-Rim-6,2.71,2.49,1.49,0.37,0.54,0.02,0.01,0.01,4.95,58.7,GSF rim,GSF,rim
KP101a-Rim-7,2.74,2.31,1.69,0.38,0.65,0.02,0,0,5.04,63.4,GSF rim,GSF,rim
KP101a-Rim-8,2.74,2.38,1.6,0.36,0.64,0.03,0,0.01,5.01,63.5,GSF rim,GSF,rim
KP101a-Rim-9,2.72,2.51,1.46,0.57,0.48,0,0,0.03,5.06,44.5,GSF rim,GSF,rim
KP101a-Rim-10,2.74,2.35,1.63,0.38,0.64,0.03,0,0.01,5.03,62,GSF rim,GSF,rim
Average,2.73,2.41,1.58,0.41,0.58,0.03,0,0.01,5.01,58.3,GSF rim,GSF,rim
KP101b-Core-1,2.73,2.36,1.63,0.34,0.65,0.02,0,0,5,65.9,GSF core,GSF,core
KP101b-Core-2,2.74,2.36,1.6,0.31,0.64,0.05,0.03,0,5,67,GSF core,GSF,core
KP101b-Core-3,2.72,2.43,1.56,0.21,0.64,0.03,0.02,0.01,4.9,74.5,GSF core,GSF,core
KP101b-Core-4,2.76,2.21,1.77,0.23,0.78,0.03,0,0,5.02,77.1,GSF core,GSF,core
KP101b-Core-5,2.76,2.21,1.77,0.25,0.77,0.03,0,0,5.03,75.4,GSF core,GSF,core
KP101b-Core-6,2.74,2.47,1.39,0.21,0.52,0.15,0.17,0.01,4.94,69.9,GSF core,GSF,core
KP101b-Core-7,2.74,2.29,1.69,0.32,0.7,0.01,0,0,5.02,68.5,GSF core,GSF,core
KP101b-Core-8,2.75,2.26,1.72,0.32,0.71,0.02,0,0,5.03,68.7,GSF core,GSF,core
KP101b-Core-9,2.63,2.65,1.46,0.2,0.37,0.02,0,0.01,4.72,63.6,GSF core,GSF,core
KP101b-Core-10,2.74,2.32,1.66,0.37,0.67,0.02,0,0,5.04,64.6,GSF core,GSF,core
KP101b-Core-11,2.73,2.43,1.55,0.45,0.57,0.02,0,0.02,5.03,54.7,GSF core,GSF,core
Average,2.73,2.36,1.62,0.29,0.64,0.04,0.02,0,4.98,68.2,GSF core,GSF,core
KP101b-Rim-1,2.68,2.64,1.37,0.41,0.42,0.03,0,0.02,4.89,49.5,GSF rim,GSF,rim
KP101b-Rim-2,2.72,2.47,1.5,0.51,0.51,0.02,0,0.02,5.04,49.4,GSF rim,GSF,rim
KP101b-Rim-3,2.74,2.34,1.64,0.36,0.65,0.03,0,0.01,5.02,63.8,GSF rim,GSF,rim
KP101b-Rim-4,2.71,2.47,1.51,0.25,0.58,0.04,0.04,0.01,4.9,69.1,GSF rim,GSF,rim
KP101b-Rim-5,2.72,2.46,1.52,0.41,0.56,0.02,0.01,0.01,4.99,57,GSF rim,GSF,rim
KP101b-Rim-6,2.72,2.49,1.48,0.54,0.49,0.02,0,0.02,5.05,46.6,GSF rim,GSF,rim
KP101b-Rim-7,2.74,2.3,1.68,0.34,0.69,0.01,0,0.01,5.03,66.3,GSF rim,GSF,rim
KP101b-Rim-8,2.59,3.05,0.97,0.23,0.3,0.02,0,0.01,4.58,56.2,GSF rim,GSF,rim
Average,2.7,2.53,1.46,0.38,0.53,0.02,0.01,0.01,4.94,57.2,GSF rim,GSF,rim
KP101-gm-1,2.71,2.5,1.49,0.4,0.53,0.03,0,0.02,4.97,55.5,GSF groundmass,GSF,groundmass
KP101-gm-2,2.72,2.46,1.52,0.36,0.58,0.03,0,0.02,4.97,60.2,GSF groundmass,GSF,groundmass
KP101-gm-3,2.72,2.43,1.55,0.38,0.6,0.02,0,0.01,4.99,60.3,GSF groundmass,GSF,groundmass
KP101-gm-4,2.71,2.53,1.45,0.4,0.52,0.03,0,0.03,4.96,54.8,GSF groundmass,GSF,groundmass
KP101-gm-5,2.71,2.52,1.47,0.39,0.54,0.02,0,0.02,4.95,57,GSF groundmass,GSF,groundmass
KP101-gm-6,2.72,2.45,1.53,0.36,0.59,0.03,0,0.02,4.97,61.4,GSF groundmass,GSF,groundmass
KP101-gm-7,2.72,2.46,1.51,0.37,0.58,0.04,0,0.02,4.98,59.9,GSF groundmass,GSF,groundmass
KP101-gm-8,2.72,2.45,1.54,0.36,0.59,0.02,0,0.02,4.97,61.2,GSF groundmass,GSF,groundmass
KP101-gm-9,2.69,2.66,1.33,0.46,0.41,0.02,0,0.04,4.93,44.9,GSF groundmass,GSF,groundmass
KP101-gm-10,2.71,2.48,1.52,0.4,0.5,0.03,0.02,0.02,4.97,54.1,GSF groundmass,GSF,groundmass
KP101-gm-11,2.67,2.76,1.23,0.61,0.3,0.02,0,0.05,4.96,31,GSF groundmass,GSF,groundmass
Average,2.71,2.52,1.47,0.41,0.52,0.02,0,0.02,4.97,54.6,GSF groundmass,GSF,groundmass
IR12b-Core-1,2.75,2.31,1.68,0.39,0.65,0.03,0,0.01,5.05,62.2,GSF core,GSF,core
IR12b-Core-2,2.77,2.18,1.8,0.24,0.79,0.03,0,0,5.04,76.9,GSF core,GSF,core
IR12b-Core-3,2.77,2.17,1.82,0.22,0.81,0.02,0,0,5.03,78.7,GSF core,GSF,core
IR12b-Core-4,2.76,2.2,1.78,0.33,0.74,0.02,0,0,5.07,69.3,GSF core,GSF,core
IR12b-Core-5,2.76,2.17,1.82,0.21,0.8,0.02,0,0,5.02,79.6,GSF core,GSF,core
IR12b-Core-6,2.76,2.18,1.8,0.22,0.81,0.02,0,0,5.03,78.5,GSF core,GSF,core
IR12b-Core-7,2.76,2.21,1.77,0.27,0.75,0.03,0,0,5.03,73.6,GSF core,GSF,core
IR12b-Core-8,2.77,2.17,1.81,0.23,0.8,0.03,0,0,5.04,77.9,GSF core,GSF,core
IR12b-Core-9,2.76,2.19,1.8,0.23,0.79,0.02,0,0,5.03,77.9,GSF core,GSF,core
IR12b-Core-10,2.76,2.21,1.76,0.23,0.79,0.03,0,0.01,5.03,76.8,GSF core,GSF,core
IR12b-Core-11,2.77,2.18,1.8,0.23,0.8,0.03,0,0,5.04,77.4,GSF core,GSF,core
IR12b-Core-12,2.77,2.17,1.81,0.21,0.81,0.03,0,0,5.02,79.7,GSF core,GSF,core
Average,2.76,2.2,1.79,0.25,0.78,0.03,0,0,5.04,75.7,GSF core,GSF,core
IR12b-Rim-1,2.74,2.42,1.55,0.5,0.54,0.03,0,0.02,5.06,51.2,GSF rim,GSF,rim
IR12b-Rim-2,2.77,2.19,1.78,0.24,0.79,0.03,0,0,5.04,76.4,GSF rim,GSF,rim
IR12b-Rim-3,2.74,2.31,1.68,0.35,0.67,0.02,0,0,5.03,65.6,GSF rim,GSF,rim
IR12b-Rim-4,2.74,2.38,1.59,0.41,0.61,0.03,0,0.01,5.04,59.3,GSF rim,GSF,rim
IR12b-Rim-5,2.76,2.23,1.75,0.27,0.74,0.03,0,0.01,5.03,72.7,GSF rim,GSF,rim
IR12b-Rim-6,2.77,2.18,1.81,0.35,0.73,0.03,0,0,5.09,67.7,GSF rim,GSF,rim
IR12b-Rim-7,2.73,2.5,1.46,0.57,0.47,0.04,0,0.02,5.06,44.1,GSF rim,GSF,rim
IR12b-Rim-8,2.75,2.31,1.66,0.38,0.66,0.04,0,0.02,5.06,62.5,GSF rim,GSF,rim
IR12b-Rim-9,2.73,2.46,1.52,0.45,0.55,0.03,0,0.01,5.02,53.9,GSF rim,GSF,rim
Average,2.75,2.33,1.64,0.39,0.64,0.03,0,0.01,5.05,61.5,GSF rim,GSF,rim
IR12-gm-1,2.67,2.53,1.57,0.7,0.24,0,0,0,5.04,25.9,GSF groundmass,GSF,groundmass
IR12-gm-2,2.7,2.58,1.39,0.47,0.47,0.03,0,0.02,4.96,48.6,GSF groundmass,GSF,groundmass
IR12-gm-3,2.72,2.39,1.61,0.32,0.63,0.03,0,0,4.97,65.8,GSF groundmass,GSF,groundmass
IR12-gm-4,2.66,2.95,1.04,0.66,0.12,0.01,0,0.16,4.94,12.8,GSF groundmass,GSF,groundmass
IR12-gm-5,2.7,2.58,1.39,0.47,0.47,0.03,0,0.02,4.96,48.6,GSF groundmass,GSF,groundmass
IR12-gm-6,2.72,2.47,1.56,0.99,0.22,0.01,0,0,5.25,18.4,GSF groundmass,GSF,groundmass
IR12-gm-7,2.69,2.98,0.97,0.53,0.06,0.05,0.06,0.31,4.95,6.5,GSF groundmass,GSF,groundmass
IR12-gm-8,2.7,2.57,1.42,0.47,0.47,0.03,0,0.02,4.97,49.3,GSF groundmass,GSF,groundmass
IR12-gm-9,2.68,2.71,1.26,0.57,0.34,0.04,0,0.02,4.95,36.7,GSF groundmass,GSF,groundmass
Average,2.69,2.64,1.36,0.57,0.34,0.03,0.01,0.06,5,34.7,GSF groundmass,GSF,groundmass
IR15a-Core-1,2.75,2.23,1.76,0.29,0.74,0.02,0,0,5.03,72.3,GSF core,GSF,core
IR15a-Core-2,2.76,2.23,1.75,0.28,0.73,0.03,0,0.01,5.03,71.9,GSF core,GSF,core
IR15a-Core-3,2.76,2.22,1.76,0.27,0.74,0.03,0,0.01,5.04,72.3,GSF core,GSF,core
IR15a-Core-4,2.76,2.24,1.74,0.29,0.74,0.02,0,0.01,5.04,71,GSF core,GSF,core
IR15a-Core-5,2.8,2.19,1.72,0.29,0.79,0.1,0,0,5.09,73.5,GSF core,GSF,core
IR15a-Core-6,2.75,2.24,1.74,0.28,0.75,0.02,0,0,5.03,72.5,GSF core,GSF,core
IR15a-Core-7,2.75,2.24,1.76,0.29,0.73,0.01,0,0,5.02,71.8,GSF core,GSF,core
IR15a-Core-8,2.75,2.23,1.76,0.28,0.72,0.03,0,0,5.02,72.3,GSF core,GSF,core
IR15a-Core-9,2.76,2.23,1.76,0.29,0.74,0.03,0,0,5.04,72.1,GSF core,GSF,core
IR15a-Core-10,2.76,2.17,1.83,0.2,0.79,0.03,0,0,5.02,80,GSF core,GSF,core
IR15a-Core-11,2.76,2.23,1.76,0.29,0.73,0.02,0,0.01,5.04,71,GSF core,GSF,core
IR15a-Core-12,2.75,2.25,1.73,0.28,0.74,0.02,0,0,5.02,72.7,GSF core,GSF,core
IR15a-Core-13,2.73,2.37,1.61,0.26,0.68,0.02,0,0.01,4.95,71.8,GSF core,GSF,core
IR15a-Core-14,2.73,2.34,1.64,0.23,0.71,0.02,0,0.01,4.95,74.6,GSF core,GSF,core
IR15a-Core-15,2.71,2.49,1.49,0.39,0.56,0.02,0,0.02,4.97,57.7,GSF core,GSF,core
IR15a-Core-16,2.74,2.27,1.72,0.18,0.77,0.02,0,0,4.96,80.7,GSF core,GSF,core
IR15a-Core-17,2.73,2.37,1.62,0.28,0.68,0.02,0,0.01,4.97,69.8,GSF core,GSF,core
IR15a-Core-18,2.74,2.34,1.64,0.28,0.69,0.02,0,0.01,4.98,70.2,GSF core,GSF,core
IR15a-Core-19,2.73,2.34,1.64,0.25,0.7,0.02,0,0.01,4.97,72.4,GSF core,GSF,core
Average,2.75,2.28,1.71,0.27,0.72,0.03,0,0.01,5.01,72.1,GSF core,GSF,core
IR15a-Rim-1,2.74,2.4,1.56,0.41,0.6,0.04,0,0.02,5.03,58.3,GSF rim,GSF,rim
IR15a-Rim-2,2.76,2.23,1.74,0.29,0.74,0.03,0,0.01,5.04,71.7,GSF rim,GSF,rim
IR15a-Rim-3,2.75,2.26,1.72,0.37,0.69,0.01,0,0,5.06,65.2,GSF rim,GSF,rim
IR15a-Rim-4,2.75,2.3,1.68,0.35,0.68,0.02,0,0.02,5.05,65.2,GSF rim,GSF,rim
IR15a-Rim-5,2.72,2.55,1.42,0.61,0.43,0.03,0,0.03,5.06,40.6,GSF rim,GSF,rim
IR15a-Rim-6,2.73,2.42,1.56,0.45,0.55,0.03,0,0.03,5.04,53.8,GSF rim,GSF,rim
IR15a-Rim-7,2.75,2.36,1.61,0.42,0.61,0.03,0,0.02,5.05,58.3,GSF rim,GSF,rim
IR15a-Rim-8,2.77,2.22,1.75,0.27,0.75,0.04,0,0.01,5.04,72.9,GSF rim,GSF,rim
IR15a-Rim-9,2.74,2.26,1.76,0.42,0.59,0.02,0.02,0,5.07,58,GSF rim,GSF,rim
IR15a-Rim-10,2.73,2.46,1.49,0.5,0.52,0.03,0.02,0.02,5.05,49.9,GSF rim,GSF,rim
IR15a-Rim-11,2.71,2.61,1.35,0.66,0.36,0.03,0,0.05,5.07,33.9,GSF rim,GSF,rim
IR15a-Rim-12,2.76,2.44,1.48,0.53,0.59,0.02,0,0.06,5.12,49.7,GSF rim,GSF,rim
IR15a-Rim-13,2.75,2.34,1.63,0.41,0.63,0.02,0,0.02,5.06,59.2,GSF rim,GSF,rim
Average,2.74,2.37,1.6,0.44,0.6,0.03,0,0.02,5.06,56.7,GSF rim,GSF,rim
