Sample,CAT SUM,Si,Al,Na,Ca,Fe,Mg,K,Total,An,Megacryst_loc,Unit,loc
IR15b-Core-1,2.76,2.17,1.83,0.2,0.79,0.03,0,0,5.02,80,GSF core,GSF,core
IR15b-Core-2,2.73,2.52,1.45,0.56,0.47,0.03,0,0.04,5.06,44,GSF core,GSF,core
IR15b-Core-3,2.72,2.46,1.53,0.5,0.42,0.07,0.04,0.02,5.04,44.7,GSF core,GSF,core
IR15b-Core-4,2.74,2.37,1.61,0.41,0.61,0.04,0,0.01,5.04,59,GSF core,GSF,core
IR15b-Core-5,2.74,2.41,1.55,0.45,0.58,0.03,0,0.02,5.05,55.1,GSF core,GSF,core
IR15b-Core-6,2.73,2.44,1.53,0.47,0.55,0.03,0,0.02,5.04,52.8,GSF core,GSF,core
IR15b-Core-7,2.77,2.18,1.8,0.21,0.8,0.03,0,0.01,5.03,78.8,GSF core,GSF,core
IR15b-Core-8,2.74,2.39,1.58,0.41,0.59,0.03,0,0.02,5.03,57.3,GSF core,GSF,core
IR15b-Core-9,2.75,2.34,1.63,0.42,0.61,0.03,0,0.02,5.06,58.2,GSF core,GSF,core
IR15b-Core-10,2.74,2.35,1.63,0.37,0.64,0.03,0,0.02,5.03,62.4,GSF core,GSF,core
IR15b-Core-11,2.73,2.39,1.6,0.43,0.59,0.02,0,0.02,5.04,57.1,GSF core,GSF,core
IR15b-Core-12,2.73,2.43,1.55,0.47,0.55,0.03,0,0.02,5.05,52.4,GSF core,GSF,core
IR15b-Core-13,2.74,2.4,1.57,0.44,0.58,0.03,0,0.02,5.04,56.3,GSF core,GSF,core
IR15b-Core-14,2.74,2.39,1.58,0.44,0.59,0.02,0,0.02,5.05,55.9,GSF core,GSF,core
Average,2.74,2.37,1.6,0.41,0.6,0.03,0,0.02,5.04,58.2,GSF core,GSF,core
IR15b-Core-1,2.74,2.34,1.64,0.25,0.71,0.02,0,0.01,4.97,73.5,GSF core,GSF,core
IR15b-Core-2,2.74,2.32,1.67,0.25,0.7,0.02,0,0.01,4.97,73.2,GSF core,GSF,core
IR15b-Core-3,2.74,2.32,1.67,0.21,0.72,0.03,0,0.01,4.96,76.6,GSF core,GSF,core
IR15b-Core-4,2.73,2.33,1.65,0.24,0.71,0.02,0,0,4.96,74.8,GSF core,GSF,core
IR15b-Core-5,2.74,2.32,1.66,0.25,0.71,0.02,0,0.01,4.98,73.1,GSF core,GSF,core
IR15b-Core-6,2.73,2.34,1.65,0.25,0.7,0.02,0,0.01,4.96,73.4,GSF core,GSF,core
IR15b-Core-7,2.74,2.33,1.66,0.23,0.72,0.02,0,0.01,4.96,74.7,GSF core,GSF,core
IR15b-Core-8,2.74,2.33,1.65,0.25,0.7,0.03,0,0,4.97,73.6,GSF core,GSF,core
Average,2.74,2.33,1.66,0.24,0.71,0.02,0,0.01,4.97,74.1,GSF core,GSF,core
IR15b-Rim-1,2.74,2.39,1.59,0.43,0.58,0.03,0,0.02,5.04,56.4,GSF rim,GSF,rim
IR15b-Rim-2,2.74,2.35,1.64,0.4,0.61,0.03,0,0.01,5.04,60.1,GSF rim,GSF,rim
IR15b-Rim-3,2.74,2.35,1.63,0.38,0.64,0.03,0,0.02,5.04,61.7,GSF rim,GSF,rim
IR15b-Rim-4,2.74,2.42,1.54,0.44,0.58,0.04,0,0.02,5.04,55.3,GSF rim,GSF,rim
IR15b-Rim-5,2.74,2.37,1.6,0.43,0.6,0.02,0,0.02,5.05,57.3,GSF rim,GSF,rim
IR15b-Rim-6,2.74,2.37,1.61,0.41,0.6,0.03,0,0.01,5.04,58.3,GSF rim,GSF,rim
IR15b-Rim-7,2.73,2.4,1.58,0.45,0.57,0.02,0,0.01,5.04,55.4,GSF rim,GSF,rim
IR15b-Rim-8,2.77,2.23,1.71,0.38,0.62,0.07,0.08,0.01,5.11,61.5,GSF rim,GSF,rim
IR15b-Rim-9,2.77,2.22,1.73,0.26,0.73,0.07,0.04,0,5.05,73.4,GSF rim,GSF,rim
Average,2.74,2.34,1.63,0.4,0.62,0.04,0.01,0.01,5.05,59.9,GSF rim,GSF,rim
IR15-gm-1,2.7,2.6,1.38,0.46,0.46,0.03,0,0.03,4.96,48.2,GSF groundmass,GSF,groundmass
IR15-gm-2,2.7,2.56,1.42,0.41,0.49,0.03,0.02,0.03,4.95,53.1,GSF groundmass,GSF,groundmass
IR15-gm-3,2.72,2.47,1.5,0.35,0.59,0.03,0,0.01,4.96,61.6,GSF groundmass,GSF,groundmass
IR15-gm-4,2.7,2.56,1.43,0.43,0.49,0.02,0,0.03,4.96,51.3,GSF groundmass,GSF,groundmass
IR15-gm-5,2.71,2.54,1.44,0.44,0.5,0.03,0,0.03,4.97,51.7,GSF groundmass,GSF,groundmass
IR15-gm-6,2.72,2.48,1.5,0.38,0.57,0.03,0,0.01,4.97,59.2,GSF groundmass,GSF,groundmass
IR15-gm-7,2.7,2.6,1.38,0.46,0.46,0.03,0,0.03,4.96,48.2,GSF groundmass,GSF,groundmass
IR15-gm-8,2.7,2.56,1.42,0.41,0.49,0.03,0.02,0.03,4.95,53.1,GSF groundmass,GSF,groundmass
IR15-gm-9,2.72,2.47,1.5,0.35,0.59,0.03,0,0.01,4.96,61.6,GSF groundmass,GSF,groundmass
IR15-gm-10,2.7,2.56,1.43,0.43,0.49,0.02,0,0.03,4.96,51.3,GSF groundmass,GSF,groundmass
IR15-gm-11,2.71,2.54,1.44,0.44,0.5,0.03,0,0.03,4.97,51.7,GSF groundmass,GSF,groundmass
IR15-gm-12,2.72,2.48,1.5,0.38,0.57,0.03,0,0.01,4.97,59.2,GSF groundmass,GSF,groundmass
Average,2.71,2.53,1.45,0.41,0.52,0.03,0,0.02,4.96,54.2,GSF groundmass,GSF,groundmass
IR21-Core-1,2.75,2.21,1.8,0.25,0.74,0.02,0,0,5.02,74.7,GSF core,GSF,core
IR21-Core-2,2.75,2.25,1.75,0.29,0.7,0.02,0,0.01,5.03,70,GSF core,GSF,core
IR21-Core-3,2.75,2.27,1.72,0.29,0.71,0.02,0,0.01,5.02,70,GSF core,GSF,core
IR21-Core-4,2.74,2.25,1.76,0.29,0.7,0.02,0,0,5.02,71.1,GSF core,GSF,core
IR21-Core-5,2.73,2.26,1.76,0.25,0.67,0.03,0.01,0,4.98,73.1,GSF core,GSF,core
IR21-Core-6,2.71,1.92,2.27,0.23,0.62,0,0,0.01,5.06,72.1,GSF core,GSF,core
IR21-Core-7,2.73,2.35,1.64,0.23,0.7,0.03,0,0.01,4.95,74.4,GSF core,GSF,core
IR21-Core-8,2.75,2.22,1.79,0.23,0.73,0.03,0,0,5,75.7,GSF core,GSF,core
IR21-Core-9,2.75,2.22,1.78,0.26,0.73,0.03,0,0,5.02,73.4,GSF core,GSF,core
IR21-Core-10,2.75,2.25,1.76,0.3,0.69,0.03,0,0,5.03,69.6,GSF core,GSF,core
IR21-Core-11,2.73,2.35,1.67,0.41,0.56,0.03,0,0.01,5.02,57,GSF core,GSF,core
IR21-Core-12,2.74,2.25,1.76,0.28,0.7,0.02,0,0,5.01,71,GSF core,GSF,core
Average,2.74,2.23,1.79,0.28,0.69,0.02,0,0,5.01,71,GSF core,GSF,core
IR21-Rim-1,2.73,2.37,1.63,0.37,0.59,0.03,0,0.01,5,60.8,GSF rim,GSF,rim
IR21-Rim-2,2.73,2.36,1.63,0.42,0.6,0.02,0,0.01,5.04,58.5,GSF rim,GSF,rim
IR21-Rim-3,2.74,2.28,1.72,0.33,0.68,0.02,0,0,5.02,67.3,GSF rim,GSF,rim
IR21-Rim-4,2.73,2.37,1.62,0.42,0.59,0.03,0,0.01,5.04,57.7,GSF rim,GSF,rim
IR21-Rim-5,2.73,2.36,1.62,0.39,0.59,0.03,0.02,0.01,5.03,59.5,GSF rim,GSF,rim
IR21-Rim-6,2.73,2.36,1.63,0.39,0.6,0.03,0,0,5.02,60.3,GSF rim,GSF,rim
IR21-Rim-7,2.74,2.34,1.66,0.39,0.61,0.03,0,0.01,5.03,60.2,GSF rim,GSF,rim
IR21-Rim-8,2.75,2.26,1.75,0.3,0.69,0.02,0,0.01,5.02,69,GSF rim,GSF,rim
Average,2.74,2.34,1.66,0.38,0.62,0.03,0,0.01,5.03,61.7,GSF rim,GSF,rim
IR21-gm-1,2.68,2.64,1.36,0.51,0.4,0.02,0,0.02,4.95,43.1,GSF groundmass,GSF,groundmass
IR21-gm-2,2.71,2.46,1.53,0.37,0.58,0.01,0,0.01,4.96,60.5,GSF groundmass,GSF,groundmass
IR21-gm-3,2.71,2.46,1.54,0.34,0.59,0,0,0.01,4.95,62.5,GSF groundmass,GSF,groundmass
IR21-gm-4,2.69,2.55,1.45,0.44,0.49,0,0,0.02,4.95,51.6,GSF groundmass,GSF,groundmass
IR21-gm-5,2.69,2.6,1.4,0.49,0.44,0,0,0.02,4.95,45.9,GSF groundmass,GSF,groundmass
IR21-gm-6,2.69,2.56,1.43,0.45,0.49,0,0,0.02,4.96,50.7,GSF groundmass,GSF,groundmass
IR21-gm-7,2.69,2.61,1.39,0.49,0.44,0,0,0.03,4.95,46.1,GSF groundmass,GSF,groundmass
IR21-gm-8,2.66,2.72,1.3,0.5,0.32,0.02,0,0.03,4.89,37.3,GSF groundmass,GSF,groundmass
IR21-gm-9,2.69,2.53,1.48,0.43,0.5,0,0,0.02,4.95,52.7,GSF groundmass,GSF,groundmass
Average,2.69,2.57,1.43,0.45,0.47,0.01,0,0.02,4.95,50.1,GSF groundmass,GSF,groundmass
SBI10a-Core-1,2.76,2.19,1.8,0.21,0.81,0.01,0,0,5.02,79.3,BRD core,BRD,core
SBI10a-Core-2,2.75,2.26,1.73,0.27,0.73,0.02,0,0,5.02,72.8,BRD core,BRD,core
SBI10a-Core-3,2.76,2.21,1.77,0.24,0.77,0.03,0,0,5.02,76.3,BRD core,BRD,core
SBI10a-Core-4,2.69,2.58,1.4,0.36,0.54,0.02,0,0,4.9,59.7,BRD core,BRD,core
SBI10a-Core-5,2.72,2.43,1.56,0.49,0.54,0,0,0.03,5.05,51.2,BRD core,BRD,core
SBI10a-Core-6,2.76,2.26,1.71,0.3,0.75,0.02,0,0.01,5.05,70.6,BRD core,BRD,core
SBI10a-Core-7,2.75,2.26,1.72,0.31,0.72,0.02,0,0,5.03,70.2,BRD core,BRD,core
SBI10a-Core-8,2.75,2.31,1.66,0.37,0.69,0.02,0,0,5.05,65.2,BRD core,BRD,core
SBI10a-Core-9,2.75,2.36,1.64,0.3,0.64,0.03,0,0,4.97,67.9,BRD core,BRD,core
SBI10a-Core-10,2.74,2.31,1.67,0.36,0.68,0.02,0,0,5.04,65.6,BRD core,BRD,core
SBI10a-Core-11,2.72,2.44,1.53,0.27,0.67,0.03,0,0,4.93,71,BRD core,BRD,core
SBI10a-Core-12,2.76,2.26,1.71,0.3,0.75,0.02,0,0.01,5.05,70.6,BRD core,BRD,core
SBI10a-Core-13,2.75,2.26,1.72,0.31,0.72,0.02,0,0,5.03,70.2,BRD core,BRD,core
SBI10a-Core-14,2.73,2.29,1.72,0.19,0.74,0.01,0,0,4.95,79.3,BRD core,BRD,core
SBI10a-Core-15,2.74,2.3,1.69,0.21,0.75,0.02,0,0,4.96,78.1,BRD core,BRD,core
SBI10a-Core-16,2.72,2.45,1.52,0.36,0.6,0.03,0,0.01,4.97,61.9,BRD core,BRD,core
SBI10a-Core-17,2.8,2.29,1.55,0.15,0.66,0.24,0.12,0,5.01,81.1,BRD core,BRD,core
SBI10a-Core-18,2.75,2.26,1.73,0.18,0.79,0.02,0,0,4.97,81.3,BRD core,BRD,core
SBI10a-Core-19,2.75,2.26,1.73,0.18,0.77,0.03,0,0.01,4.97,80.5,BRD core,BRD,core
Average,2.75,2.31,1.66,0.28,0.7,0.03,0.01,0,5,71.2,BRD core,BRD,core
SBI10a-Rim-1,2.74,2.34,1.64,0.41,0.63,0.03,0,0.01,5.05,59.5,BRD rim,BRD,rim
SBI10a-Rim-2,2.75,2.33,1.64,0.37,0.65,0.04,0.01,0,5.04,63.7,BRD rim,BRD,rim
SBI10a-Rim-3,2.73,2.38,1.59,0.38,0.63,0.02,0,0,5.01,62.4,BRD rim,BRD,rim
SBI10a-Rim-4,2.74,2.35,1.63,0.39,0.64,0.03,0,0,5.03,62,BRD rim,BRD,rim
