Sample,CAT SUM,Si,Fe,Mg,Mn,Ca,Ti,Total,Mg#,Unit
IR15-Ol-3,1.68,1.04,0.88,1.04,0.01,0,0,2.96,54.1,GSF
IR15-Ol-4,1.68,1.03,0.86,1.05,0.01,0.01,0,2.97,54.9,GSF
IR15-Ol-5,1.69,1.04,0.89,1.01,0.01,0.01,0,2.96,53.1,GSF
IR15-Ol-6,1.69,1.04,0.91,1,0.01,0,0,2.96,52.4,GSF
Average,1.68,1.04,0.88,1.03,0.01,0,0,2.96,53.7,GSF
IR19B-Ol-1,1.69,1.04,0.91,1.01,0.01,0,0,2.96,52.7,GSF
IR19B-Ol-2,1.65,1.04,0.77,1.12,0.01,0,0,2.96,59.2,GSF
IR19B-Ol-3,1.68,1.05,0.87,1.03,0.01,0,0,2.95,54.2,GSF
IR19B-Ol-4,1.68,1.04,0.87,1.04,0.01,0.01,0,2.96,54.3,GSF
IR19B-Ol-5,1.69,1.04,0.9,1.01,0.01,0,0,2.96,52.7,GSF
IR19B-Ol-6,1.69,1.03,0.9,1.02,0.01,0,0,2.97,53.2,GSF
Average,1.68,1.04,0.87,1.04,0.01,0,0,2.96,54.4,GSF
