Sample,Na2O,CaO,Al2O3,FeO,MgO,K2O,SiO2,Total,Megacryst_loc,Unit,loc
KP101-gm-6,4.05,12.16,28.64,0.73,0,0.27,54.16,100.01,GSF groundmass,GSF,groundmass
KP101-gm-7,4.2,11.99,28.23,0.93,0,0.36,54.29,100,GSF groundmass,GSF,groundmass
KP101-gm-8,4.05,12.12,28.93,0.47,0,0.3,54.13,100,GSF groundmass,GSF,groundmass
KP101-gm-9,5.36,8.62,25.17,0.51,0,0.75,59.59,100,GSF groundmass,GSF,groundmass
KP101-gm-10,4.62,10.37,28.59,0.82,0.25,0.36,54.99,100,GSF groundmass,GSF,groundmass
KP101-gm-11,7.11,6.24,23.46,0.42,0,0.85,61.92,100,GSF groundmass,GSF,groundmass
Average,4.68,10.79,27.57,0.64,0.02,0.43,55.86,100,GSF groundmass,GSF,groundmass
IR12b-Core-1,4.35,13.24,31.15,0.66,0,0.14,50.45,99.99,GSF core,GSF,core
IR12b-Core-2,2.64,15.94,33.19,0.87,0,0,47.36,100,GSF core,GSF,core
IR12b-Core-3,2.44,16.34,33.49,0.63,0,0,47.09,99.99,GSF core,GSF,core
IR12b-Core-4,3.69,15.08,32.81,0.58,0,0,47.83,99.99,GSF core,GSF,core
IR12b-Core-5,2.3,16.29,33.56,0.65,0,0,47.2,100,GSF core,GSF,core
IR12b-Core-6,2.47,16.33,33.27,0.62,0,0,47.31,100,GSF core,GSF,core
IR12b-Core-7,3.01,15.19,32.74,0.81,0,0,48.24,99.99,GSF core,GSF,core
IR12b-Core-8,2.54,16.16,33.25,0.82,0,0,47.23,100,GSF core,GSF,core
IR12b-Core-9,2.53,16.1,33.14,0.61,0,0,47.61,99.99,GSF core,GSF,core
IR12b-Core-10,2.57,16.05,32.43,0.69,0,0.17,48.1,100.01,GSF core,GSF,core
IR12b-Core-11,2.6,16.15,33.07,0.79,0,0,47.39,100,GSF core,GSF,core
IR12b-Core-12,2.3,16.36,33.33,0.8,0,0,47.22,100.01,GSF core,GSF,core
Average,2.79,15.77,32.95,0.71,0,0.03,47.75,100,GSF core,GSF,core
IR12b-Rim-1,5.65,11.14,28.8,0.88,0,0.32,53.2,99.99,GSF rim,GSF,rim
IR12b-Rim-2,2.73,15.95,32.88,0.83,0,0,47.61,100,GSF rim,GSF,rim
IR12b-Rim-3,3.97,13.7,31.17,0.61,0,0,50.55,100,GSF rim,GSF,rim
IR12b-Rim-4,4.66,12.58,29.66,0.71,0,0.17,52.22,100,GSF rim,GSF,rim
IR12b-Rim-5,3.03,15.07,32.31,0.8,0,0.15,48.65,100.01,GSF rim,GSF,rim
IR12b-Rim-6,3.9,14.8,33.35,0.7,0,0,47.25,100,GSF rim,GSF,rim
IR12b-Rim-7,6.46,9.57,27.36,1.03,0,0.39,55.19,100,GSF rim,GSF,rim
IR12b-Rim-8,4.27,13.43,30.73,0.97,0,0.28,50.32,100,GSF rim,GSF,rim
IR12b-Rim-9,5.14,11.23,28.39,0.89,0,0.24,54.12,100.01,GSF rim,GSF,rim
Average,4.42,13.05,30.52,0.82,0,0.17,51.01,100,GSF rim,GSF,rim
IR12-gm-1,8.14,5.14,29.88,0,0,0,56.84,100,GSF groundmass,GSF,groundmass
IR12-gm-2,5.39,9.67,26.32,0.74,0,0.4,57.49,100.01,GSF groundmass,GSF,groundmass
IR12-gm-3,3.69,12.87,30.05,0.72,0,0,52.66,99.99,GSF groundmass,GSF,groundmass
IR12-gm-4,7.64,2.52,20.01,0.38,0,2.87,66.57,99.99,GSF groundmass,GSF,groundmass
IR12-gm-5,5.39,9.67,26.32,0.74,0,0.4,57.49,100.01,GSF groundmass,GSF,groundmass
IR12-gm-6,11.28,4.6,29.21,0.28,0,0,54.63,100,GSF groundmass,GSF,groundmass
IR12-gm-7,6.06,1.22,18.46,1.34,0.89,5.43,66.59,99.99,GSF groundmass,GSF,groundmass
IR12-gm-8,5.33,9.74,26.7,0.9,0,0.32,57.01,100,GSF groundmass,GSF,groundmass
IR12-gm-9,6.57,7.2,24,0.98,0,0.43,60.82,100,GSF groundmass,GSF,groundmass
Average,6.61,6.96,25.66,0.68,0.1,1.09,58.9,100,GSF groundmass,GSF,groundmass
IR15a-Core-1,3.21,15.15,32.55,0.4,0,0,48.68,99.99,GSF core,GSF,core
IR15a-Core-2,3.12,14.83,32.41,0.81,0,0.13,48.7,100,GSF core,GSF,core
IR15a-Core-3,3.08,15,32.54,0.77,0,0.14,48.46,99.99,GSF core,GSF,core
IR15a-Core-4,3.28,15.03,32.18,0.62,0,0.17,48.71,99.99,GSF core,GSF,core
IR15a-Core-5,3.17,15.93,31.35,2.44,0,0,47.11,100,GSF core,GSF,core
IR15a-Core-6,3.2,15.24,32.16,0.45,0,0,48.94,99.99,GSF core,GSF,core
IR15a-Core-7,3.22,14.82,32.62,0.37,0,0,48.97,100,GSF core,GSF,core
IR15a-Core-8,3.11,14.69,32.59,0.84,0,0,48.77,100,GSF core,GSF,core
IR15a-Core-9,3.21,15.01,32.45,0.8,0,0,48.54,100.01,GSF core,GSF,core
IR15a-Core-10,2.2,15.97,33.85,0.87,0,0,47.11,100,GSF core,GSF,core
IR15a-Core-11,3.21,14.8,32.52,0.65,0,0.19,48.63,100,GSF core,GSF,core
IR15a-Core-12,3.12,15.06,32.07,0.53,0,0,49.22,100,GSF core,GSF,core
IR15a-Core-13,2.96,14.01,30.13,0.47,0,0.13,52.3,100,GSF core,GSF,core
IR15a-Core-14,2.62,14.52,30.63,0.53,0,0.16,51.54,100,GSF core,GSF,core
IR15a-Core-15,4.47,11.6,28.02,0.48,0,0.35,55.08,100,GSF core,GSF,core
IR15a-Core-16,2.09,15.81,31.88,0.43,0,0,49.79,100,GSF core,GSF,core
IR15a-Core-17,3.19,13.92,30.13,0.55,0,0.2,52,99.99,GSF core,GSF,core
IR15a-Core-18,3.17,14.06,30.63,0.59,0,0.2,51.35,100,GSF core,GSF,core
IR15a-Core-19,2.88,14.3,30.63,0.51,0,0.19,51.49,100,GSF core,GSF,core
Average,3.08,14.72,31.65,0.69,0,0.1,49.76,100,GSF core,GSF,core
IR15a-Rim-1,4.67,12.27,29.13,0.97,0,0.26,52.71,100.01,GSF rim,GSF,rim
IR15a-Rim-2,3.21,15.12,32.13,0.76,0,0.13,48.64,99.99,GSF rim,GSF,rim
IR15a-Rim-3,4.18,14.16,31.82,0.37,0,0,49.46,99.99,GSF rim,GSF,rim
IR15a-Rim-4,3.92,13.92,31.1,0.6,0,0.29,50.17,100,GSF rim,GSF,rim
IR15a-Rim-5,6.91,8.97,26.6,0.68,0,0.5,56.33,99.99,GSF rim,GSF,rim
IR15a-Rim-6,5.06,11.35,29.03,0.78,0,0.49,53.29,100,GSF rim,GSF,rim
IR15a-Rim-7,4.71,12.52,29.84,0.88,0,0.36,51.7,100.01,GSF rim,GSF,rim
IR15a-Rim-8,2.98,15.24,32.22,1.08,0,0.23,48.25,100,GSF rim,GSF,rim
IR15a-Rim-9,4.8,12,32.77,0.5,0.25,0,49.68,100,GSF rim,GSF,rim
IR15a-Rim-10,5.68,10.71,27.9,0.76,0.29,0.39,54.26,99.99,GSF rim,GSF,rim
IR15a-Rim-11,7.49,7.54,25.35,0.85,0,0.94,57.82,99.99,GSF rim,GSF,rim
IR15a-Rim-12,6.01,11.91,27.4,0.62,0,0.99,53.07,100,GSF rim,GSF,rim
IR15a-Rim-13,4.63,12.8,30.24,0.65,0,0.36,51.33,100.01,GSF rim,GSF,rim
Average,4.94,12.19,29.66,0.73,0.04,0.38,52.05,100,GSF rim,GSF,rim
IR15b-Core-1,2.2,15.97,33.85,0.87,0,0,47.11,100,GSF core,GSF,core
IR15b-Core-2,6.37,9.67,27.02,0.82,0,0.65,55.46,99.99,GSF core,GSF,core
IR15b-Core-3,5.7,8.71,28.58,1.77,0.6,0.39,54.24,99.99,GSF core,GSF,core
IR15b-Core-4,4.61,12.4,29.96,0.94,0,0.22,51.87,100,GSF core,GSF,core
IR15b-Core-5,5.12,11.92,28.84,0.89,0,0.37,52.86,100,GSF core,GSF,core
IR15b-Core-6,5.28,11.27,28.54,0.86,0,0.42,53.63,100,GSF core,GSF,core
IR15b-Core-7,2.32,16.3,33.16,0.86,0,0.16,47.2,100,GSF core,GSF,core
IR15b-Core-8,4.69,12.08,29.51,0.7,0,0.42,52.6,100,GSF core,GSF,core
IR15b-Core-9,4.75,12.5,30.28,0.86,0,0.32,51.29,100,GSF core,GSF,core
IR15b-Core-10,4.17,13.06,30.35,0.76,0,0.28,51.38,100,GSF core,GSF,core
IR15b-Core-11,4.83,12.1,29.75,0.61,0,0.29,52.42,100,GSF core,GSF,core
IR15b-Core-12,5.38,11.21,28.84,0.75,0,0.38,53.43,99.99,GSF core,GSF,core
IR15b-Core-13,4.95,11.98,29.2,0.74,0,0.3,52.83,100,GSF core,GSF,core
IR15b-Core-14,5.03,12,29.49,0.61,0,0.31,52.57,100.01,GSF core,GSF,core
Average,4.67,12.23,29.81,0.86,0.04,0.32,52.06,100,GSF core,GSF,core
IR15b-Core-1,2.79,14.49,30.63,0.62,0,0.14,51.34,100.01,GSF core,GSF,core
IR15b-Core-2,2.79,14.36,31.18,0.62,0,0.17,50.88,100,GSF core,GSF,core
IR15b-Core-3,2.41,14.79,31.14,0.68,0,0.13,50.84,99.99,GSF core,GSF,core
IR15b-Core-4,2.72,14.6,30.87,0.46,0,0,51.35,100,GSF core,GSF,core
IR15b-Core-5,2.85,14.52,30.9,0.61,0,0.16,50.95,99.99,GSF core,GSF,core
IR15b-Core-6,2.79,14.37,30.7,0.57,0,0.13,51.43,99.99,GSF core,GSF,core
IR15b-Core-7,2.61,14.68,30.89,0.45,0,0.21,51.17,100.01,GSF core,GSF,core
IR15b-Core-8,2.87,14.45,30.81,0.68,0,0,51.19,100,GSF core,GSF,core
Average,2.73,14.53,30.89,0.59,0,0.12,51.14,100,GSF core,GSF,core
IR15b-Rim-1,4.91,11.96,29.64,0.86,0,0.29,52.35,100.01,GSF rim,GSF,rim
IR15b-Rim-2,4.47,12.56,30.47,0.75,0,0.22,51.54,100.01,GSF rim,GSF,rim
IR15b-Rim-3,4.28,13.04,30.28,0.68,0,0.28,51.44,100,GSF rim,GSF,rim
IR15b-Rim-4,5,11.78,28.68,1.02,0,0.4,53.11,99.99,GSF rim,GSF,rim
IR15b-Rim-5,4.92,12.37,29.79,0.62,0,0.26,52.04,100,GSF rim,GSF,rim
IR15b-Rim-6,4.69,12.23,29.98,0.81,0,0.22,52.08,100.01,GSF rim,GSF,rim
IR15b-Rim-7,5.11,11.8,29.47,0.5,0,0.2,52.92,100,GSF rim,GSF,rim
IR15b-Rim-8,4.27,12.66,31.53,1.78,1.12,0.17,48.47,100,GSF rim,GSF,rim
IR15b-Rim-9,2.95,14.72,31.79,1.78,0.63,0,48.14,100.01,GSF rim,GSF,rim
Average,4.51,12.57,30.18,0.98,0.19,0.23,51.34,100,GSF rim,GSF,rim
IR15-gm-1,5.33,9.5,26.12,0.73,0,0.46,57.86,100,GSF groundmass,GSF,groundmass
IR15-gm-2,4.71,10.24,26.72,0.81,0.25,0.45,56.81,99.99,GSF groundmass,GSF,groundmass
IR15-gm-3,4.02,12.11,28.17,0.87,0,0.23,54.6,100,GSF groundmass,GSF,groundmass
IR15-gm-4,4.94,10.12,26.96,0.65,0,0.56,56.77,100,GSF groundmass,GSF,groundmass
IR15-gm-5,4.99,10.31,27.07,0.72,0,0.52,56.39,100,GSF groundmass,GSF,groundmass
IR15-gm-6,4.33,11.71,28.2,0.73,0,0.21,54.83,100.01,GSF groundmass,GSF,groundmass
IR15-gm-7,5.33,9.5,26.12,0.73,0,0.46,57.86,100,GSF groundmass,GSF,groundmass
IR15-gm-8,4.71,10.24,26.72,0.81,0.25,0.45,56.81,99.99,GSF groundmass,GSF,groundmass
IR15-gm-9,4.02,12.11,28.17,0.87,0,0.23,54.6,100,GSF groundmass,GSF,groundmass
IR15-gm-10,4.94,10.12,26.96,0.65,0,0.56,56.77,100,GSF groundmass,GSF,groundmass
IR15-gm-11,4.99,10.31,27.07,0.72,0,0.52,56.39,100,GSF groundmass,GSF,groundmass
IR15-gm-12,4.33,11.71,28.2,0.73,0,0.21,54.83,100.01,GSF groundmass,GSF,groundmass
Average,4.72,10.67,27.21,0.75,0.04,0.41,56.21,100,GSF groundmass,GSF,groundmass
IR21-Core-1,2.83,15.09,33.36,0.49,0,0,48.22,99.99,GSF core,GSF,core
IR21-Core-2,3.31,14.38,32.39,0.53,0,0.14,49.26,100.01,GSF core,GSF,core
IR21-Core-3,3.3,14.41,32.01,0.42,0,0.17,49.7,100.01,GSF core,GSF,core
IR21-Core-4,3.24,14.39,32.74,0.46,0,0,49.17,100,GSF core,GSF,core
IR21-Core-5,2.78,13.65,32.85,0.82,0.2,0,49.7,100,GSF core,GSF,core
IR21-Core-6,2.61,12.88,42.64,0.1,0,0.21,42.59,101.03,GSF core,GSF,core
IR21-Core-7,2.57,14.31,30.48,0.73,0,0.24,51.66,99.99,GSF core,GSF,core
IR21-Core-8,2.63,14.83,33.25,0.7,0,0,48.59,100,GSF core,GSF,core
IR21-Core-9,2.97,14.86,33.05,0.67,0,0,48.45,100,GSF core,GSF,core
IR21-Core-10,3.42,14.17,32.56,0.74,0,0,49.1,99.99,GSF core,GSF,core
IR21-Core-11,4.67,11.43,31.23,0.67,0,0.15,51.85,100,GSF core,GSF,core
IR21-Core-12,3.22,14.25,32.67,0.53,0,0,49.34,100.01,GSF core,GSF,core
Average,3.13,14.05,33.27,0.57,0.02,0.08,48.97,100.09,GSF core,GSF,core
IR21-Rim-1,4.17,12.05,30.5,0.85,0,0.19,52.24,100,GSF rim,GSF,rim
IR21-Rim-2,4.71,12.26,30.32,0.65,0,0.16,51.9,100,GSF rim,GSF,rim
IR21-Rim-3,3.72,13.87,32.02,0.43,0,0,49.96,100,GSF rim,GSF,rim
IR21-Rim-4,4.77,12.08,30.2,0.69,0,0.18,52.07,99.99,GSF rim,GSF,rim
IR21-Rim-5,4.46,12.18,30.19,0.77,0.28,0.19,51.92,99.99,GSF rim,GSF,rim
IR21-Rim-6,4.48,12.33,30.52,0.71,0,0,51.97,100.01,GSF rim,GSF,rim
IR21-Rim-7,4.44,12.44,30.84,0.78,0,0.15,51.35,100,GSF rim,GSF,rim
IR21-Rim-8,3.39,14.03,32.4,0.59,0,0.13,49.46,100,GSF rim,GSF,rim
Average,4.27,12.66,30.87,0.68,0.04,0.13,51.36,100,GSF rim,GSF,rim
IR21-gm-1,5.87,8.43,25.8,0.43,0,0.41,59.06,100,GSF groundmass,GSF,groundmass
IR21-gm-2,4.19,11.92,28.78,0.36,0,0.18,54.57,100,GSF groundmass,GSF,groundmass
IR21-gm-3,3.93,12.31,29.01,0,0,0.22,54.52,99.99,GSF groundmass,GSF,groundmass
IR21-gm-4,5.03,10.23,27.44,0,0,0.4,56.9,100,GSF groundmass,GSF,groundmass
IR21-gm-5,5.69,9.14,26.5,0,0,0.39,58.28,100,GSF groundmass,GSF,groundmass
IR21-gm-6,5.22,10.11,27.13,0,0,0.33,57.21,100,GSF groundmass,GSF,groundmass
IR21-gm-7,5.6,9.19,26.34,0,0,0.5,58.37,100,GSF groundmass,GSF,groundmass
IR21-gm-8,5.82,6.68,24.92,0.48,0,0.57,61.52,99.99,GSF groundmass,GSF,groundmass
IR21-gm-9,4.93,10.34,28.06,0,0,0.3,56.38,100.01,GSF groundmass,GSF,groundmass
Average,5.14,9.82,27.11,0.14,0,0.37,57.42,100,GSF groundmass,GSF,groundmass
SBI10a-Core-1,2.36,16.37,33.24,0.34,0,0,47.7,100.01,BRD core,BRD,core
SBI10a-Core-2,3.08,14.92,32.1,0.62,0,0,49.28,100,BRD core,BRD,core
SBI10a-Core-3,2.7,15.69,32.77,0.68,0,0,48.15,99.99,BRD core,BRD,core
SBI10a-Core-4,4.17,11.19,26.51,0.63,0,0,57.5,100,BRD core,BRD,core
SBI10a-Core-5,5.58,11.16,29.27,0,0,0.45,53.53,99.99,BRD core,BRD,core
SBI10a-Core-6,3.35,15.25,31.59,0.46,0,0.23,49.12,100,BRD core,BRD,core
SBI10a-Core-7,3.44,14.66,31.92,0.59,0,0,49.39,100,BRD core,BRD,core
SBI10a-Core-8,4.14,14.01,30.85,0.56,0,0,50.44,100,BRD core,BRD,core
SBI10a-Core-9,3.41,13.03,30.31,0.71,0,0,51.55,99.01,BRD core,BRD,core
SBI10a-Core-10,4.05,13.99,31,0.41,0,0,50.55,100,BRD core,BRD,core
SBI10a-Core-11,3.09,13.72,28.7,0.74,0,0,53.75,100,BRD core,BRD,core
SBI10a-Core-12,3.35,15.25,31.59,0.46,0,0.23,49.12,100,BRD core,BRD,core
SBI10a-Core-13,3.44,14.66,31.92,0.59,0,0,49.39,100,BRD core,BRD,core
SBI10a-Core-14,2.18,15.14,32.01,0.32,0,0,50.36,100.01,BRD core,BRD,core
SBI10a-Core-15,2.37,15.3,31.49,0.5,0,0,50.34,100,BRD core,BRD,core
SBI10a-Core-16,4.09,12.29,28.54,0.81,0,0.15,54.12,100,BRD core,BRD,core
SBI10a-Core-17,1.69,13.12,28.16,6.24,1.72,0,49.07,100,BRD core,BRD,core
SBI10a-Core-18,2.05,16.1,32.07,0.42,0,0,49.37,100.01,BRD core,BRD,core
SBI10a-Core-19,2.03,15.77,32.08,0.66,0,0.13,49.33,100,BRD core,BRD,core
Average,3.19,14.3,30.85,0.83,0.09,0.06,50.63,99.95,BRD core,BRD,core
SBI10a-Rim-1,4.67,12.78,30.43,0.7,0,0.21,51.21,100,BRD rim,BRD,rim
SBI10a-Rim-2,4.18,13.3,30.35,0.99,0.2,0,50.98,100,BRD rim,BRD,rim
SBI10a-Rim-3,4.31,12.95,29.71,0.58,0,0,52.45,100,BRD rim,BRD,rim
SBI10a-Rim-4,4.41,13.03,30.31,0.71,0,0,51.55,100.01,BRD rim,BRD,rim
SBI10a-Rim-5,4.05,13.99,31,0.41,0,0,50.55,100,BRD rim,BRD,rim
SBI10a-Rim-6,4.72,8.63,23.3,0.61,0,0.28,62.46,100,BRD rim,BRD,rim
SBI10a-Rim-7,4.09,12.72,28.7,0.74,0,0,53.75,100,BRD rim,BRD,rim
SBI10a-Rim-8,4.17,11.19,26.51,0.63,0,0,57.5,100,BRD rim,BRD,rim
SBI10a-Rim-9,6.84,8.13,25.32,0.74,0,0.49,58.48,100,BRD rim,BRD,rim
SBI10a-Rim-10,5.58,11.16,29.27,0,0,0.45,53.53,99.99,BRD rim,BRD,rim
SBI10a-Rim-11,4.31,12.95,29.71,0.58,0,0,52.45,100,BRD rim,BRD,rim
SBI10a-Rim-12,4.14,14.01,30.85,0.56,0,0,50.44,100,BRD rim,BRD,rim
Average,4.62,12.07,28.79,0.6,0.02,0.12,53.78,100,BRD rim,BRD,rim
SBI10b-Core-1,6.68,10.04,28.01,0.48,0,0,54.79,100,BRD core,BRD,core
SBI10b-Core-2,2.86,15.49,32.99,0.42,0,0,48.23,99.99,BRD core,BRD,core
SBI10b-Core-3,3.29,15.06,32.27,0.6,0,0.12,48.65,99.99,BRD core,BRD,core
SBI10b-Core-4,2.69,15.38,32.52,1.41,0.32,0,47.68,100,BRD core,BRD,core
SBI10b-Core-5,3.02,15.41,32.66,0.68,0,0,48.22,99.99,BRD core,BRD,core
SBI10b-Core-6,2.83,15.8,33.01,0.54,0,0,47.82,100,BRD core,BRD,core
SBI10b-Core-7,2.77,15.84,33.04,0,0,0.12,48.23,100,BRD core,BRD,core
SBI10b-Core-8,3.14,15.02,32.56,0.34,0,0,48.94,100,BRD core,BRD,core
SBI10b-Core-9,3.41,14.81,32.01,0.5,0,0,49.27,100,BRD core,BRD,core
SBI10b-Core-10,2.98,15.29,32.72,0.54,0,0,48.48,100.01,BRD core,BRD,core
SBI10b-Core-11,7.07,7.85,24.69,0.62,0,0.42,59.34,99.99,BRD core,BRD,core
SBI10b-Core-12,2.68,15.66,32.8,0.62,0,0,48.24,100,BRD core,BRD,core
SBI10b-Core-13,2.49,12.29,28.27,2.84,0.9,0.19,53.02,100,BRD core,BRD,core
SBI10b-Core-14,2.48,13.75,28.92,3.85,1.27,0,49.74,100.01,BRD core,BRD,core
SBI10b-Core-15,2.89,15.72,33,0.53,0,0,47.85,99.99,BRD core,BRD,core
SBI10b-Core-16,3.24,14.37,31.29,2.07,0.63,0,48.39,99.99,BRD core,BRD,core
SBI10b-Core-17,3.3,15.08,31.76,0.69,0,0,49.16,99.99,BRD core,BRD,core
SBI10b-Core-18,3.13,15.23,32.47,0.42,0,0.2,48.54,99.99,BRD core,BRD,core
SBI10b-Core-19,2.58,12.57,28.6,6.19,2.05,0.15,47.86,100,BRD core,BRD,core
SBI10b-Core-20,2.54,16.09,33.28,0.35,0,0,47.73,99.99,BRD core,BRD,core
SBI10b-Core-21,3.09,14.95,32.65,0.52,0,0,48.79,100,BRD core,BRD,core
SBI10b-Core-22,3.16,15.31,31.67,0.4,0,0,49.45,99.99,BRD core,BRD,core
SBI10b-Core-23,2.02,15.68,32.4,0.43,0,0,49.48,100.01,BRD core,BRD,core
SBI10b-Core-24,2.87,14.38,30.97,0.39,0,0.15,51.25,100.01,BRD core,BRD,core
SBI10b-Core-25,2.17,15.26,30.87,0.52,0,0,51.18,100,BRD core,BRD,core
Average,3.18,14.49,31.42,1.04,0.21,0.05,49.61,100,BRD core,BRD,core
SBI10b-Rim-1,4.16,13.7,31.12,0.52,0,0.18,50.32,100,BRD rim,BRD,rim
SBI10b-Rim-2,1.96,8.99,32.62,0.57,0,0,55.86,100,BRD rim,BRD,rim
SBI10b-Rim-3,6.59,9.5,27.62,0.46,0,0.37,55.45,99.99,BRD rim,BRD,rim
SBI10b-Rim-4,4.98,10.37,26.26,0.88,0.26,0.29,56.97,100.01,BRD rim,BRD,rim
SBI10b-Rim-5,2.8,14.42,29.87,0.64,0,0,52.27,100,BRD rim,BRD,rim
SBI10b-Rim-6,2.85,15.71,32.8,0.37,0,0,48.27,100,BRD rim,BRD,rim
