Sample,Na2O,CaO,Al2O3,FeO,MgO,K2O,SiO2,Total,Megacryst_loc,Unit,loc
KP101a-Core-1,4.3,13.26,30.3,0.63,0,0.17,51.34,100,GSF core,GSF,core
KP101a-Core-2,4.31,13.32,30.77,0.55,0,0.14,50.92,100.01,GSF core,GSF,core
KP101a-Core-3,4.07,13.06,30.92,0.63,0.19,0,51.13,100,GSF core,GSF,core
KP101a-Core-4,4.26,13.3,30.85,0.57,0,0.16,50.85,99.99,GSF core,GSF,core
KP101a-Core-5,4.09,12.77,30.34,0.73,0,0.22,51.85,100,GSF core,GSF,core
KP101a-Core-6,3.59,12.09,29.55,0.77,0,0,54,100,GSF core,GSF,core
KP101a-Core-7,3.75,13.24,30.2,0.6,0,0.18,52.04,100.01,GSF core,GSF,core
KP101a-Core-8,2.22,11.54,27.43,0.83,0.24,0,57.74,100,GSF core,GSF,core
KP101a-Core-9,3.26,10.32,27.05,6.79,4.33,0,48.24,99.99,GSF core,GSF,core
KP101a-Core-10,3.95,12.51,30.22,1.52,0.8,0.16,50.84,100,GSF core,GSF,core
KP101a-Core-11,3.75,12.66,32.01,0.65,0,0,50.93,100,GSF core,GSF,core
KP101a-Core-12,3.9,14.03,30.82,0.72,0,0,50.52,99.99,GSF core,GSF,core
KP101a-Core-13,2.13,16.43,33.22,0.65,0,0,47.57,100,GSF core,GSF,core
KP101a-Core-14,1.88,12.16,23.99,10.39,4.91,0,46.67,100,GSF core,GSF,core
KP101a-Core-15,3.91,12.29,29.63,0.83,0,0,53.33,99.99,GSF core,GSF,core
KP101a-Core-16,4.24,13.43,30.42,0.57,0,0.17,51.18,100.01,GSF core,GSF,core
KP101a-Core-17,1.34,11.29,27.41,3.88,2.43,0.15,53.5,100,GSF core,GSF,core
KP101a-Core-18,4.4,13.1,30.27,0.7,0,0.15,51.38,100,GSF core,GSF,core
Average,3.52,12.82,29.74,1.78,0.72,0.08,51.34,100,GSF core,GSF,core
KP101a-Rim-1,4.46,11.11,29.82,0.93,0,0.19,53.48,99.99,GSF rim,GSF,rim
KP101a-Rim-2,3.96,11.48,28.49,1.08,0.24,0,54.74,99.99,GSF rim,GSF,rim
KP101a-Rim-3,4.42,12.92,30.86,0.66,0,0,51.13,99.99,GSF rim,GSF,rim
KP101a-Rim-4,4.31,13.12,30.48,0.68,0,0.2,51.21,100,GSF rim,GSF,rim
KP101a-Rim-5,5.78,10.3,27.9,0.88,0,0.29,54.86,100.01,GSF rim,GSF,rim
KP101a-Rim-6,4.29,11.27,28.14,0.62,0.2,0.15,55.33,100,GSF rim,GSF,rim
KP101a-Rim-7,4.25,13.31,31.34,0.56,0,0,50.55,100.01,GSF rim,GSF,rim
KP101a-Rim-8,4.09,13.14,29.72,0.68,0,0.14,52.23,100,GSF rim,GSF,rim
KP101a-Rim-9,6.52,9.94,27.48,0,0,0.49,55.58,100.01,GSF rim,GSF,rim
KP101a-Rim-10,4.29,13.01,30.25,0.75,0,0.18,51.52,100,GSF rim,GSF,rim
Average,4.64,11.96,29.45,0.68,0.04,0.16,53.06,100,GSF rim,GSF,rim
KP101b-Core-1,3.84,13.43,30.47,0.44,0,0,51.82,100,GSF core,GSF,core
KP101b-Core-2,3.56,13.09,29.79,1.22,0.49,0,51.83,99.98,GSF core,GSF,core
KP101b-Core-3,2.43,13.3,29.23,0.88,0.29,0.14,53.73,100,GSF core,GSF,core
KP101b-Core-4,2.59,15.76,32.74,0.76,0,0,48.15,100,GSF core,GSF,core
KP101b-Core-5,2.81,15.6,32.74,0.74,0,0,48.11,100,GSF core,GSF,core
KP101b-Core-6,2.42,10.73,25.92,3.95,2.54,0.2,54.24,100,GSF core,GSF,core
KP101b-Core-7,3.65,14.35,31.42,0.38,0,0,50.19,99.99,GSF core,GSF,core
KP101b-Core-8,3.62,14.38,31.91,0.59,0,0,49.5,100,GSF core,GSF,core
KP101b-Core-9,2.39,7.99,28.34,0.42,0,0.21,60.64,99.99,GSF core,GSF,core
KP101b-Core-10,4.13,13.66,30.76,0.65,0,0,50.79,99.99,GSF core,GSF,core
KP101b-Core-11,5.13,11.67,28.9,0.53,0,0.33,53.44,100,GSF core,GSF,core
Average,3.32,13.09,30.2,0.96,0.3,0.08,52.04,100,GSF core,GSF,core
KP101b-Rim-1,4.73,8.74,26.18,0.8,0,0.29,59.26,100,GSF rim,GSF,rim
KP101b-Rim-2,5.76,10.59,28.13,0.65,0,0.36,54.51,100,GSF rim,GSF,rim
KP101b-Rim-3,4.06,13.22,30.58,0.68,0,0.12,51.34,100,GSF rim,GSF,rim
KP101b-Rim-4,2.9,12.09,28.33,1.18,0.54,0.13,54.84,100.01,GSF rim,GSF,rim
KP101b-Rim-5,4.68,11.56,28.47,0.46,0.22,0.2,54.41,100,GSF rim,GSF,rim
KP101b-Rim-6,6.15,10.07,27.71,0.61,0,0.36,55.11,100.01,GSF rim,GSF,rim
KP101b-Rim-7,3.85,14.01,31.21,0.32,0,0.14,50.47,100,GSF rim,GSF,rim
KP101b-Rim-8,2.74,6.61,19.16,0.46,0,0.16,70.87,100,GSF rim,GSF,rim
Average,4.36,10.86,27.47,0.65,0.1,0.22,56.35,100,GSF rim,GSF,rim
KP101-gm-1,4.61,11.01,27.91,0.75,0,0.42,55.3,100,GSF groundmass,GSF,groundmass
KP101-gm-2,4.12,11.89,28.53,0.68,0,0.35,54.44,100.01,GSF groundmass,GSF,groundmass
KP101-gm-3,4.3,12.26,28.94,0.61,0,0.25,53.65,100.01,GSF groundmass,GSF,groundmass
KP101-gm-4,4.61,10.81,27.19,0.77,0,0.47,56.15,100,GSF groundmass,GSF,groundmass
KP101-gm-5,4.43,11.21,27.7,0.4,0,0.37,55.88,99.99,GSF groundmass,GSF,groundmass
