strike,dip_dir,dip,dec_corr,unit,type,notes
33,123,10,n,GB14,flow banding,questionable measurement
-6,84,13,n,GB21,flow banding,questionable measurement; irregular flowtop
-9,81,16,n,GB21,flow banding,questionable measurement; irregular flowtop
10,100,12,n,GB21,flow banding,questionable measurement; irregular flowtop
49,139,7,n,GB21,flow banding,questionable measurement
19,109,7,n,GB21,flow banding,very confident measurement
16,106,11,n,GB21,flow banding,very confident measurement
25,115,11,n,GB21,flow banding,very confident measurement
28,118,8,n,GB21,flow banding,
14,104,10,n,GB21,flow banding,very confident measurement
17,107,9,n,GB21,flow banding,
27,117,11,n,GB21,flow banding,
5,95,15,n,GB21,flow banding,
40,130,7,n,GB21,flow banding,
33,123,12,n,GB22,flow banding,questionable measurement
31,121,9,n,GB22,flow banding,very confident measurement
29,119,5,n,GB22,flow banding,questionable measurement
5,95,8,n,GB22,flow banding,
45,135,14,n,GB22,flow banding,questionable measurement
4,94,13,n,GB22,flow banding,
23,113,9,n,GB22,flow banding,
26,116,20,n,GB22,flow banding,questionable measurement
22,112,10,n,GB22,flow banding,very confident measurement
22,112,12,n,GB22,flow banding,very confident measurement
18,108,8,n,GB22,flow banding,very confident measurement
35,125,7,n,GB22,flow banding,
23,113,7,n,GB22,flow banding,
33,123,20,n,GB22,flow banding,
27,117,8,n,GB22,flow banding,
32,122,6,n,GB23,flow banding,flowtop
36,126,8,n,GB23,flow banding,flowtop
26,116,7,n,GB23,flow banding,flowtop
35,125,7,n,GB23,flow banding,flowtop
27,117,7,n,GB23,flow banding,flowtop
57,147,17,n,GB28,flow banding,fractures parallel to flow banding
34,124,10,n,GB28,flow banding,fractures parallel to flow banding
79,169,10,n,GB28,flow banding,fractures parallel to flow banding
48,138,16,n,GB28,flow banding,fractures parallel to flow banding
52,142,10,n,GB28,flow banding,fractures parallel to flow banding
42,132,10,n,GB28,flow banding,fractures parallel to flow banding
59,149,7,n,GB28,flow banding,fractures parallel to flow banding
71,161,9,n,GB28,flow banding,fractures parallel to flow banding
-5,85,12,n,GB28,flow banding,fractures parallel to flow banding
-32,58,11,n,GB28,flow banding,fractures parallel to flow banding
34,124,8,n,GB28,flow banding,fractures parallel to flow banding
80,170,12,n,GB28,flow banding,fractures parallel to flow banding
22,112,19,n,GB28,flow banding,fractures parallel to flow banding
54,144,9,n,GB28,flow banding,fractures parallel to flow banding
57,147,9,n,GB28,flow banding,fractures parallel to flow banding
29,119,7,n,GB32,flow banding,
35,125,11,n,GB32,flow banding,
31,121,12,n,GB32,flow banding,
13,103,7,n,GB32,flow banding,
33,123,7,n,GB32,flow banding,
29,119,8,n,GB32,flow banding,
31,121,9,n,GB32,flow banding,
32,122,10,n,GB32,flow banding,
12,102,10,n,GB32,flow banding,
15,105,9,n,GB32,flow banding,
26,116,13,n,GB32,flow banding,
20,110,12,n,GB32,flow banding,
