tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
AX1-1	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	341.1	0	0.0	90.0	-93	This study	SO-CMD-NORTH	g	i
AX1-2	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	12.1	0	0.0	90.0	-82	This study	SO-CMD-NORTH	g	i
AX1-3	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	8.1	0	0.0	90.0	-84	This study	SO-CMD-NORTH	g	i
AX1-4	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	7.8	0	0.0	90.0	-77	This study	SO-CMD-NORTH	g	i
AX1-5	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	7.5	0	0.0	90.0	-81	This study	SO-CMD-NORTH	g	i
AX1-6	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	350.5	0	0.0	90.0	-90	This study	SO-CMD-NORTH	g	i
AX1-7	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	10.7	0	0.0	90.0	-86	This study	SO-CMD-NORTH	g	i
AX1-8	AX1	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	34.7	0	0.0	90.0	-87	This study	SO-CMD-NORTH	g	i
AX2-1	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	228.2	0	0.0	90.0	-64	This study	SO-CMD-NORTH	g	i
AX2-2	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	228.2	0	0.0	90.0	-64	This study	SO-CMD-NORTH	g	i
AX2-3	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	202.2	0	0.0	90.0	-43	This study	SO-CMD-NORTH	g	i
AX2-4	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	278.2	0	0.0	90.0	-105	This study	SO-CMD-NORTH	g	i
AX2-5	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	295.2	0	0.0	90.0	-102	This study	SO-CMD-NORTH	g	i
AX2-6	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	292.2	0	0.0	90.0	-91	This study	SO-CMD-NORTH	g	i
AX2-7	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	208.2	0	0.0	90.0	-39	This study	SO-CMD-NORTH	g	i
AX2-8	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	212.2	0	0.0	90.0	-35	This study	SO-CMD-NORTH	g	i
AX2-9	AX2	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	227.2	0	0.0	90.0	-35	This study	SO-CMD-NORTH	g	i
AX3-1	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	350.7	0	0.0	90.0	-63	This study	SO-CMD-NORTH	g	i
AX3-2	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	351.7	0	0.0	90.0	-71	This study	SO-CMD-NORTH	g	i
AX3-3	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	339.7	0	0.0	90.0	-62	This study	SO-CMD-NORTH	g	i
AX3-4	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	340.7	0	0.0	90.0	-83	This study	SO-CMD-NORTH	g	i
AX3-5	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	339.7	0	0.0	90.0	-53	This study	SO-CMD-NORTH	g	i
AX3-6	AX3	0			Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	342.7	0	0.0	90.0	-75	This study	SO-CMD-NORTH	g	i
