tab	sites
site	location	lat	lon	analysts	citations
AX1	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX2	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX3	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX4	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX5	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX6	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX7	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX8	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX9	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX10	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX11	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX12	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX13	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX14	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX15	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX16	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX17	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX18	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX19	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX20	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX21	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
AX22	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD1	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD2	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD3	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD4	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD5	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD6	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD7	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD8	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD9	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD10	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD11	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD12	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD13	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD14	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD15	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD16	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
BD17	Beaver Bay Complex	47.2	-91.4	Yiming Zhang	This study
