tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX20-3b	AX20-3	Yiming Zhang	This study	LP-NOMAG		
AX20-4b	AX20-4	Yiming Zhang	This study	LP-NOMAG		
AX20-5b	AX20-5	Yiming Zhang	This study	LP-NOMAG		
AX21-1b	AX21-1	Yiming Zhang	This study	LP-NOMAG		
AX21-2b	AX21-2	Yiming Zhang	This study	LP-NOMAG		
AX21-3b	AX21-3	Yiming Zhang	This study	LP-NOMAG		
AX21-4b	AX21-4	Yiming Zhang	This study	LP-NOMAG		
AX21-5b	AX21-5	Yiming Zhang	This study	LP-NOMAG		
AX21-6b	AX21-6	Yiming Zhang	This study	LP-NOMAG		
AX21-7b	AX21-7	Yiming Zhang	This study	LP-NOMAG		
AX21-8b	AX21-8	Yiming Zhang	This study	LP-NOMAG		
AX22-1a	AX22-1	Yiming Zhang	This study	LP-NOMAG		
AX22-2a	AX22-2	Yiming Zhang	This study	LP-NOMAG		
AX22-3a	AX22-3	Yiming Zhang	This study	LP-NOMAG		
AX22-4a	AX22-4	Yiming Zhang	This study	LP-NOMAG		
AX22-5a	AX22-5	Yiming Zhang	This study	LP-NOMAG		
AX22-6a	AX22-6	Yiming Zhang	This study	LP-NOMAG		
AX22-7a	AX22-7	Yiming Zhang	This study	LP-NOMAG		
AX22-8a	AX22-8	Yiming Zhang	This study	LP-NOMAG		
AX22-9a	AX22-9	Yiming Zhang	This study	LP-NOMAG		
AX22-10a	AX22-10	Yiming Zhang	This study	LP-NOMAG		
BD1-1a	BD1-1	Yiming Zhang	This study	LP-NOMAG		
BD1-2a	BD1-2	Yiming Zhang	This study	LP-NOMAG		
BD1-3a	BD1-3	Yiming Zhang	This study	LP-NOMAG		
BD1-4a	BD1-4	Yiming Zhang	This study	LP-NOMAG		
BD1-5a	BD1-5	Yiming Zhang	This study	LP-NOMAG		
BD1-6a	BD1-6	Yiming Zhang	This study	LP-NOMAG		
BD1-7a	BD1-7	Yiming Zhang	This study	LP-NOMAG		
BD1-8a	BD1-8	Yiming Zhang	This study	LP-NOMAG		
BD1-9a	BD1-9	Yiming Zhang	This study	LP-NOMAG		
BD1-10a	BD1-10	Yiming Zhang	This study	LP-NOMAG		
BD1-11a	BD1-11	Yiming Zhang	This study	LP-NOMAG		
BD1-12a	BD1-12	Yiming Zhang	This study	LP-NOMAG		
BD1-13a	BD1-13	Yiming Zhang	This study	LP-NOMAG		
BD1-14a	BD1-14	Yiming Zhang	This study	LP-NOMAG		
BD1-15a	BD1-15	Yiming Zhang	This study	LP-NOMAG		
BD2-1a	BD2-1	Yiming Zhang	This study	LP-NOMAG		
BD2-2a	BD2-2	Yiming Zhang	This study	LP-NOMAG		
BD2-3a	BD2-3	Yiming Zhang	This study	LP-NOMAG		
BD2-4a	BD2-4	Yiming Zhang	This study	LP-NOMAG		
BD2-5a	BD2-5	Yiming Zhang	This study	LP-NOMAG		
BD2-6a	BD2-6	Yiming Zhang	This study	LP-NOMAG		
BD2-7a	BD2-7	Yiming Zhang	This study	LP-NOMAG		
BD2-8a	BD2-8	Yiming Zhang	This study	LP-NOMAG		
BD3-1a	BD3-1	Yiming Zhang	This study	LP-NOMAG		
BD3-2a	BD3-2	Yiming Zhang	This study	LP-NOMAG		
BD3-3a	BD3-3	Yiming Zhang	This study	LP-NOMAG		
BD3-4a	BD3-4	Yiming Zhang	This study	LP-NOMAG		
BD3-5a	BD3-5	Yiming Zhang	This study	LP-NOMAG		
BD3-6a	BD3-6	Yiming Zhang	This study	LP-NOMAG		
BD3-7a	BD3-7	Yiming Zhang	This study	LP-NOMAG		
BD3-8a	BD3-8	Yiming Zhang	This study	LP-NOMAG		
BD4-1a	BD4-1	Yiming Zhang	This study	LP-NOMAG		
BD4-2a	BD4-2	Yiming Zhang	This study	LP-NOMAG		
BD4-3a	BD4-3	Yiming Zhang	This study	LP-NOMAG		
BD4-4a	BD4-4	Yiming Zhang	This study	LP-NOMAG		
BD4-5a	BD4-5	Yiming Zhang	This study	LP-NOMAG		
BD4-6a	BD4-6	Yiming Zhang	This study	LP-NOMAG		
BD4-7a	BD4-7	Yiming Zhang	This study	LP-NOMAG		
BD4-8a	BD4-8	Yiming Zhang	This study	LP-NOMAG		
BD5-1a	BD5-1	Yiming Zhang	This study	LP-NOMAG		
BD5-2a	BD5-2	Yiming Zhang	This study	LP-NOMAG		
BD5-3a	BD5-3	Yiming Zhang	This study	LP-NOMAG		
BD5-4a	BD5-4	Yiming Zhang	This study	LP-NOMAG		
BD5-5a	BD5-5	Yiming Zhang	This study	LP-NOMAG		
BD5-6a	BD5-6	Yiming Zhang	This study	LP-NOMAG		
BD5-7a	BD5-7	Yiming Zhang	This study	LP-NOMAG		
BD5-8a	BD5-8	Yiming Zhang	This study	LP-NOMAG		
BD6-1a	BD6-1	Yiming Zhang	This study	LP-NOMAG		
BD6-2a	BD6-2	Yiming Zhang	This study	LP-NOMAG		
BD6-3a	BD6-3	Yiming Zhang	This study	LP-NOMAG		
BD6-4a	BD6-4	Yiming Zhang	This study	LP-NOMAG		
BD6-5a	BD6-5	Yiming Zhang	This study	LP-NOMAG		
BD6-6a	BD6-6	Yiming Zhang	This study	LP-NOMAG		
BD6-7a	BD6-7	Yiming Zhang	This study	LP-NOMAG		
BD6-8a	BD6-8	Yiming Zhang	This study	LP-NOMAG		
BD6-9a	BD6-9	Yiming Zhang	This study	LP-NOMAG		
BD7-1a	BD7-1	Yiming Zhang	This study	LP-NOMAG		
BD7-2a	BD7-2	Yiming Zhang	This study	LP-NOMAG		
BD7-3a	BD7-3	Yiming Zhang	This study	LP-NOMAG		
BD7-4a	BD7-4	Yiming Zhang	This study	LP-NOMAG		
BD7-5a	BD7-5	Yiming Zhang	This study	LP-NOMAG		
BD7-6a	BD7-6	Yiming Zhang	This study	LP-NOMAG		
BD7-7a	BD7-7	Yiming Zhang	This study	LP-NOMAG		
BD8-1a	BD8-1	Yiming Zhang	This study	LP-NOMAG		
BD8-2a	BD8-2	Yiming Zhang	This study	LP-NOMAG		
BD8-3a	BD8-3	Yiming Zhang	This study	LP-NOMAG		
BD8-4a	BD8-4	Yiming Zhang	This study	LP-NOMAG		
BD8-5a	BD8-5	Yiming Zhang	This study	LP-NOMAG		
BD8-6a	BD8-6	Yiming Zhang	This study	LP-NOMAG		
BD8-7a	BD8-7	Yiming Zhang	This study	LP-NOMAG		
BD8-8a	BD8-8	Yiming Zhang	This study	LP-NOMAG		
BD8-9a	BD8-9	Yiming Zhang	This study	LP-NOMAG		
BD8-10a	BD8-10	Yiming Zhang	This study	LP-NOMAG		
BD9-1a	BD9-1	Yiming Zhang	This study	LP-NOMAG		
BD9-2a	BD9-2	Yiming Zhang	This study	LP-NOMAG		
BD9-3a	BD9-3	Yiming Zhang	This study	LP-NOMAG		
BD9-4a	BD9-4	Yiming Zhang	This study	LP-NOMAG		
BD9-5a	BD9-5	Yiming Zhang	This study	LP-NOMAG		
BD9-6a	BD9-6	Yiming Zhang	This study	LP-NOMAG		
BD9-7a	BD9-7	Yiming Zhang	This study	LP-NOMAG		
BD9-8a	BD9-8	Yiming Zhang	This study	LP-NOMAG		
BD10-1a	BD10-1	Yiming Zhang	This study	LP-NOMAG		
BD10-2a	BD10-2	Yiming Zhang	This study	LP-NOMAG		
BD10-3a	BD10-3	Yiming Zhang	This study	LP-NOMAG		
BD10-4a	BD10-4	Yiming Zhang	This study	LP-NOMAG		
BD10-5a	BD10-5	Yiming Zhang	This study	LP-NOMAG		
BD10-6a	BD10-6	Yiming Zhang	This study	LP-NOMAG		
BD10-7a	BD10-7	Yiming Zhang	This study	LP-NOMAG		
BD10-8a	BD10-8	Yiming Zhang	This study	LP-NOMAG		
BD10-9a	BD10-9	Yiming Zhang	This study	LP-NOMAG		
BD10-10a	BD10-10	Yiming Zhang	This study	LP-NOMAG		
BD11-1a	BD11-1	Yiming Zhang	This study	LP-NOMAG		
BD11-2a	BD11-2	Yiming Zhang	This study	LP-NOMAG		
BD11-3a	BD11-3	Yiming Zhang	This study	LP-NOMAG		
BD11-4a	BD11-4	Yiming Zhang	This study	LP-NOMAG		
BD11-5a	BD11-5	Yiming Zhang	This study	LP-NOMAG		
BD11-6a	BD11-6	Yiming Zhang	This study	LP-NOMAG		
BD11-7a	BD11-7	Yiming Zhang	This study	LP-NOMAG		
BD11-8a	BD11-8	Yiming Zhang	This study	LP-NOMAG		
BD12-1a	BD12-1	Yiming Zhang	This study	LP-NOMAG		
BD12-2a	BD12-2	Yiming Zhang	This study	LP-NOMAG		
BD12-3a	BD12-3	Yiming Zhang	This study	LP-NOMAG		
BD12-4a	BD12-4	Yiming Zhang	This study	LP-NOMAG		
BD12-5a	BD12-5	Yiming Zhang	This study	LP-NOMAG		
BD12-6a	BD12-6	Yiming Zhang	This study	LP-NOMAG		
BD12-7a	BD12-7	Yiming Zhang	This study	LP-NOMAG		
BD12-8a	BD12-8	Yiming Zhang	This study	LP-NOMAG		
BD13-1a	BD13-1	Yiming Zhang	This study	LP-NOMAG		
BD13-2a	BD13-2	Yiming Zhang	This study	LP-NOMAG		
BD13-3a	BD13-3	Yiming Zhang	This study	LP-NOMAG		
BD13-4a	BD13-4	Yiming Zhang	This study	LP-NOMAG		
BD13-5a	BD13-5	Yiming Zhang	This study	LP-NOMAG		
BD13-6a	BD13-6	Yiming Zhang	This study	LP-NOMAG		
BD13-7a	BD13-7	Yiming Zhang	This study	LP-NOMAG		
BD13-8a	BD13-8	Yiming Zhang	This study	LP-NOMAG		
BD14-1a	BD14-1	Yiming Zhang	This study	LP-NOMAG		
BD14-2a	BD14-2	Yiming Zhang	This study	LP-NOMAG		
BD14-3a	BD14-3	Yiming Zhang	This study	LP-NOMAG		
BD14-4a	BD14-4	Yiming Zhang	This study	LP-NOMAG		
BD14-5a	BD14-5	Yiming Zhang	This study	LP-NOMAG		
BD14-6a	BD14-6	Yiming Zhang	This study	LP-NOMAG		
BD14-7a	BD14-7	Yiming Zhang	This study	LP-NOMAG		
BD14-8a	BD14-8	Yiming Zhang	This study	LP-NOMAG		
BD15-1a	BD15-1	Yiming Zhang	This study	LP-NOMAG		
BD15-2a	BD15-2	Yiming Zhang	This study	LP-NOMAG		
BD15-3a	BD15-3	Yiming Zhang	This study	LP-NOMAG		
BD15-4a	BD15-4	Yiming Zhang	This study	LP-NOMAG		
BD15-5a	BD15-5	Yiming Zhang	This study	LP-NOMAG		
BD15-6a	BD15-6	Yiming Zhang	This study	LP-NOMAG		
BD15-7a	BD15-7	Yiming Zhang	This study	LP-NOMAG		
BD15-8a	BD15-8	Yiming Zhang	This study	LP-NOMAG		
BD16-1a	BD16-1	Yiming Zhang	This study	LP-NOMAG		
BD16-2a	BD16-2	Yiming Zhang	This study	LP-NOMAG		
BD16-3a	BD16-3	Yiming Zhang	This study	LP-NOMAG		
BD16-4a	BD16-4	Yiming Zhang	This study	LP-NOMAG		
BD16-5a	BD16-5	Yiming Zhang	This study	LP-NOMAG		
BD16-6a	BD16-6	Yiming Zhang	This study	LP-NOMAG		
BD16-7a	BD16-7	Yiming Zhang	This study	LP-NOMAG		
BD16-8a	BD16-8	Yiming Zhang	This study	LP-NOMAG		
BD17-1a	BD17-1	Yiming Zhang	This study	LP-NOMAG		
BD17-2a	BD17-2	Yiming Zhang	This study	LP-NOMAG		
BD17-3a	BD17-3	Yiming Zhang	This study	LP-NOMAG		
BD17-4a	BD17-4	Yiming Zhang	This study	LP-NOMAG		
BD17-5a	BD17-5	Yiming Zhang	This study	LP-NOMAG		
BD17-6a	BD17-6	Yiming Zhang	This study	LP-NOMAG		
BD17-7a	BD17-7	Yiming Zhang	This study	LP-NOMAG		
BD17-8a	BD17-8	Yiming Zhang	This study	LP-NOMAG		
