tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX1-1b	AX1-1	Yiming Zhang	This study	LP-NOMAG		
AX1-2b	AX1-2	Yiming Zhang	This study	LP-NOMAG		
AX1-3b	AX1-3	Yiming Zhang	This study	LP-NOMAG		
AX1-4b	AX1-4	Yiming Zhang	This study	LP-NOMAG		
AX1-5b	AX1-5	Yiming Zhang	This study	LP-NOMAG		
AX1-6b	AX1-6	Yiming Zhang	This study	LP-NOMAG		
AX1-7b	AX1-7	Yiming Zhang	This study	LP-NOMAG		
AX1-8b	AX1-8	Yiming Zhang	This study	LP-NOMAG		
AX2-1b	AX2-1	Yiming Zhang	This study	LP-NOMAG		
AX2-2b	AX2-2	Yiming Zhang	This study	LP-NOMAG		
AX2-3b	AX2-3	Yiming Zhang	This study	LP-NOMAG		
AX2-4b	AX2-4	Yiming Zhang	This study	LP-NOMAG		
AX2-5b	AX2-5	Yiming Zhang	This study	LP-NOMAG		
AX2-6b	AX2-6	Yiming Zhang	This study	LP-NOMAG		
AX2-7b	AX2-7	Yiming Zhang	This study	LP-NOMAG		
AX2-8b	AX2-8	Yiming Zhang	This study	LP-NOMAG		
AX2-9b	AX2-9	Yiming Zhang	This study	LP-NOMAG		
AX3-1b	AX3-1	Yiming Zhang	This study	LP-NOMAG		
AX3-2b	AX3-2	Yiming Zhang	This study	LP-NOMAG		
AX3-3b	AX3-3	Yiming Zhang	This study	LP-NOMAG		
AX3-4b	AX3-4	Yiming Zhang	This study	LP-NOMAG		
AX3-5b	AX3-5	Yiming Zhang	This study	LP-NOMAG		
AX3-6b	AX3-6	Yiming Zhang	This study	LP-NOMAG		
AX3-7b	AX3-7	Yiming Zhang	This study	LP-NOMAG		
AX3-8b	AX3-8	Yiming Zhang	This study	LP-NOMAG		
AX3-9b	AX3-9	Yiming Zhang	This study	LP-NOMAG		
AX3-10b	AX3-10	Yiming Zhang	This study	LP-NOMAG		
AX4-1b	AX4-1	Yiming Zhang	This study	LP-NOMAG		
AX4-2b	AX4-2	Yiming Zhang	This study	LP-NOMAG		
AX4-3b	AX4-3	Yiming Zhang	This study	LP-NOMAG		
AX4-4b	AX4-4	Yiming Zhang	This study	LP-NOMAG		
AX4-5b	AX4-5	Yiming Zhang	This study	LP-NOMAG		
AX4-6b	AX4-6	Yiming Zhang	This study	LP-NOMAG		
AX4-7b	AX4-7	Yiming Zhang	This study	LP-NOMAG		
AX4-8b	AX4-8	Yiming Zhang	This study	LP-NOMAG		
AX5-1b	AX5-1	Yiming Zhang	This study	LP-NOMAG		
AX5-3b	AX5-3	Yiming Zhang	This study	LP-NOMAG		
AX6-1b	AX6-1	Yiming Zhang	This study	LP-NOMAG		
AX6-2b	AX6-2	Yiming Zhang	This study	LP-NOMAG		
AX6-3b	AX6-3	Yiming Zhang	This study	LP-NOMAG		
AX7-1b	AX7-1	Yiming Zhang	This study	LP-NOMAG		
AX7-2b	AX7-2	Yiming Zhang	This study	LP-NOMAG		
AX8-1b	AX8-1	Yiming Zhang	This study	LP-NOMAG		
AX8-2b	AX8-2	Yiming Zhang	This study	LP-NOMAG		
AX8-3b	AX8-3	Yiming Zhang	This study	LP-NOMAG		
AX9-1b	AX9-1	Yiming Zhang	This study	LP-NOMAG		
AX9-2b	AX9-2	Yiming Zhang	This study	LP-NOMAG		
AX10-1b	AX10-1	Yiming Zhang	This study	LP-NOMAG		
AX10-2b	AX10-2	Yiming Zhang	This study	LP-NOMAG		
AX10-3b	AX10-3	Yiming Zhang	This study	LP-NOMAG		
AX11-1b	AX11-1	Yiming Zhang	This study	LP-NOMAG		
AX11-2b	AX11-2	Yiming Zhang	This study	LP-NOMAG		
AX11-4b	AX11-4	Yiming Zhang	This study	LP-NOMAG		
AX11-5b	AX11-5	Yiming Zhang	This study	LP-NOMAG		
AX11-6b	AX11-6	Yiming Zhang	This study	LP-NOMAG		
AX11-7b	AX11-7	Yiming Zhang	This study	LP-NOMAG		
AX11-8b	AX11-8	Yiming Zhang	This study	LP-NOMAG		
AX11-9b	AX11-9	Yiming Zhang	This study	LP-NOMAG		
AX12-1b	AX12-1	Yiming Zhang	This study	LP-NOMAG		
AX12-2b	AX12-2	Yiming Zhang	This study	LP-NOMAG		
AX12-4b	AX12-4	Yiming Zhang	This study	LP-NOMAG		
AX12-5b	AX12-5	Yiming Zhang	This study	LP-NOMAG		
AX12-6b	AX12-6	Yiming Zhang	This study	LP-NOMAG		
AX12-7b	AX12-7	Yiming Zhang	This study	LP-NOMAG		
AX13-1b	AX13-1	Yiming Zhang	This study	LP-NOMAG		
AX13-2b	AX13-2	Yiming Zhang	This study	LP-NOMAG		
AX13-3b	AX13-3	Yiming Zhang	This study	LP-NOMAG		
AX13-4b	AX13-4	Yiming Zhang	This study	LP-NOMAG		
AX13-5b	AX13-5	Yiming Zhang	This study	LP-NOMAG		
AX13-6b	AX13-6	Yiming Zhang	This study	LP-NOMAG		
AX13-7b	AX13-7	Yiming Zhang	This study	LP-NOMAG		
AX13-8b	AX13-8	Yiming Zhang	This study	LP-NOMAG		
AX13-9b	AX13-9	Yiming Zhang	This study	LP-NOMAG		
AX14-1b	AX14-1	Yiming Zhang	This study	LP-NOMAG		
AX14-2b	AX14-2	Yiming Zhang	This study	LP-NOMAG		
AX14-3b	AX14-3	Yiming Zhang	This study	LP-NOMAG		
AX14-4b	AX14-4	Yiming Zhang	This study	LP-NOMAG		
AX14-5b	AX14-5	Yiming Zhang	This study	LP-NOMAG		
AX14-6b	AX14-6	Yiming Zhang	This study	LP-NOMAG		
AX14-7b	AX14-7	Yiming Zhang	This study	LP-NOMAG		
AX14-8b	AX14-8	Yiming Zhang	This study	LP-NOMAG		
AX15-1b	AX15-1	Yiming Zhang	This study	LP-NOMAG		
AX15-2b	AX15-2	Yiming Zhang	This study	LP-NOMAG		
AX15-3b	AX15-3	Yiming Zhang	This study	LP-NOMAG		
AX15-4b	AX15-4	Yiming Zhang	This study	LP-NOMAG		
AX15-5b	AX15-5	Yiming Zhang	This study	LP-NOMAG		
AX15-6b	AX15-6	Yiming Zhang	This study	LP-NOMAG		
AX15-7b	AX15-7	Yiming Zhang	This study	LP-NOMAG		
AX15-8b	AX15-8	Yiming Zhang	This study	LP-NOMAG		
AX16-1b	AX16-1	Yiming Zhang	This study	LP-NOMAG		
AX16-2b	AX16-2	Yiming Zhang	This study	LP-NOMAG		
AX16-3b	AX16-3	Yiming Zhang	This study	LP-NOMAG		
AX16-4b	AX16-4	Yiming Zhang	This study	LP-NOMAG		
AX16-5b	AX16-5	Yiming Zhang	This study	LP-NOMAG		
AX16-6b	AX16-6	Yiming Zhang	This study	LP-NOMAG		
AX16-7b	AX16-7	Yiming Zhang	This study	LP-NOMAG		
AX16-8b	AX16-8	Yiming Zhang	This study	LP-NOMAG		
AX17-1b	AX17-1	Yiming Zhang	This study	LP-NOMAG		
AX17-2b	AX17-2	Yiming Zhang	This study	LP-NOMAG		
AX17-3b	AX17-3	Yiming Zhang	This study	LP-NOMAG		
AX17-4b	AX17-4	Yiming Zhang	This study	LP-NOMAG		
AX17-5b	AX17-5	Yiming Zhang	This study	LP-NOMAG		
AX17-6b	AX17-6	Yiming Zhang	This study	LP-NOMAG		
AX17-7b	AX17-7	Yiming Zhang	This study	LP-NOMAG		
AX17-8b	AX17-8	Yiming Zhang	This study	LP-NOMAG		
AX18-1b	AX18-1	Yiming Zhang	This study	LP-NOMAG		
AX18-2b	AX18-2	Yiming Zhang	This study	LP-NOMAG		
AX18-3b	AX18-3	Yiming Zhang	This study	LP-NOMAG		
AX18-4b	AX18-4	Yiming Zhang	This study	LP-NOMAG		
AX18-5b	AX18-5	Yiming Zhang	This study	LP-NOMAG		
AX18-6b	AX18-6	Yiming Zhang	This study	LP-NOMAG		
AX18-7b	AX18-7	Yiming Zhang	This study	LP-NOMAG		
AX18-8b	AX18-8	Yiming Zhang	This study	LP-NOMAG		
AX18-9b	AX18-9	Yiming Zhang	This study	LP-NOMAG		
AX19-1b	AX19-1	Yiming Zhang	This study	LP-NOMAG		
AX19-2b	AX19-2	Yiming Zhang	This study	LP-NOMAG		
AX19-3b	AX19-3	Yiming Zhang	This study	LP-NOMAG		
AX19-4b	AX19-4	Yiming Zhang	This study	LP-NOMAG		
AX19-5b	AX19-5	Yiming Zhang	This study	LP-NOMAG		
AX19-6b	AX19-6	Yiming Zhang	This study	LP-NOMAG		
AX19-7b	AX19-7	Yiming Zhang	This study	LP-NOMAG		
AX19-8b	AX19-8	Yiming Zhang	This study	LP-NOMAG		
AX20-1b	AX20-1	Yiming Zhang	This study	LP-NOMAG		
AX20-2b	AX20-2	Yiming Zhang	This study	LP-NOMAG		
