tab	samples												
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
AX1-1	AX1	0				Yiming Zhang	-18.9	0	12.9	128.7	-93	This study	SO-CMD-NORTH
AX1-2	AX1	0				Yiming Zhang	12.1	0	12.9	128.7	-82	This study	SO-CMD-NORTH
AX1-3	AX1	0				Yiming Zhang	8.1	0	12.9	128.7	-84	This study	SO-CMD-NORTH
AX1-4	AX1	0				Yiming Zhang	7.8	0	12.9	128.7	-77	This study	SO-CMD-NORTH
AX1-5	AX1	0				Yiming Zhang	7.5	0	12.9	128.7	-81	This study	SO-CMD-NORTH
AX1-6	AX1	0				Yiming Zhang	-9.5	0	12.9	128.7	-90	This study	SO-CMD-NORTH
AX1-7	AX1	0				Yiming Zhang	10.7	0	12.9	128.7	-86	This study	SO-CMD-NORTH
AX1-8	AX1	0				Yiming Zhang	34.7	0	12.9	128.7	-87	This study	SO-CMD-NORTH
AX2-1	AX2	0				Yiming Zhang	228.2	0	12.9	128.7	-64	This study	SO-CMD-NORTH
AX2-2	AX2	0				Yiming Zhang	228.2	0	12.9	128.7	-64	This study	SO-CMD-NORTH
AX2-3	AX2	0				Yiming Zhang	202.2	0	12.9	128.7	-43	This study	SO-CMD-NORTH
AX2-4	AX2	0				Yiming Zhang	-81.8	0	12.9	128.7	-105	This study	SO-CMD-NORTH
AX2-5	AX2	0				Yiming Zhang	-64.8	0	12.9	128.7	-102	This study	SO-CMD-NORTH
AX2-6	AX2	0				Yiming Zhang	-67.8	0	12.9	128.7	-91	This study	SO-CMD-NORTH
AX2-7	AX2	0				Yiming Zhang	208.2	0	12.9	128.7	-39	This study	SO-CMD-NORTH
AX2-8	AX2	0				Yiming Zhang	212.2	0	12.9	128.7	-35	This study	SO-CMD-NORTH
AX2-9	AX2	0				Yiming Zhang	227.2	0	12.9	128.7	-35	This study	SO-CMD-NORTH
AX3-1	AX3	0				Yiming Zhang	-9.3	0	13.1	145.6	-63	This study	SO-CMD-NORTH
AX3-2	AX3	0				Yiming Zhang	-8.3	0	13.1	145.6	-71	This study	SO-CMD-NORTH
AX3-3	AX3	0				Yiming Zhang	-20.3	0	13.1	145.6	-62	This study	SO-CMD-NORTH
AX3-4	AX3	0				Yiming Zhang	-19.3	0	13.1	145.6	-83	This study	SO-CMD-NORTH
AX3-5	AX3	0				Yiming Zhang	-20.3	0	13.1	145.6	-53	This study	SO-CMD-NORTH
AX3-6	AX3	0				Yiming Zhang	-17.3	0	13.1	145.6	-75	This study	SO-CMD-NORTH
AX3-7	AX3	0				Yiming Zhang	-18.3	0	13.1	145.6	-81	This study	SO-CMD-NORTH
AX3-8	AX3	0				Yiming Zhang	-15.3	0	13.1	145.6	-65	This study	SO-CMD-NORTH
AX3-9	AX3	0				Yiming Zhang	-29.3	0	13.1	145.6	-67	This study	SO-CMD-NORTH
AX3-10	AX3	0				Yiming Zhang	-24.3	0	13.1	145.6	-73	This study	SO-CMD-NORTH
AX4-1	AX4	0				Yiming Zhang	-43.4	0	13.1	145.6	-70	This study	SO-CMD-NORTH
AX4-2	AX4	0				Yiming Zhang	-43.4	0	13.1	145.6	-65	This study	SO-CMD-NORTH
AX4-3	AX4	0				Yiming Zhang	-49.8	0	13.1	145.6	-66	This study	SO-CMD-NORTH
AX4-4	AX4	0				Yiming Zhang	-53.8	0	13.1	145.6	-79	This study	SO-CMD-NORTH
AX4-5	AX4	0				Yiming Zhang	-40.1	0	13.1	145.6	-74	This study	SO-CMD-NORTH
AX4-6	AX4	0				Yiming Zhang	-40.1	0	13.1	145.6	-94	This study	SO-CMD-NORTH
