tab	sites																									
site	location	dir_dec	dir_inc	dec_tc	inc_tc	dir_k	dir_n_samples	dir_n_specimens	dir_n_total_specimens	dir_tilt_correction	dir_alpha95	lat	lon	geologic_classes	geologic_types	lithologies	method_codes	result_quality	result_type	age	age_unit	citations	description	dip_trend	dip	width(m)
A1	MarquetteCounty	124.1	-61.9			200	5	7	7	0	4.9	46.6019	-87.4426	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	90	0	2.5
A10	MarquetteCounty	111.7	-56.8			220	8	8	8	0	3.5	46.6056	-87.4633	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	123	70	1
A11	MarquetteCounty	94.5	80.6			25	9	11	11	0	9.9	46.6056	-87.451	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	20	90	9
A12	MarquetteCounty	332	80.9			46	6	9	9	0	9.1	46.6054	-87.4493	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	160	70	8
A4	MarquetteCounty	119.7	-56.6			29	5	5	5	0	12.9	46.6394	-87.4597	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	252	83	2
A5	MarquetteCounty	133.5	-54.8			29	5	8	8	0	12.8	46.6115	-87.4682	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	285	90	12
A6	MarquetteCounty	137.2	-74.2			129	9	10	10	0	4.3	46.6117	-87.4679	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	215	90	5
A7	MarquetteCounty	135.6	79.1			67	7	9	9	0	6.9	46.6172	-87.4629	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	55	0	3
A8	MarquetteCounty	309.9	81.7			81	5	7	7	0	7.6	46.6172	-87.4632	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	60	86	1
B01	Mellen-Gogebic	125.4	-71.5			27	6	8	8	0	12	46.3515	-89.8027	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	85	90	20
B03	Mellen-Gogebic	281.4	36.5			57	8	8	8	0	6.9	46.2853	-90.9872	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	88	90	4
B05	CentralWisconsin	309.1	45.2			13	5	14	14	0	19	44.9425	-91.3414	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	60	0	10
B07	CentralWisconsin	87.1	-75.6			47	5	8	8	0	10	45.3331	-89.466	Intrusive:Igneous	Dike	Diabase	LP-DIR-T:LP-DIR-AFLP-LT:DE-BFL	g	i	1109	Ma	FoucherPhDthesis	Baraga and Marquette dikes	85	0	5
