zircon,Pb*/Pbc,Pbc,Th_U,206Pb/204Pb,208Pb/206Pb,206Pb/238U,%err,207Pb/235U,%err,207Pb/206Pb,%err,corr_coef,206Pb/238U_date,206Pb/238U_date_2sigma,207Pb/235U_date,207Pb/235U_date_2sigma,207Pb/206Pb_date,207Pb/206Pb_date_2sigma,perc_disc,include
za2*,330,0.89,0.61,19172,0.185,0.185287,0.05,1.94545,0.07,0.07615,0.05,0.681,1095.79,0.49,1096.88,0.48,1099.02,1.04,0.29,yes
za4*,823,0.4,0.71,46658,0.217,0.185288,0.05,1.94505,0.07,0.07613,0.05,0.731,1095.8,0.49,1096.74,0.44,1098.6,0.9,0.26,yes
za5*,2445,0.4,0.66,140356,0.2,0.185287,0.05,1.94462,0.06,0.07612,0.04,0.747,1095.8,0.46,1096.59,0.41,1098.18,0.82,0.22,yes
za6*,213,1.28,0.62,12347,0.187,0.185319,0.05,1.94543,0.07,0.07614,0.05,0.734,1095.97,0.5,1096.87,0.46,1098.65,0.92,0.24,yes
za7*,195,1.11,0.56,11487,0.169,0.185367,0.09,1.9459,0.11,0.07614,0.07,0.763,1096.23,0.88,1097.03,0.77,1098.65,1.48,0.22,yes
za8*,775,0.76,0.65,44570,0.198,0.185342,0.06,1.94598,0.07,0.07615,0.05,0.788,1096.09,0.58,1097.06,0.49,1098.98,0.9,0.26,yes
za9*,635,0.91,0.61,36929,0.185,0.185313,0.05,1.94519,0.07,0.07613,0.04,0.743,1095.94,0.49,1096.79,0.44,1098.51,0.89,0.23,yes
za10*,987,0.74,0.62,57263,0.187,0.185236,0.06,1.94438,0.07,0.07613,0.04,0.797,1095.52,0.57,1096.51,0.47,1098.51,0.85,0.27,yes
