AREA,PERIMETER,GEMGEOU_,GEMGEOU_ID,RELATEID,TYPE,GCM_CODE,GEOC_SRC,GEOC_DATE,UTME,UTMN,UTM_ZONE,GEOL_1,INTRP_DATE,BASIS1,BASIS2,MGSCODE,SYMBOL,MAPLABEL,UNIT_CODE,DESCRIPTN,REFRNCE,area_1
665552.90000,6518.12400,"0","0",,GU,AS,MGS,"20000630","678067","5312568","15",DMD,"19770000",OBI,,"0","0",nrb,nru,NSVGr - basalt,,665552.844
50525.17000,1192.41400,"0","0",,GU,AS,MGS,"20000630","667536","5313071","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,50525.172
67805.42000,1550.08700,"0","0",,GU,AS,MGS,"20000630","666974","5312997","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,67805.422
35712.86000,802.00870,"0","0",,GU,AS,MGS,"20000630","691693","5313079","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,35712.859
112299.30000,1791.32600,"0","0",,GU,AS,MGS,"20000630","664478","5312918","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,112299.313
,22704.37000,"0","0",,GU,AS,MGS,"20000630","672361","5311802","15",D&B,"19770000",OBI,,"0","0",nrr,nru,NSVGr - rhyolite,,4350342.641
,14905.94000,"0","0",,GU,AS,MGS,"20000630","670040","5311924","15",D&B,"19770000",OBI,,"0","0",nrb,nru,NSVGr - basalt,,2848155.094
,7677.81500,"0","0",,GU,AS,MGS,"20000630","683089","5311849","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,2048389.514
360121.90000,2832.30900,"0","0",,GU,AS,MGS,"20000630","660519","5312076","15",DMD,"19770000",OBI,,"-1","-1",fgpu,dfu,granophyric rx undifferentiate,,360121.859
67846.55000,1057.03200,"0","0",,GU,AS,MGS,"20000630","661283","5312193","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,67846.547
762883.70000,7642.23700,"0","0",,GU,AS,MGS,"20000630","673297","5311039","15",D&B,"19770000",OBI,,"0","0",nrr,nru,NSVGr - rhyolite,,762883.688
587369.90000,5914.87300,"0","0",,GU,AS,MGS,"20000630","674735","5311249","15",D&B,"19770000",OBI,,"0","0",nri,nru,NSVGr - intermediate volc. und,,587369.891
148622.20000,1518.55200,"0","0",,GU,AS,MGS,"20000630","703069","5311403","15",DMD,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,148622.188
47731.13000,916.09500,"0","0",,GU,AS,MGS,"20000630","692922","5311431","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,47731.125
331657.80000,4297.84900,"0","0",,GU,AS,MGS,"20000630","675555","5310959","15",D&B,"19770000",OBI,,"0","0",nrr,nru,NSVGr - rhyolite,,331657.766
40186.44000,774.42060,"0","0",,GU,AS,MGS,"20000630","694017","5311304","15",DMD,"19770000",OBI,,"0","0",fimu,dfu,qtz fe-monzodioritic rx undiff,,40186.438
115628.80000,1481.79100,"0","0",,GU,AS,MGS,"20000630","666699","5311009","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,115628.828
51166.34000,987.43880,"0","0",,GU,AS,MGS,"20000630","694161","5310797","15",DMD,"19770000",OBI,,"0","0",fimu,dfu,qtz fe-monzodioritic rx undiff,,51166.344
576829.90000,6222.23100,"0","0",,GU,AS,MGS,"20000630","670549","5310653","15",D&B,"19770000",OBI,,"0","0",nrb,nru,NSVGr - basalt,,576829.938
,4757.95100,"0","0",,GU,AS,MGS,"20000630","666745","5310373","15",DMD,"19770000",OBI,,"-1","-1",nsbh,nhu,NSVG-basaltic hornfels,,1027260.469
992837.60000,5626.05100,"0","0",,GU,AS,MGS,"20000630","670561","5310393","15",D&B,"19770000",OBI,,"0","0",nrr,nru,NSVGr - rhyolite,,992837.641
579002.00000,4140.22800,"0","0",,GU,AS,MGS,"20000630","673982","5310256","15",D&B,"19770000",OBI,,"0","0",asau,dau,AS - anorthositic rx undiff,,579002.000
,32186.54000,"0","0",,GU,AS,MGS,"20000630","681605","5308939","15",DMD,"19770000",OBI,IGP,"0","0",bhdg,mbh,Brule/Hovland diabase/gabbro,,18784718.470
37134.61000,1234.18600,"0","0",,GU,AS,MGS,"20000630","677131","5310382","15",D&B,"19770000",OBI,IGP,"0","0",emmd,mem,Eagle Mtn qtz fe-monzodiorite,,37134.609
