tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
AX1-1b	AX1-1											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-1b	AX1-1	AX1-1b_LP-DIR-T		mt	215.7	25.5	1	9	-1	0.5	1	Igneous:Intrusive	Not Specified	Anorthosite	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-1b	AX1-1	AX1-1b_LP-DIR-T		mt	292.8	45.2	1	9	0	0.5	1	Igneous:Intrusive	Not Specified	Anorthosite	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-1b	AX1-1	AX1-1b_LP-DIR-T		mt	292.8	45.2	1	9	100	0.5	1	Igneous:Intrusive	Not Specified	Anorthosite	843	793	K		hargrave 2019-10-25 11:42:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-2b	AX1-2											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-2b	AX1-2	AX1-2b_LP-DIR-T		mt	288.1	39.2	1	11	100	0.7	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-2b	AX1-2	AX1-2b_LP-DIR-T		mt	288.1	39.2	1	11	0	0.7	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-2b	AX1-2	AX1-2b_LP-DIR-T		mt	231.4	9.7	1	11	-1	0.7	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:44:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-3b	AX1-3	AX1-3b_LP-DIR-T		mt	291.9	43.5	1	10	100	0.7	1.3	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-3b	AX1-3	AX1-3b_LP-DIR-T		mt	226.6	14.1	1	10	-1	0.7	1.3	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
