tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
AX1-3b	AX1-3	AX1-3b_LP-DIR-T		mt	291.9	43.5	1	10	0	0.7	1.3	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:45:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-3b	AX1-3											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-4b	AX1-4											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-4b	AX1-4	AX1-4b_LP-DIR-T		mt	227.2	20.9	1	12	-1	0.7	2.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-4b	AX1-4	AX1-4b_LP-DIR-T		mt	294.5	44.4	1	12	0	0.7	2.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-4b	AX1-4	AX1-4b_LP-DIR-T		mt	294.5	44.4	1	12	100	0.7	2.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:47:20	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-5b	AX1-5	AX1-5b_LP-DIR-T		mt	292.8	40.5	1	10	0	0.9	0.7	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-5b	AX1-5											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-5b	AX1-5	AX1-5b_LP-DIR-T		mt	230.3	17.4	1	10	-1	0.9	0.7	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-5b	AX1-5	AX1-5b_LP-DIR-T		mt	292.8	40.5	1	10	100	0.9	0.7	Igneous:Intrusive	Not Specified	Anorthosite	843	773	K		hargrave 2019-10-25 11:48:44	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-6b	AX1-6	AX1-6b_LP-DIR-T		mt	293.3	38.7	1	13	100	0.5	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-6b	AX1-6	AX1-6b_LP-DIR-T		mt	293.3	38.7	1	13	0	0.5	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-6b	AX1-6											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-6b	AX1-6	AX1-6b_LP-DIR-T		mt	226.4	25	1	13	-1	0.5	1.4	Igneous:Intrusive	Not Specified	Anorthosite	843	723	K		hargrave 2019-10-25 11:50:09	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-7b	AX1-7											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX1-7b	AX1-7	AX1-7b_LP-DIR-T		mt	224.3	12.7	1	12	-1	1.1	1	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:51:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-7b	AX1-7	AX1-7b_LP-DIR-T		mt	294.7	45.4	1	12	0	1.1	1	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:51:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-7b	AX1-7	AX1-7b_LP-DIR-T		mt	294.7	45.4	1	12	100	1.1	1	Igneous:Intrusive	Not Specified	Anorthosite	843	748	K		hargrave 2019-10-25 11:51:35	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-8b	AX1-8	AX1-8b_LP-DIR-T		mt	225.7	-2.2	1	14	-1	1.5	2.1	Igneous:Intrusive	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX1-8b	AX1-8	AX1-8b_LP-DIR-T		mt	298.7	44	1	14	100	1.5	2.1	Igneous:Intrusive	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX1-8b	AX1-8	AX1-8b_LP-DIR-T		mt	298.7	44	1	14	0	1.5	2.1	Igneous:Intrusive	Not Specified	Anorthosite	843	673	K		hargrave 2019-10-25 11:53:02	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX1-8b	AX1-8											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX10-1b	AX10-1	AX10-1b_LP-DIR-T		mt	260.5	28.9	1	17	-1	0.6	2.3	Igneous:Intrusive	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX10-1b	AX10-1	AX10-1b_LP-DIR-T		mt	282.6	28.6	1	17	0	0.6	2.3	Igneous:Intrusive	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX10-1b	AX10-1	AX10-1b_LP-DIR-T		mt	282.6	28.6	1	17	100	0.6	2.3	Igneous:Intrusive	Not Specified	Anorthosite	858	748	K		hargrave 2019-12-02 18:20:18	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX10-1b	AX10-1											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX10-2b	AX10-2	AX10-2b_LP-DIR-T		mt	259.0	28.2	1	16	-1	0.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX10-2b	AX10-2	AX10-2b_LP-DIR-T		mt	282.2	28.9	1	16	0	0.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX10-2b	AX10-2	AX10-2b_LP-DIR-T		mt	282.2	28.9	1	16	100	0.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	773	K		hargrave 2019-12-02 18:21:50	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX10-2b	AX10-2											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX10-3b	AX10-3	AX10-3b_LP-DIR-T		mt	265.1	26.7	1	10	-1	1.6	1.8	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX10-3b	AX10-3	AX10-3b_LP-DIR-T		mt	288.6	23.9	1	10	0	1.6	1.8	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX10-3b	AX10-3	AX10-3b_LP-DIR-T		mt	288.6	23.9	1	10	100	1.6	1.8	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-02 18:23:19	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX10-3b	AX10-3											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-1b	AX11-1											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-1b	AX11-1	AX11-1b_LP-DIR-T		mt	283.4	26.3	1	14	100	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-1b	AX11-1	AX11-1b_LP-DIR-T		mt	283.4	26.3	1	14	0	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-1b	AX11-1	AX11-1b_LP-DIR-T		mt	123.3	81.8	1	14	-1	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	918	828	K		hargrave 2019-12-06 14:56:49	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-2b	AX11-2	AX11-2b_LP-DIR-T		mt	279.1	18.9	1	12	100	2.3	1.4	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-2b	AX11-2	AX11-2b_LP-DIR-T		mt	279.1	18.9	1	12	0	2.3	1.4	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-2b	AX11-2	AX11-2b_LP-DIR-T		mt	226.0	68	1	12	-1	2.3	1.4	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:58:22	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-2b	AX11-2											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-4b	AX11-4	AX11-4b_LP-DIR-T		mt	186.1	67	1	12	-1	1.6	1.1	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-4b	AX11-4	AX11-4b_LP-DIR-T		mt	288.9	23.9	1	12	0	1.6	1.1	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-4b	AX11-4	AX11-4b_LP-DIR-T		mt	288.9	23.9	1	12	100	1.6	1.1	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 14:59:51	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-4b	AX11-4											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-5b	AX11-5											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-5b	AX11-5	AX11-5b_LP-DIR-T		mt	201.7	69	1	15	-1	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-5b	AX11-5	AX11-5b_LP-DIR-T		mt	280.8	28.4	1	15	0	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-5b	AX11-5	AX11-5b_LP-DIR-T		mt	280.8	28.4	1	15	100	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	823	K		hargrave 2019-12-06 15:01:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-6b	AX11-6											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-6b	AX11-6	AX11-6b_LP-DIR-T		mt	283.3	22.2	1	17	100	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-6b	AX11-6	AX11-6b_LP-DIR-T		mt	190.9	74.5	1	17	-1	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-6b	AX11-6	AX11-6b_LP-DIR-T		mt	283.3	22.2	1	17	0	1.1	1.3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:02:41	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-7b	AX11-7	AX11-7b_LP-DIR-T		mt	290.4	21.3	1	12	100	1.2	3	Igneous:Intrusive	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-7b	AX11-7	AX11-7b_LP-DIR-T		mt	290.4	21.3	1	12	0	1.2	3	Igneous:Intrusive	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-7b	AX11-7	AX11-7b_LP-DIR-T		mt	163.5	78.2	1	12	-1	1.2	3	Igneous:Intrusive	Not Specified	Anorthosite	888	828	K		hargrave 2019-12-06 15:04:05	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-7b	AX11-7											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-8b	AX11-8	AX11-8b_LP-DIR-T		mt	286.7	22.9	1	14	0	2.4	1.8	Igneous:Intrusive	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-8b	AX11-8											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-8b	AX11-8	AX11-8b_LP-DIR-T		mt	194.3	70.5	1	14	-1	2.4	1.8	Igneous:Intrusive	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-8b	AX11-8	AX11-8b_LP-DIR-T		mt	286.7	22.9	1	14	100	2.4	1.8	Igneous:Intrusive	Not Specified	Anorthosite	873	813	K		hargrave 2019-12-06 15:05:30	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX11-9b	AX11-9											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX11-9b	AX11-9	AX11-9b_LP-DIR-T		mt	163.0	74.1	1	16	-1	2	1.2	Igneous:Intrusive	Not Specified	Anorthosite	903	813	K		hargrave 2019-12-06 15:06:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX11-9b	AX11-9	AX11-9b_LP-DIR-T		mt	286.2	24.1	1	16	0	2	1.2	Igneous:Intrusive	Not Specified	Anorthosite	903	813	K		hargrave 2019-12-06 15:06:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX11-9b	AX11-9	AX11-9b_LP-DIR-T		mt	286.2	24.1	1	16	100	2	1.2	Igneous:Intrusive	Not Specified	Anorthosite	903	813	K		hargrave 2019-12-06 15:06:56	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-1b	AX12-1	AX12-1b_LP-DIR-T		mt	329.0	42.1	1	11	100	2.6	1.7	Igneous:Intrusive	Not Specified	Anorthosite	873	828	K		hargrave 2019-12-06 15:08:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-1b	AX12-1	AX12-1b_LP-DIR-T		mt	329.0	42.1	1	11	0	2.6	1.7	Igneous:Intrusive	Not Specified	Anorthosite	873	828	K		hargrave 2019-12-06 15:08:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-1b	AX12-1											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-1b	AX12-1	AX12-1b_LP-DIR-T		mt	182.4	49.8	1	11	-1	2.6	1.7	Igneous:Intrusive	Not Specified	Anorthosite	873	828	K		hargrave 2019-12-06 15:08:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX12-2b	AX12-2	AX12-2b_LP-DIR-T		mt	218.7	53.3	1	12	-1	1.8	9.7	Igneous:Intrusive	Not Specified	Anorthosite	858	823	K		hargrave 2019-12-06 15:09:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX12-2b	AX12-2	AX12-2b_LP-DIR-T		mt	290.9	43.7	1	12	0	1.8	9.7	Igneous:Intrusive	Not Specified	Anorthosite	858	823	K		hargrave 2019-12-06 15:09:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-2b	AX12-2	AX12-2b_LP-DIR-T		mt	290.9	43.7	1	12	100	1.8	9.7	Igneous:Intrusive	Not Specified	Anorthosite	858	823	K		hargrave 2019-12-06 15:09:57	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-2b	AX12-2											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-4b	AX12-4											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-4b	AX12-4	AX12-4b_LP-DIR-T		mt	212.1	35.2	1	9	-1	5.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-06 15:12:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX12-4b	AX12-4	AX12-4b_LP-DIR-T		mt	282.2	38.9	1	9	0	5.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-06 15:12:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-4b	AX12-4	AX12-4b_LP-DIR-T		mt	282.2	38.9	1	9	100	5.2	2.1	Igneous:Intrusive	Not Specified	Anorthosite	858	833	K		hargrave 2019-12-06 15:12:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-5b	AX12-5	AX12-5b_LP-DIR-T		mt	289.6	33.6	1	14	100	0.7	1.7	Igneous:Intrusive	Not Specified	Anorthosite	858	793	K		hargrave 2019-12-06 15:14:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-5b	AX12-5	AX12-5b_LP-DIR-T		mt	289.6	33.6	1	14	0	0.7	1.7	Igneous:Intrusive	Not Specified	Anorthosite	858	793	K		hargrave 2019-12-06 15:14:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-5b	AX12-5	AX12-5b_LP-DIR-T		mt	211.6	44.8	1	14	-1	0.7	1.7	Igneous:Intrusive	Not Specified	Anorthosite	858	793	K		hargrave 2019-12-06 15:14:27	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX12-5b	AX12-5											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-6b	AX12-6	AX12-6b_LP-DIR-T		mt	301.3	42.8	1	16	100	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	873	773	K		hargrave 2019-12-06 15:15:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-6b	AX12-6											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-6b	AX12-6	AX12-6b_LP-DIR-T		mt	190.8	70.8	1	16	-1	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	873	773	K		hargrave 2019-12-06 15:15:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX12-6b	AX12-6	AX12-6b_LP-DIR-T		mt	301.3	42.8	1	16	0	0.6	1.2	Igneous:Intrusive	Not Specified	Anorthosite	873	773	K		hargrave 2019-12-06 15:15:58	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-7b	AX12-7	AX12-7b_LP-DIR-T		mt	309.8	47.1	1	14	0	1.1	1.6	Igneous:Intrusive	Not Specified	Anorthosite	888	818	K		hargrave 2019-12-06 15:17:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX12-7b	AX12-7	AX12-7b_LP-DIR-T		mt	309.8	47.1	1	14	100	1.1	1.6	Igneous:Intrusive	Not Specified	Anorthosite	888	818	K		hargrave 2019-12-06 15:17:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX12-7b	AX12-7											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX12-7b	AX12-7	AX12-7b_LP-DIR-T		mt	198.1	37.4	1	14	-1	1.1	1.6	Igneous:Intrusive	Not Specified	Anorthosite	888	818	K		hargrave 2019-12-06 15:17:25	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX13-1b	AX13-1	AX13-1b_LP-DIR-T		mt	136.9	-36.2	1	17	-1	2.7	3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:18:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
AX13-1b	AX13-1											Igneous:Intrusive	Not Specified	Anorthosite								This study	LP-NOMAG	g		
AX13-1b	AX13-1	AX13-1b_LP-DIR-T		mt	287.8	26.9	1	17	0	2.7	3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:18:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO	g		
AX13-1b	AX13-1	AX13-1b_LP-DIR-T		mt	287.8	26.9	1	17	100	2.7	3	Igneous:Intrusive	Not Specified	Anorthosite	918	813	K		hargrave 2019-12-06 15:18:53	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT	g		
AX13-2b	AX13-2	AX13-2b_LP-DIR-T		mt	104.7	-48.9	1	13	-1	20	20.3	Igneous:Intrusive	Not Specified	Anorthosite	858	818	K		hargrave 2019-12-06 15:20:28	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-T:DE-BFL:DA-DIR	g		
