tab	specimens
specimen	sample	analysts	citations	method_codes	volume	weight
AX1-1b	AX1-1		This study	LP-NOMAG		
AX1-2b	AX1-2		This study	LP-NOMAG		
AX1-3b	AX1-3		This study	LP-NOMAG		
AX1-4b	AX1-4		This study	LP-NOMAG		
AX1-5b	AX1-5		This study	LP-NOMAG		
AX1-6b	AX1-6		This study	LP-NOMAG		
AX1-7b	AX1-7		This study	LP-NOMAG		
AX1-8b	AX1-8		This study	LP-NOMAG		
AX2-1b	AX2-1		This study	LP-NOMAG		
AX2-2b	AX2-2		This study	LP-NOMAG		
AX2-3b	AX2-3		This study	LP-NOMAG		
AX2-4b	AX2-4		This study	LP-NOMAG		
AX2-5b	AX2-5		This study	LP-NOMAG		
AX2-6b	AX2-6		This study	LP-NOMAG		
AX2-7b	AX2-7		This study	LP-NOMAG		
AX2-8b	AX2-8		This study	LP-NOMAG		
AX2-9b	AX2-9		This study	LP-NOMAG		
AX3-1b	AX3-1		This study	LP-NOMAG		
AX3-2b	AX3-2		This study	LP-NOMAG		
AX3-3b	AX3-3		This study	LP-NOMAG		
AX3-4b	AX3-4		This study	LP-NOMAG		
AX3-5b	AX3-5		This study	LP-NOMAG		
AX3-6b	AX3-6		This study	LP-NOMAG		
AX3-7b	AX3-7		This study	LP-NOMAG		
AX3-8b	AX3-8		This study	LP-NOMAG		
AX3-9b	AX3-9		This study	LP-NOMAG		
AX3-10b	AX3-10		This study	LP-NOMAG		
AX4-1b	AX4-1		This study	LP-NOMAG		
AX4-2b	AX4-2		This study	LP-NOMAG		
AX4-3b	AX4-3		This study	LP-NOMAG		
AX4-4b	AX4-4		This study	LP-NOMAG		
AX4-5b	AX4-5		This study	LP-NOMAG		
AX4-6b	AX4-6		This study	LP-NOMAG		
AX4-7b	AX4-7		This study	LP-NOMAG		
AX4-8b	AX4-8		This study	LP-NOMAG		
AX5-1b	AX5-1		This study	LP-NOMAG		
AX5-3b	AX5-3		This study	LP-NOMAG		
AX6-1b	AX6-1		This study	LP-NOMAG		
AX6-2b	AX6-2		This study	LP-NOMAG		
AX6-3b	AX6-3		This study	LP-NOMAG		
AX7-1b	AX7-1		This study	LP-NOMAG		
AX7-2b	AX7-2		This study	LP-NOMAG		
AX8-1b	AX8-1		This study	LP-NOMAG		
AX8-2b	AX8-2		This study	LP-NOMAG		
AX8-3b	AX8-3		This study	LP-NOMAG		
AX9-1b	AX9-1		This study	LP-NOMAG		
AX9-2b	AX9-2		This study	LP-NOMAG		
AX10-1b	AX10-1		This study	LP-NOMAG		
AX10-2b	AX10-2		This study	LP-NOMAG		
AX10-3b	AX10-3		This study	LP-NOMAG		
AX11-1b	AX11-1		This study	LP-NOMAG		
AX11-2b	AX11-2		This study	LP-NOMAG		
AX11-4b	AX11-4		This study	LP-NOMAG		
AX11-5b	AX11-5		This study	LP-NOMAG		
AX11-6b	AX11-6		This study	LP-NOMAG		
AX11-7b	AX11-7		This study	LP-NOMAG		
AX11-8b	AX11-8		This study	LP-NOMAG		
AX11-9b	AX11-9		This study	LP-NOMAG		
AX12-1b	AX12-1		This study	LP-NOMAG		
AX12-2b	AX12-2		This study	LP-NOMAG		
AX12-4b	AX12-4		This study	LP-NOMAG		
AX12-5b	AX12-5		This study	LP-NOMAG		
AX12-6b	AX12-6		This study	LP-NOMAG		
AX12-7b	AX12-7		This study	LP-NOMAG		
AX13-1b	AX13-1		This study	LP-NOMAG		
AX13-2b	AX13-2		This study	LP-NOMAG		
AX13-3b	AX13-3		This study	LP-NOMAG		
AX13-4b	AX13-4		This study	LP-NOMAG		
AX13-5b	AX13-5		This study	LP-NOMAG		
AX13-6b	AX13-6		This study	LP-NOMAG		
AX13-7b	AX13-7		This study	LP-NOMAG		
