tab	samples
sample	site	height	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes
AX1-1	AX1	0					  -18.9	    0.0	    0.0	   90.0	  -93.0	This study	SO-CMD-NORTH
AX1-2	AX1	0					   12.1	    0.0	    0.0	   90.0	  -82.0	This study	SO-CMD-NORTH
AX1-3	AX1	0					    8.1	    0.0	    0.0	   90.0	  -84.0	This study	SO-CMD-NORTH
AX1-4	AX1	0					    7.8	    0.0	    0.0	   90.0	  -77.0	This study	SO-CMD-NORTH
AX1-5	AX1	0					    7.5	    0.0	    0.0	   90.0	  -81.0	This study	SO-CMD-NORTH
AX1-6	AX1	0					   -9.5	    0.0	    0.0	   90.0	  -90.0	This study	SO-CMD-NORTH
AX1-7	AX1	0					   10.7	    0.0	    0.0	   90.0	  -86.0	This study	SO-CMD-NORTH
AX1-8	AX1	0					   34.7	    0.0	    0.0	   90.0	  -87.0	This study	SO-CMD-NORTH
AX2-1	AX2	0					  228.2	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
AX2-2	AX2	0					  228.2	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
AX2-3	AX2	0					  202.2	    0.0	    0.0	   90.0	  -43.0	This study	SO-CMD-NORTH
AX2-4	AX2	0					  -81.8	    0.0	    0.0	   90.0	 -105.0	This study	SO-CMD-NORTH
AX2-5	AX2	0					  -64.8	    0.0	    0.0	   90.0	 -102.0	This study	SO-CMD-NORTH
AX2-6	AX2	0					  -67.8	    0.0	    0.0	   90.0	  -91.0	This study	SO-CMD-NORTH
AX2-7	AX2	0					  208.2	    0.0	    0.0	   90.0	  -39.0	This study	SO-CMD-NORTH
AX2-8	AX2	0					  212.2	    0.0	    0.0	   90.0	  -35.0	This study	SO-CMD-NORTH
AX2-9	AX2	0					  227.2	    0.0	    0.0	   90.0	  -35.0	This study	SO-CMD-NORTH
AX3-1	AX3	0					   -9.3	    0.0	    0.0	   90.0	  -63.0	This study	SO-CMD-NORTH
AX3-2	AX3	0					   -8.3	    0.0	    0.0	   90.0	  -71.0	This study	SO-CMD-NORTH
AX3-3	AX3	0					  -20.3	    0.0	    0.0	   90.0	  -62.0	This study	SO-CMD-NORTH
AX3-4	AX3	0					  -19.3	    0.0	    0.0	   90.0	  -83.0	This study	SO-CMD-NORTH
AX3-5	AX3	0					  -20.3	    0.0	    0.0	   90.0	  -53.0	This study	SO-CMD-NORTH
AX3-6	AX3	0					  -17.3	    0.0	    0.0	   90.0	  -75.0	This study	SO-CMD-NORTH
AX3-7	AX3	0					  -18.3	    0.0	    0.0	   90.0	  -81.0	This study	SO-CMD-NORTH
AX3-8	AX3	0					  -15.3	    0.0	    0.0	   90.0	  -65.0	This study	SO-CMD-NORTH
AX3-9	AX3	0					  -29.3	    0.0	    0.0	   90.0	  -67.0	This study	SO-CMD-NORTH
AX3-10	AX3	0					  -24.3	    0.0	    0.0	   90.0	  -73.0	This study	SO-CMD-NORTH
AX4-1	AX4	0					  -43.4	    0.0	    0.0	   90.0	  -70.0	This study	SO-CMD-NORTH
AX4-2	AX4	0					  -43.4	    0.0	    0.0	   90.0	  -65.0	This study	SO-CMD-NORTH
AX4-3	AX4	0					  -49.8	    0.0	    0.0	   90.0	  -66.0	This study	SO-CMD-NORTH
AX4-4	AX4	0					  -53.8	    0.0	    0.0	   90.0	  -79.0	This study	SO-CMD-NORTH
AX4-5	AX4	0					  -40.1	    0.0	    0.0	   90.0	  -74.0	This study	SO-CMD-NORTH
AX4-6	AX4	0					  -40.1	    0.0	    0.0	   90.0	  -94.0	This study	SO-CMD-NORTH
AX4-7	AX4	0					  -42.9	    0.0	    0.0	   90.0	  -95.0	This study	SO-CMD-NORTH
AX4-8	AX4	0					  -53.9	    0.0	    0.0	   90.0	  -87.0	This study	SO-CMD-NORTH
AX5-1	AX5	0					   64.2	    0.0	    0.0	   90.0	  -68.0	This study	SO-CMD-NORTH
AX5-3	AX5	0					   66.9	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
AX6-1	AX6	0					   57.0	    0.0	    0.0	   90.0	  -44.0	This study	SO-CMD-NORTH
AX6-2	AX6	0					   75.3	    0.0	    0.0	   90.0	  -47.0	This study	SO-CMD-NORTH
AX6-3	AX6	0					   78.4	    0.0	    0.0	   90.0	  -64.0	This study	SO-CMD-NORTH
AX7-1	AX7	0					   53.6	    0.0	    0.0	   90.0	  -55.0	This study	SO-CMD-NORTH
AX7-2	AX7	0					   46.2	    0.0	    0.0	   90.0	  -51.0	This study	SO-CMD-NORTH
AX8-1	AX8	0					   11.9	    0.0	    0.0	   90.0	  -19.0	This study	SO-CMD-NORTH
AX8-2	AX8	0					    0.1	    0.0	    0.0	   90.0	  -17.0	This study	SO-CMD-NORTH
AX8-3	AX8	0					    2.1	    0.0	    0.0	   90.0	  -24.0	This study	SO-CMD-NORTH
AX9-1	AX9	0					  -24.3	    0.0	    0.0	   90.0	  -29.0	This study	SO-CMD-NORTH
AX9-2	AX9	0					   29.8	    0.0	    0.0	   90.0	  -12.0	This study	SO-CMD-NORTH
AX10-1	AX10	0					    2.2	    0.0	    0.0	   90.0	  -35.0	This study	SO-CMD-NORTH
AX10-2	AX10	0					    3.4	    0.0	    0.0	   90.0	  -35.0	This study	SO-CMD-NORTH
AX10-3	AX10	0					    5.4	    0.0	    0.0	   90.0	  -37.0	This study	SO-CMD-NORTH
