tab	specimens
specimen	sample	experiments	dir_alpha95	dir_comp	dir_dec	dir_inc	dir_n_comps	dir_n_measurements	dir_tilt_correction	dir_dang	dir_mad_free	geologic_classes	geologic_types	lithologies	meas_step_max	meas_step_min	meas_step_unit	analysts	instrument_codes	software_packages	int_corr	citations	method_codes	result_quality	volume	weight
BD1-10a	BD1-10	BD1-10a_LP-DIR-AF		mc	132.6	18.3	1	22	-1	0.7	0.5	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 21:12:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
BD1-10a	BD1-10	BD1-10a_LP-DIR-AF		mc	290.3	44.9	1	22	0	0.7	0.5	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 21:12:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
BD1-10a	BD1-10	BD1-10a_LP-DIR-AF		mc	290.3	44.9	1	22	100	0.7	0.5	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 21:12:17	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g		
BD1-10a	BD1-10											Igneous:Intrusive	Diabase	Diabase								This study	LP-NOMAG	g		
BD1-11a	BD1-11											Igneous:Intrusive	Diabase	Diabase								This study	LP-NOMAG	g		
BD1-11a	BD1-11	BD1-11a_LP-DIR-AF		mc	125.2	22.4	1	22	-1	0.9	0.4	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 22:09:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR	g		
BD1-11a	BD1-11	BD1-11a_LP-DIR-AF		mc	289.4	40.9	1	22	100	0.9	0.4	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 22:09:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g		
BD1-11a	BD1-11	BD1-11a_LP-DIR-AF		mc	289.4	40.9	1	22	0	0.9	0.4	Igneous:Intrusive	Diabase	Diabase	0.1	0.01	T		hargrave 2019-09-14 22:09:32	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO	g		
BD1-12a	BD1-12											Igneous:Intrusive	Diabase	Diabase								This study	LP-NOMAG	g		
BD1-12a	BD1-12	BD1-12a_LP-DIR-AF		mc	296.6	38.4	1	17	100	1.6	2.4	Igneous:Intrusive	Diabase	Diabase	0.1	0.02	T		hargrave 2019-09-14 22:59:54	pmagpy-4.2.24-1: demag_gui	u	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT	g		
