tab	samples
sample	site	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	azimuth	azimuth_dec_correction	bed_dip	bed_dip_direction	dip	citations	method_codes	result_quality	result_type
BD5-7	BD5	0			Igneous:Intrusive	Diabase	Diabase		292.7	0.0	0	90.0	-60	This study	SO-CMD-NORTH	g	i
BD5-8	BD5	0			Igneous:Intrusive	Diabase	Diabase		273.5	0.0	0	90.0	-76	This study	SO-CMD-NORTH	g	i
BD6-1	BD6	0			Igneous:Intrusive	Diabase	Diabase		313.1	0.0	0	90.0	-82	This study	SO-CMD-NORTH	g	i
BD6-2	BD6	0			Igneous:Intrusive	Diabase	Diabase		317.1	0.0	0	90.0	-87	This study	SO-CMD-NORTH	g	i
BD6-3	BD6	0			Igneous:Intrusive	Diabase	Diabase		312.1	0.0	0	90.0	-91	This study	SO-CMD-NORTH	g	i
BD6-4	BD6	0			Igneous:Intrusive	Diabase	Diabase		315.1	0.0	0	90.0	-87	This study	SO-CMD-NORTH	g	i
BD6-5	BD6	0			Igneous:Intrusive	Diabase	Diabase		324.1	0.0	0	90.0	-68	This study	SO-CMD-NORTH	g	i
BD6-6	BD6	0			Igneous:Intrusive	Diabase	Diabase		316.1	0.0	0	90.0	-62	This study	SO-CMD-NORTH	g	i
BD6-7	BD6	0			Igneous:Intrusive	Diabase	Diabase		264.1	0.0	0	90.0	-50	This study	SO-CMD-NORTH	g	i
BD6-8	BD6	0			Igneous:Intrusive	Diabase	Diabase		255.1	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
BD6-9	BD6	0			Igneous:Intrusive	Diabase	Diabase		255.1	0.0	0	90.0	-43	This study	SO-CMD-NORTH	g	i
BD7-1	BD7	0			Igneous:Intrusive	Diabase	Diabase		299.1	0.0	0	90.0	-87	This study	SO-CMD-NORTH	g	i
BD7-2	BD7	0			Igneous:Intrusive	Diabase	Diabase		301.1	0.0	0	90.0	-89	This study	SO-CMD-NORTH	g	i
BD7-3	BD7	0			Igneous:Intrusive	Diabase	Diabase		291.1	0.0	0	90.0	-88	This study	SO-CMD-NORTH	g	i
BD7-4	BD7	0			Igneous:Intrusive	Diabase	Diabase		294.1	0.0	0	90.0	-90	This study	SO-CMD-NORTH	g	i
BD7-5	BD7	0			Igneous:Intrusive	Diabase	Diabase		295.1	0.0	0	90.0	-90	This study	SO-CMD-NORTH	g	i
BD7-6	BD7	0			Igneous:Intrusive	Diabase	Diabase		295.1	0.0	0	90.0	-90	This study	SO-CMD-NORTH	g	i
BD7-7	BD7	0			Igneous:Intrusive	Diabase	Diabase		288.8	0.0	0	90.0	-67	This study	SO-CMD-NORTH	g	i
BD8-1	BD8	0			Igneous:Intrusive	Diabase	Diabase		329.6	0.0	0	90.0	-56	This study	SO-CMD-NORTH	g	i
BD8-2	BD8	0			Igneous:Intrusive	Diabase	Diabase		327.1	0.0	0	90.0	-61	This study	SO-CMD-NORTH	g	i
BD8-3	BD8	0			Igneous:Intrusive	Diabase	Diabase		309.7	0.0	0	90.0	-63	This study	SO-CMD-NORTH	g	i
BD8-4	BD8	0			Igneous:Intrusive	Diabase	Diabase		318.9	0.0	0	90.0	-19	This study	SO-CMD-NORTH	g	i
BD8-5	BD8	0			Igneous:Intrusive	Diabase	Diabase		315.6	0.0	0	90.0	-38	This study	SO-CMD-NORTH	g	i
BD8-6	BD8	0			Igneous:Intrusive	Diabase	Diabase		303.9	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
BD8-7	BD8	0			Igneous:Intrusive	Diabase	Diabase		311.2	0.0	0	90.0	-58	This study	SO-CMD-NORTH	g	i
BD8-8	BD8	0			Igneous:Intrusive	Diabase	Diabase		307.2	0.0	0	90.0	-55	This study	SO-CMD-NORTH	g	i
BD8-9	BD8	0			Igneous:Intrusive	Diabase	Diabase		307.3	0.0	0	90.0	-48	This study	SO-CMD-NORTH	g	i
BD8-10	BD8	0			Igneous:Intrusive	Diabase	Diabase		308.0	0.0	0	90.0	-33	This study	SO-CMD-NORTH	g	i
BD9-1	BD9	0			Igneous:Intrusive	Diabase	Diabase		13.7	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
BD9-2	BD9	0			Igneous:Intrusive	Diabase	Diabase		20.6	0.0	0	90.0	-41	This study	SO-CMD-NORTH	g	i
BD9-3	BD9	0			Igneous:Intrusive	Diabase	Diabase		5.6	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
BD9-4	BD9	0			Igneous:Intrusive	Diabase	Diabase		351.5	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
BD9-5	BD9	0			Igneous:Intrusive	Diabase	Diabase		304.1	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD9-6	BD9	0			Igneous:Intrusive	Diabase	Diabase		290.5	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD9-7	BD9	0			Igneous:Intrusive	Diabase	Diabase		284.8	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD9-8	BD9	0			Igneous:Intrusive	Diabase	Diabase		281.8	0.0	0	90.0	-51	This study	SO-CMD-NORTH	g	i
BD10-1	BD10	0			Igneous:Intrusive	Diabase	Diabase		4.2	0.0	0	90.0	-37	This study	SO-CMD-NORTH	g	i
BD10-2	BD10	0			Igneous:Intrusive	Diabase	Diabase		10.2	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
BD10-3	BD10	0			Igneous:Intrusive	Diabase	Diabase		27.0	0.0	0	90.0	-52	This study	SO-CMD-NORTH	g	i
BD10-4	BD10	0			Igneous:Intrusive	Diabase	Diabase		2.2	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD10-5	BD10	0			Igneous:Intrusive	Diabase	Diabase		322.8	0.0	0	90.0	-46	This study	SO-CMD-NORTH	g	i
BD10-6	BD10	0			Igneous:Intrusive	Diabase	Diabase		300.4	0.0	0	90.0	-12	This study	SO-CMD-NORTH	g	i
BD10-7	BD10	0			Igneous:Intrusive	Diabase	Diabase		356.1	0.0	0	90.0	-79	This study	SO-CMD-NORTH	g	i
BD10-8	BD10	0			Igneous:Intrusive	Diabase	Diabase		0.3	0.0	0	90.0	-80	This study	SO-CMD-NORTH	g	i
BD10-9	BD10	0			Igneous:Intrusive	Diabase	Diabase		18.2	0.0	0	90.0	-70	This study	SO-CMD-NORTH	g	i
BD10-10	BD10	0			Igneous:Intrusive	Diabase	Diabase		27.2	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD11-1	BD11	0			Igneous:Intrusive	Diabase	Diabase		310.3	0.0	0	90.0	-84	This study	SO-CMD-NORTH	g	i
BD11-2	BD11	0			Igneous:Intrusive	Diabase	Diabase		310.3	0.0	0	90.0	-74	This study	SO-CMD-NORTH	g	i
BD11-3	BD11	0			Igneous:Intrusive	Diabase	Diabase		349.3	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD11-4	BD11	0			Igneous:Intrusive	Diabase	Diabase		349.3	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD11-5	BD11	0			Igneous:Intrusive	Diabase	Diabase		295.3	0.0	0	90.0	-75	This study	SO-CMD-NORTH	g	i
BD11-6	BD11	0			Igneous:Intrusive	Diabase	Diabase		295.3	0.0	0	90.0	-78	This study	SO-CMD-NORTH	g	i
BD11-7	BD11	0			Igneous:Intrusive	Diabase	Diabase		296.3	0.0	0	90.0	-72	This study	SO-CMD-NORTH	g	i
BD11-8	BD11	0			Igneous:Intrusive	Diabase	Diabase		292.3	0.0	0	90.0	-66	This study	SO-CMD-NORTH	g	i
BD12-1	BD12	0			Igneous:Intrusive	Diabase	Diabase		154.4	0.0	0	90.0	-25	This study	SO-CMD-NORTH	g	i
