tab	sites
site	location	samples	specimens	age	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon
BD1	Beaver Bay complex	BD1-10:BD1-11:BD1-12:BD1-13:BD1-15:BD1-1:BD1-2:BD1-3:BD1-4:BD1-5:BD1-6:BD1-7:BD1-8:BD1-9	BD1-10a:BD1-11a:BD1-12a:BD1-13a:BD1-15a:BD1-1a:BD1-2a:BD1-3a:BD1-4a:BD1-5a:BD1-6a:BD1-7a:BD1-8a:BD1-9a	1092	1091.83	1091.61	Ma	1.6	mc	293.0	41	582	14	14	14	0	t	13.9777	0	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	1.9	1.2	32.4	179.1
BD1	Beaver Bay complex	BD1-10:BD1-11:BD1-12:BD1-13:BD1-15:BD1-1:BD1-2:BD1-3:BD1-4:BD1-5:BD1-6:BD1-7:BD1-8:BD1-9	BD1-10a:BD1-11a:BD1-12a:BD1-13a:BD1-15a:BD1-1a:BD1-2a:BD1-3a:BD1-4a:BD1-5a:BD1-6a:BD1-7a:BD1-8a:BD1-9a	1092	1091.83	1091.61	Ma	1.6	mc	293.0	41	582	14	14	14	0	t	13.9777	100	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-AF:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	1.9	1.2	32.4	179.1
BD10	Beaver Bay complex	BD10-10:BD10-1:BD10-2:BD10-3:BD10-4:BD10-5:BD10-6:BD10-7:BD10-8:BD10-9	BD10-10a:BD10-1a:BD10-2a:BD10-3a:BD10-4a:BD10-5a:BD10-6a:BD10-7a:BD10-8a:BD10-9a	1092	1091.83	1091.61	Ma	2.6	mt	297.0	46.2	338	10	10	10	0	n	9.9733	0	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.3	2.1	37.8	180.0
BD10	Beaver Bay complex	BD10-10:BD10-1:BD10-2:BD10-3:BD10-4:BD10-5:BD10-6:BD10-7:BD10-8:BD10-9	BD10-10a:BD10-1a:BD10-2a:BD10-3a:BD10-4a:BD10-5a:BD10-6a:BD10-7a:BD10-8a:BD10-9a	1092	1091.83	1091.61	Ma	2.6	mt	297.0	46.2	338	10	10	10	0	n	9.9733	100	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.3	2.1	37.8	180.0
BD11	Beaver Bay complex	BD11-1:BD11-2:BD11-3:BD11-4:BD11-5:BD11-6:BD11-7:BD11-8	BD11-1a:BD11-2a:BD11-3a:BD11-4a:BD11-5a:BD11-6a:BD11-7a:BD11-8a	1092	1091.83	1091.61	Ma	2.7	mt	296.4	41.7	429	8	8	8	0	n	7.9837	0	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.3	2	35.1	177.1
BD11	Beaver Bay complex	BD11-1:BD11-2:BD11-3:BD11-4:BD11-5:BD11-6:BD11-7:BD11-8	BD11-1a:BD11-2a:BD11-3a:BD11-4a:BD11-5a:BD11-6a:BD11-7a:BD11-8a	1092	1091.83	1091.61	Ma	2.7	mt	296.4	41.7	429	8	8	8	0	n	7.9837	100	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.3	2	35.1	177.1
BD12	Beaver Bay complex	BD12-1:BD12-2:BD12-3:BD12-4:BD12-5:BD12-6:BD12-7:BD12-8	BD12-1a:BD12-2a:BD12-3a:BD12-4a:BD12-5a:BD12-6a:BD12-7a:BD12-8a	1092	1091.83	1091.61	Ma	4.7	mt	288.8	38.1	141	8	8	8	0	t	7.9503	0	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	5.6	3.3	28.1	180.4
BD12	Beaver Bay complex	BD12-1:BD12-2:BD12-3:BD12-4:BD12-5:BD12-6:BD12-7:BD12-8	BD12-1a:BD12-2a:BD12-3a:BD12-4a:BD12-5a:BD12-6a:BD12-7a:BD12-8a	1092	1091.83	1091.61	Ma	4.7	mt	288.8	38.1	141	8	8	8	0	t	7.9503	100	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	5.6	3.3	28.1	180.4
BD13	Beaver Bay complex	BD13-1:BD13-2:BD13-3:BD13-4:BD13-5:BD13-6:BD13-7:BD13-8	BD13-1a:BD13-2a:BD13-3a:BD13-4a:BD13-5a:BD13-6a:BD13-7a:BD13-8a	1092	1091.83	1091.61	Ma	3	mt	280.4	22.4	341	8	8	8	0	t	7.9795	0	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.2	1.7	15.6	179.0
BD13	Beaver Bay complex	BD13-1:BD13-2:BD13-3:BD13-4:BD13-5:BD13-6:BD13-7:BD13-8	BD13-1a:BD13-2a:BD13-3a:BD13-4a:BD13-5a:BD13-6a:BD13-7a:BD13-8a	1092	1091.83	1091.61	Ma	3	mt	280.4	22.4	341	8	8	8	0	t	7.9795	100	0	47.2	268.6	Igneous:Intrusive	Diabase	Diabase		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.2	1.7	15.6	179.0
