sample,texture,La,Ce,Nd,Sm,Eu,Tb,Yb,Lu,Sc,P,Ti,Y,Nb,Pr,Gd,Dy,Ho,Er,Tm,Hf,Ta,Th,U
71D-WR,igneous,1.84,3.1,1.5,0.31,0.46,0.06,0.2,0.03,7.9,,,,,,,,,,,,,,
71D-plag,igneous,1.85,3.4,1.2,0.24,0.56,0.02,0.0006,0.0008,9.21,,,,,,,,,,,,,,
71D-px,igneous,0.48,0.74,,0.14,0.1,0.04,0.36,0.09,33.9,,,,,,,,,,,,,,
74D-WR,igneous,4.02,7.9,4,0.81,0.68,0.12,0.24,0.04,2.3,,,,,,,,,,,,,,
74D-P11,igneous,1.97,3.4,1,0.23,0.57,0.02,0.03,0.0034,0.21,,,,,,,,,,,,,,
74D-P12,igneous,2.59,5.54,2.64,0.49,0.55,0.08,0.18,0.24,1.7,,,,,,,,,,,,,,
74D-opx,igneous,1.34,3.2,2.7,0.94,0.22,0.21,1.09,0.13,46.6,,,,,,,,,,,,,,
74D-cpx,igneous,1.54,5.6,5.5,1.76,0.56,0.38,1.13,0.21,86.5,,,,,,,,,,,,,,
74D-mag,igneous,6.66,11,3.3,2.39,0.34,0.4,1.82,0.34,36,,,,,,,,,,,,,,
BRG,host,10.06,29.3,14.6,3.6,1.2,0.64,2.13,0.32,24.9,,,,,,,,,,,,,,
84JG,host,8.98,20.6,11.2,3.17,1.38,0.54,1.6,0.25,31.8,,,,,,,,,,,,,,
12A,tectonites,0.8,1.46,0.54,0.11,0.44,0.01,0.003,,0.26,,,,,,,,,,,,,,
104A,tectonites,1.07,1.8,0.77,0.13,0.35,0.08,,,0.21,,,,,,,,,,,,,,
10A,tectonites,1.39,2.7,1.1,0.19,0.38,0.03,0.02,0.004,0.22,,,,,,,,,,,,,,
44A,tectonites,0.96,1.3,0.5,0.11,0.39,,,0.008,0.14,,,,,,,,,,,,,,
44B,intermediate,2.71,6.2,4.12,1.14,0.52,,0.6,0.08,17.8,,,,,,,,,,,,,,
23R,intermediate,1.13,2.03,0.79,0.14,0.32,,,,0.33,,,,,,,,,,,,,,
10C,intermediate,1.67,2.9,1,0.19,0.46,0.02,0.02,0.006,0.21,,,,,,,,,,,,,,
84A,intermediate,2.05,4,2.1,0.44,0.56,0.07,0.13,0.01,0.9,,,,,,,,,,,,,,
16-WR,breccia,1.48,0.28,1,0.21,0.41,0.02,0.02,0.006,0.07,,,,,,,,,,,,,,
16M,breccia,1.47,2.5,1.3,0.2,0.37,0.03,0.04,0.003,0.03,,,,,,,,,,,,,,
